Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,25.0,25.0
1.0,0.5,20.0,2.0,25.0,25.0
2.0,1.0,20.0,2.0,25.0,8.333333
3.0,2.0,20.0,2.0,25.0,25.0
4.0,3.0,20.0,2.0,25.0,8.333333
5.0,5.0,20.0,2.0,25.0,8.333333
6.0,10.0,20.0,2.0,25.0,25.0
7.0,20.0,20.0,2.0,25.0,6.25
8.0,40.0,20.0,2.0,25.0,5.0
9.0,0.0,20.0,2.0,25.0,25.0
10.0,0.5,20.0,2.0,25.0,25.0
11.0,1.0,20.0,2.0,25.0,25.0
12.0,2.0,20.0,2.0,25.0,8.333333
13.0,3.0,20.0,2.0,25.0,25.0
14.0,5.0,20.0,2.0,25.0,25.0
15.0,10.0,20.0,2.0,25.0,12.5
16.0,20.0,20.0,2.0,25.0,8.333333
17.0,40.0,20.0,2.0,25.0,3.5714285
18.0,0.0,20.0,2.0,25.0,25.0
19.0,0.5,20.0,2.0,25.0,25.0
20.0,1.0,20.0,2.0,25.0,25.0
21.0,2.0,20.0,2.0,25.0,25.0
22.0,3.0,20.0,2.0,25.0,25.0
23.0,5.0,20.0,2.0,25.0,25.0
24.0,10.0,20.0,2.0,25.0,6.25
25.0,20.0,20.0,2.0,25.0,6.25
26.0,40.0,20.0,2.0,25.0,8.333333
27.0,0.0,20.0,2.0,25.0,25.0
28.0,0.5,20.0,2.0,25.0,8.333333
29.0,1.0,20.0,2.0,25.0,25.0
30.0,2.0,20.0,2.0,25.0,8.333333
31.0,3.0,20.0,2.0,25.0,8.333333
32.0,5.0,20.0,2.0,25.0,8.333333
33.0,10.0,20.0,2.0,25.0,8.333333
34.0,20.0,20.0,2.0,25.0,25.0
35.0,40.0,20.0,2.0,25.0,4.1666665
36.0,0.0,20.0,2.0,25.0,25.0
37.0,0.5,20.0,2.0,25.0,25.0
38.0,1.0,20.0,2.0,25.0,25.0
39.0,2.0,20.0,2.0,25.0,25.0
40.0,3.0,20.0,2.0,25.0,25.0
41.0,5.0,20.0,2.0,25.0,8.333333
42.0,10.0,20.0,2.0,25.0,12.5
43.0,20.0,20.0,2.0,25.0,12.5
44.0,40.0,20.0,2.0,25.0,3.5714285
45.0,0.0,20.0,2.0,25.0,25.0
46.0,0.5,20.0,2.0,25.0,25.0
47.0,1.0,20.0,2.0,25.0,25.0
48.0,2.0,20.0,2.0,25.0,25.0
49.0,3.0,20.0,2.0,25.0,25.0
50.0,5.0,20.0,2.0,25.0,25.0
51.0,10.0,20.0,2.0,25.0,8.333333
52.0,20.0,20.0,2.0,25.0,6.25
53.0,40.0,20.0,2.0,25.0,5.0
54.0,0.0,20.0,2.0,25.0,25.0
55.0,0.5,20.0,2.0,25.0,25.0
56.0,1.0,20.0,2.0,25.0,8.333333
57.0,2.0,20.0,2.0,25.0,8.333333
58.0,3.0,20.0,2.0,25.0,25.0
59.0,5.0,20.0,2.0,25.0,8.333333
60.0,10.0,20.0,2.0,25.0,25.0
61.0,20.0,20.0,2.0,25.0,12.5
62.0,40.0,20.0,2.0,25.0,5.0
63.0,0.0,20.0,2.0,25.0,25.0
64.0,0.5,20.0,2.0,25.0,25.0
65.0,1.0,20.0,2.0,25.0,25.0
66.0,2.0,20.0,2.0,25.0,25.0
67.0,3.0,20.0,2.0,25.0,8.333333
68.0,5.0,20.0,2.0,25.0,12.5
69.0,10.0,20.0,2.0,25.0,8.333333
70.0,20.0,20.0,2.0,25.0,8.333333
71.0,40.0,20.0,2.0,25.0,4.1666665
