Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,25.0,0.0
1.0,0.5,20.0,2.0,25.0,0.0
2.0,1.0,20.0,2.0,25.0,6.4291005
3.0,2.0,20.0,2.0,25.0,0.0
4.0,3.0,20.0,2.0,25.0,11.0151415
5.0,5.0,20.0,2.0,25.0,6.6583285
6.0,10.0,20.0,2.0,25.0,0.0
7.0,20.0,20.0,2.0,25.0,1.8929694
8.0,40.0,20.0,2.0,25.0,1.8708287
9.0,0.0,20.0,2.0,25.0,0.0
10.0,0.5,20.0,2.0,25.0,0.0
11.0,1.0,20.0,2.0,25.0,0.0
12.0,2.0,20.0,2.0,25.0,9.451632
13.0,3.0,20.0,2.0,25.0,0.0
14.0,5.0,20.0,2.0,25.0,0.0
15.0,10.0,20.0,2.0,25.0,0.70710677
16.0,20.0,20.0,2.0,25.0,5.5075703
17.0,40.0,20.0,2.0,25.0,1.1338934
18.0,0.0,20.0,2.0,25.0,0.0
19.0,0.5,20.0,2.0,25.0,0.0
20.0,1.0,20.0,2.0,25.0,0.0
21.0,2.0,20.0,2.0,25.0,0.0
22.0,3.0,20.0,2.0,25.0,0.0
23.0,5.0,20.0,2.0,25.0,0.0
24.0,10.0,20.0,2.0,25.0,3.5939765
25.0,20.0,20.0,2.0,25.0,5.1234756
26.0,40.0,20.0,2.0,25.0,6.5064073
27.0,0.0,20.0,2.0,25.0,0.0
28.0,0.5,20.0,2.0,25.0,6.6583285
29.0,1.0,20.0,2.0,25.0,0.0
30.0,2.0,20.0,2.0,25.0,11.0151415
31.0,3.0,20.0,2.0,25.0,9.451632
32.0,5.0,20.0,2.0,25.0,11.0151415
33.0,10.0,20.0,2.0,25.0,10.214369
34.0,20.0,20.0,2.0,25.0,0.0
35.0,40.0,20.0,2.0,25.0,2.7141604
36.0,0.0,20.0,2.0,25.0,0.0
37.0,0.5,20.0,2.0,25.0,0.0
38.0,1.0,20.0,2.0,25.0,0.0
39.0,2.0,20.0,2.0,25.0,0.0
40.0,3.0,20.0,2.0,25.0,0.0
41.0,5.0,20.0,2.0,25.0,6.4291005
42.0,10.0,20.0,2.0,25.0,2.1213202
43.0,20.0,20.0,2.0,25.0,3.535534
44.0,40.0,20.0,2.0,25.0,1.3972762
45.0,0.0,20.0,2.0,25.0,0.0
46.0,0.5,20.0,2.0,25.0,0.0
47.0,1.0,20.0,2.0,25.0,0.0
48.0,2.0,20.0,2.0,25.0,0.0
49.0,3.0,20.0,2.0,25.0,0.0
50.0,5.0,20.0,2.0,25.0,0.0
51.0,10.0,20.0,2.0,25.0,11.0151415
52.0,20.0,20.0,2.0,25.0,2.6299555
53.0,40.0,20.0,2.0,25.0,2.9154758
54.0,0.0,20.0,2.0,25.0,0.0
55.0,0.5,20.0,2.0,25.0,0.0
56.0,1.0,20.0,2.0,25.0,9.451632
57.0,2.0,20.0,2.0,25.0,9.451632
58.0,3.0,20.0,2.0,25.0,0.0
59.0,5.0,20.0,2.0,25.0,10.1159935
60.0,10.0,20.0,2.0,25.0,0.0
61.0,20.0,20.0,2.0,25.0,2.1213202
62.0,40.0,20.0,2.0,25.0,2.738613
63.0,0.0,20.0,2.0,25.0,0.0
64.0,0.5,20.0,2.0,25.0,0.0
65.0,1.0,20.0,2.0,25.0,0.0
66.0,2.0,20.0,2.0,25.0,0.0
67.0,3.0,20.0,2.0,25.0,9.451632
68.0,5.0,20.0,2.0,25.0,0.70710677
69.0,10.0,20.0,2.0,25.0,8.082904
70.0,20.0,20.0,2.0,25.0,4.041452
71.0,40.0,20.0,2.0,25.0,3.125167
72.0,0.0,20.0,2.0,25.0,0.0
73.0,0.5,20.0,2.0,25.0,0.0
74.0,1.0,20.0,2.0,25.0,0.0
75.0,2.0,20.0,2.0,25.0,6.6583285
76.0,3.0,20.0,2.0,25.0,0.0
77.0,5.0,20.0,2.0,25.0,8.082904
78.0,10.0,20.0,2.0,25.0,3.947573
79.0,20.0,20.0,2.0,25.0,3.535534
80.0,40.0,20.0,2.0,25.0,2.136976
81.0,0.0,20.0,2.0,25.0,0.0
82.0,0.5,20.0,2.0,25.0,0.0
83.0,1.0,20.0,2.0,25.0,0.0
84.0,2.0,20.0,2.0,25.0,0.0
85.0,3.0,20.0,2.0,25.0,0.0
86.0,5.0,20.0,2.0,25.0,3.1622777
87.0,10.0,20.0,2.0,25.0,2.8867512
88.0,20.0,20.0,2.0,25.0,3.535534
89.0,40.0,20.0,2.0,25.0,3.8729835
90.0,0.0,20.0,2.0,25.0,0.0
91.0,0.5,20.0,2.0,25.0,0.0
92.0,1.0,20.0,2.0,25.0,0.0
93.0,2.0,20.0,2.0,25.0,0.0
94.0,3.0,20.0,2.0,25.0,11.0151415
95.0,5.0,20.0,2.0,25.0,10.1159935
96.0,10.0,20.0,2.0,25.0,9.451632
97.0,20.0,20.0,2.0,25.0,1.4142135
98.0,40.0,20.0,2.0,25.0,4.041452
99.0,0.0,20.0,2.0,25.0,0.0
100.0,0.5,20.0,2.0,25.0,0.0
101.0,1.0,20.0,2.0,25.0,0.0
102.0,2.0,20.0,2.0,25.0,0.0
103.0,3.0,20.0,2.0,25.0,0.0
104.0,5.0,20.0,2.0,25.0,0.0
105.0,10.0,20.0,2.0,25.0,0.0
106.0,20.0,20.0,2.0,25.0,5.7735023
107.0,40.0,20.0,2.0,25.0,2.1491969
108.0,0.0,20.0,2.0,25.0,0.0
109.0,0.5,20.0,2.0,25.0,0.0
110.0,1.0,20.0,2.0,25.0,0.0
111.0,2.0,20.0,2.0,25.0,0.0
112.0,3.0,20.0,2.0,25.0,0.0
113.0,5.0,20.0,2.0,25.0,0.70710677
114.0,10.0,20.0,2.0,25.0,0.0
115.0,20.0,20.0,2.0,25.0,5.737305
116.0,40.0,20.0,2.0,25.0,2.5495098
117.0,0.0,20.0,2.0,25.0,0.0
118.0,0.5,20.0,2.0,25.0,0.0
119.0,1.0,20.0,2.0,25.0,0.0
120.0,2.0,20.0,2.0,25.0,0.0
121.0,3.0,20.0,2.0,25.0,0.0
122.0,5.0,20.0,2.0,25.0,6.4291005
123.0,10.0,20.0,2.0,25.0,5.4313903
124.0,20.0,20.0,2.0,25.0,1.5811388
125.0,40.0,20.0,2.0,25.0,2.828427
126.0,0.0,20.0,2.0,25.0,0.0
127.0,0.5,20.0,2.0,25.0,0.0
128.0,1.0,20.0,2.0,25.0,0.0
129.0,2.0,20.0,2.0,25.0,0.0
130.0,3.0,20.0,2.0,25.0,0.0
131.0,5.0,20.0,2.0,25.0,2.081666
132.0,10.0,20.0,2.0,25.0,2.1213202
133.0,20.0,20.0,2.0,25.0,4.5
134.0,40.0,20.0,2.0,25.0,1.3972762
135.0,0.0,20.0,2.0,25.0,0.0
136.0,0.5,20.0,2.0,25.0,0.0
137.0,1.0,20.0,2.0,25.0,0.0
138.0,2.0,20.0,2.0,25.0,0.0
139.0,3.0,20.0,2.0,25.0,0.0
140.0,5.0,20.0,2.0,25.0,7.7781744
141.0,10.0,20.0,2.0,25.0,3.5118845
142.0,20.0,20.0,2.0,25.0,5.5075703
143.0,40.0,20.0,2.0,25.0,4.618802
144.0,0.0,20.0,2.0,25.0,0.0
145.0,0.5,20.0,2.0,25.0,0.0
146.0,1.0,20.0,2.0,25.0,0.0
147.0,2.0,20.0,2.0,25.0,0.0
148.0,3.0,20.0,2.0,25.0,0.0
149.0,5.0,20.0,2.0,25.0,3.0550504
150.0,10.0,20.0,2.0,25.0,2.5166113
151.0,20.0,20.0,2.0,25.0,6.350853
152.0,40.0,20.0,2.0,25.0,4.0
153.0,0.0,20.0,2.0,25.0,0.0
154.0,0.5,20.0,2.0,25.0,0.0
155.0,1.0,20.0,2.0,25.0,0.0
156.0,2.0,20.0,2.0,25.0,0.0
157.0,3.0,20.0,2.0,25.0,0.0
158.0,5.0,20.0,2.0,25.0,10.214369
159.0,10.0,20.0,2.0,25.0,7.7781744
160.0,20.0,20.0,2.0,25.0,7.5055537
161.0,40.0,20.0,2.0,25.0,4.041452
162.0,0.0,20.0,2.0,25.0,0.0
163.0,0.5,20.0,2.0,25.0,0.0
164.0,1.0,20.0,2.0,25.0,0.0
165.0,2.0,20.0,2.0,25.0,0.0
166.0,3.0,20.0,2.0,25.0,7.0237694
167.0,5.0,20.0,2.0,25.0,7.5055537
168.0,10.0,20.0,2.0,25.0,3.0550504
169.0,20.0,20.0,2.0,25.0,3.5939765
170.0,40.0,20.0,2.0,25.0,4.2720017
171.0,0.0,20.0,2.0,25.0,0.0
172.0,0.5,20.0,2.0,25.0,0.0
173.0,1.0,20.0,2.0,25.0,0.0
174.0,2.0,20.0,2.0,25.0,0.0
175.0,3.0,20.0,2.0,25.0,5.5075703
176.0,5.0,20.0,2.0,25.0,6.658328
177.0,10.0,20.0,2.0,25.0,5.0332227
178.0,20.0,20.0,2.0,25.0,6.5064073
179.0,40.0,20.0,2.0,25.0,1.9023794
180.0,0.0,20.0,2.0,25.0,0.0
181.0,0.5,20.0,2.0,25.0,0.0
182.0,1.0,20.0,2.0,25.0,0.0
183.0,2.0,20.0,2.0,25.0,0.0
184.0,3.0,20.0,2.0,25.0,0.0
185.0,5.0,20.0,2.0,25.0,6.6583285
186.0,10.0,20.0,2.0,25.0,6.4291005
187.0,20.0,20.0,2.0,25.0,0.95742714
188.0,40.0,20.0,2.0,25.0,4.7258153
189.0,0.0,20.0,2.0,25.0,0.0
190.0,0.5,20.0,2.0,25.0,0.0
191.0,1.0,20.0,2.0,25.0,0.0
192.0,2.0,20.0,2.0,25.0,0.0
193.0,3.0,20.0,2.0,25.0,0.0
194.0,5.0,20.0,2.0,25.0,3.947573
195.0,10.0,20.0,2.0,25.0,6.6583285
196.0,20.0,20.0,2.0,25.0,9.192389
197.0,40.0,20.0,2.0,25.0,2.4494898
198.0,0.0,20.0,2.0,25.0,0.0
199.0,0.5,20.0,2.0,25.0,0.0
200.0,1.0,20.0,2.0,25.0,0.0
201.0,2.0,20.0,2.0,25.0,10.214369
202.0,3.0,20.0,2.0,25.0,7.5055537
203.0,5.0,20.0,2.0,25.0,5.033223
204.0,10.0,20.0,2.0,25.0,6.658328
205.0,20.0,20.0,2.0,25.0,5.6862407
206.0,40.0,20.0,2.0,25.0,2.345208
207.0,0.0,20.0,2.0,25.0,0.0
208.0,0.5,20.0,2.0,25.0,0.0
209.0,1.0,20.0,2.0,25.0,0.0
210.0,2.0,20.0,2.0,25.0,0.0
211.0,3.0,20.0,2.0,25.0,0.0
212.0,5.0,20.0,2.0,25.0,2.5495098
213.0,10.0,20.0,2.0,25.0,2.4494898
214.0,20.0,20.0,2.0,25.0,9.451632
215.0,40.0,20.0,2.0,25.0,3.7749171
216.0,0.0,20.0,2.0,25.0,0.0
217.0,0.5,20.0,2.0,25.0,0.0
218.0,1.0,20.0,2.0,25.0,0.0
219.0,2.0,20.0,2.0,25.0,2.8867512
220.0,3.0,20.0,2.0,25.0,0.0
221.0,5.0,20.0,2.0,25.0,9.451632
222.0,10.0,20.0,2.0,25.0,4.2720017
223.0,20.0,20.0,2.0,25.0,1.8708287
224.0,40.0,20.0,2.0,25.0,3.535534
225.0,0.0,20.0,2.0,25.0,0.0
226.0,0.5,20.0,2.0,25.0,0.0
227.0,1.0,20.0,2.0,25.0,0.0
228.0,2.0,20.0,2.0,25.0,0.0
229.0,3.0,20.0,2.0,25.0,9.451632
230.0,5.0,20.0,2.0,25.0,3.7416575
231.0,10.0,20.0,2.0,25.0,3.86221
