Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,13.92
1.0,0.5,20.0,2.0,100.0,9.45
2.0,1.0,20.0,2.0,100.0,18.47
3.0,2.0,20.0,2.0,100.0,13.54
4.0,3.0,20.0,2.0,100.0,13.2
5.0,5.0,20.0,2.0,100.0,8.86
6.0,10.0,20.0,2.0,100.0,8.99
7.0,20.0,20.0,2.0,100.0,9.73
8.0,40.0,20.0,2.0,100.0,8.28
9.0,49.0,20.0,2.0,100.0,7.79
10.0,0.0,20.0,2.0,100.0,12.63
11.0,0.5,20.0,2.0,100.0,13.2
12.0,1.0,20.0,2.0,100.0,8.88
13.0,2.0,20.0,2.0,100.0,7.74
14.0,3.0,20.0,2.0,100.0,11.06
15.0,5.0,20.0,2.0,100.0,9.1
16.0,10.0,20.0,2.0,100.0,9.91
17.0,20.0,20.0,2.0,100.0,9.43
18.0,40.0,20.0,2.0,100.0,8.03
19.0,49.0,20.0,2.0,100.0,15.15
20.0,0.0,20.0,2.0,100.0,12.83
21.0,0.5,20.0,2.0,100.0,23.52
22.0,1.0,20.0,2.0,100.0,10.97
23.0,2.0,20.0,2.0,100.0,9.95
24.0,3.0,20.0,2.0,100.0,8.52
25.0,5.0,20.0,2.0,100.0,9.72
26.0,10.0,20.0,2.0,100.0,9.15
27.0,20.0,20.0,2.0,100.0,7.88
28.0,40.0,20.0,2.0,100.0,12.19
29.0,49.0,20.0,2.0,100.0,8.26
30.0,0.0,20.0,2.0,100.0,8.51
31.0,0.5,20.0,2.0,100.0,20.47
32.0,1.0,20.0,2.0,100.0,14.57
33.0,2.0,20.0,2.0,100.0,12.33
34.0,3.0,20.0,2.0,100.0,8.26
35.0,5.0,20.0,2.0,100.0,10.65
36.0,10.0,20.0,2.0,100.0,8.37
37.0,20.0,20.0,2.0,100.0,9.64
38.0,40.0,20.0,2.0,100.0,11.25
39.0,49.0,20.0,2.0,100.0,12.35
40.0,0.0,20.0,2.0,100.0,15.45
41.0,0.5,20.0,2.0,100.0,12.85
42.0,1.0,20.0,2.0,100.0,9.99
43.0,2.0,20.0,2.0,100.0,9.47
44.0,3.0,20.0,2.0,100.0,28.48
45.0,5.0,20.0,2.0,100.0,9.26
46.0,10.0,20.0,2.0,100.0,9.39
47.0,20.0,20.0,2.0,100.0,9.39
48.0,40.0,20.0,2.0,100.0,9.61
49.0,49.0,20.0,2.0,100.0,10.57
50.0,0.0,20.0,2.0,100.0,12.11
51.0,0.5,20.0,2.0,100.0,25.61
52.0,1.0,20.0,2.0,100.0,17.18
53.0,2.0,20.0,2.0,100.0,8.84
54.0,3.0,20.0,2.0,100.0,13.4
55.0,5.0,20.0,2.0,100.0,9.62
56.0,10.0,20.0,2.0,100.0,7.86
57.0,20.0,20.0,2.0,100.0,9.14
58.0,40.0,20.0,2.0,100.0,9.58
59.0,49.0,20.0,2.0,100.0,8.9
60.0,0.0,20.0,2.0,100.0,14.58
61.0,0.5,20.0,2.0,100.0,15.23
62.0,1.0,20.0,2.0,100.0,11.75
63.0,2.0,20.0,2.0,100.0,16.84
64.0,3.0,20.0,2.0,100.0,10.72
65.0,5.0,20.0,2.0,100.0,11.49
66.0,10.0,20.0,2.0,100.0,9.02
67.0,20.0,20.0,2.0,100.0,9.6
68.0,40.0,20.0,2.0,100.0,7.76
69.0,49.0,20.0,2.0,100.0,8.79
70.0,0.0,20.0,2.0,100.0,15.68
71.0,0.5,20.0,2.0,100.0,24.57
72.0,1.0,20.0,2.0,100.0,25.93
73.0,2.0,20.0,2.0,100.0,16.02
74.0,3.0,20.0,2.0,100.0,16.35
75.0,5.0,20.0,2.0,100.0,9.51
76.0,10.0,20.0,2.0,100.0,11.59
77.0,20.0,20.0,2.0,100.0,9.83
78.0,40.0,20.0,2.0,100.0,9.25
79.0,49.0,20.0,2.0,100.0,9.95
80.0,0.0,20.0,2.0,100.0,26.87
81.0,0.5,20.0,2.0,100.0,17.74
82.0,1.0,20.0,2.0,100.0,9.61
83.0,2.0,20.0,2.0,100.0,11.97
84.0,3.0,20.0,2.0,100.0,9.09
85.0,5.0,20.0,2.0,100.0,11.17
86.0,10.0,20.0,2.0,100.0,10.59
87.0,20.0,20.0,2.0,100.0,8.33
88.0,40.0,20.0,2.0,100.0,9.8
89.0,49.0,20.0,2.0,100.0,9.87
90.0,0.0,20.0,2.0,100.0,22.26
91.0,0.5,20.0,2.0,100.0,28.33
92.0,1.0,20.0,2.0,100.0,10.1
93.0,2.0,20.0,2.0,100.0,10.07
94.0,3.0,20.0,2.0,100.0,8.82
95.0,5.0,20.0,2.0,100.0,8.63
96.0,10.0,20.0,2.0,100.0,9.13
97.0,20.0,20.0,2.0,100.0,8.56
98.0,40.0,20.0,2.0,100.0,8.98
99.0,49.0,20.0,2.0,100.0,8.0
100.0,0.0,20.0,2.0,100.0,18.6
101.0,0.5,20.0,2.0,100.0,23.38
102.0,1.0,20.0,2.0,100.0,9.25
103.0,2.0,20.0,2.0,100.0,14.26
104.0,3.0,20.0,2.0,100.0,9.54
105.0,5.0,20.0,2.0,100.0,8.62
106.0,10.0,20.0,2.0,100.0,9.0
107.0,20.0,20.0,2.0,100.0,9.9
108.0,40.0,20.0,2.0,100.0,9.48
109.0,49.0,20.0,2.0,100.0,8.35
110.0,0.0,20.0,2.0,100.0,25.06
111.0,0.5,20.0,2.0,100.0,9.13
112.0,1.0,20.0,2.0,100.0,8.74
113.0,2.0,20.0,2.0,100.0,10.53
114.0,3.0,20.0,2.0,100.0,9.45
115.0,5.0,20.0,2.0,100.0,8.48
116.0,10.0,20.0,2.0,100.0,10.38
