Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,100.0
1.0,0.5,20.0,2.0,100.0,33.333332
2.0,1.0,20.0,2.0,100.0,100.0
3.0,2.0,20.0,2.0,100.0,14.285714
4.0,3.0,20.0,2.0,100.0,12.5
5.0,5.0,20.0,2.0,100.0,12.5
6.0,10.0,20.0,2.0,100.0,6.25
7.0,20.0,20.0,2.0,100.0,5.882353
8.0,40.0,20.0,2.0,100.0,5.263158
9.0,49.0,20.0,2.0,100.0,5.0
10.0,0.0,20.0,2.0,100.0,100.0
11.0,0.5,20.0,2.0,100.0,100.0
12.0,1.0,20.0,2.0,100.0,20.0
13.0,2.0,20.0,2.0,100.0,4.7619047
14.0,3.0,20.0,2.0,100.0,25.0
15.0,5.0,20.0,2.0,100.0,7.142857
16.0,10.0,20.0,2.0,100.0,5.263158
17.0,20.0,20.0,2.0,100.0,7.6923075
18.0,40.0,20.0,2.0,100.0,5.263158
19.0,49.0,20.0,2.0,100.0,3.7037036
20.0,0.0,20.0,2.0,100.0,100.0
21.0,0.5,20.0,2.0,100.0,100.0
22.0,1.0,20.0,2.0,100.0,33.333332
23.0,2.0,20.0,2.0,100.0,33.333332
24.0,3.0,20.0,2.0,100.0,5.5555553
25.0,5.0,20.0,2.0,100.0,5.882353
26.0,10.0,20.0,2.0,100.0,8.333333
27.0,20.0,20.0,2.0,100.0,4.5454545
28.0,40.0,20.0,2.0,100.0,5.263158
29.0,49.0,20.0,2.0,100.0,4.5454545
30.0,0.0,20.0,2.0,100.0,100.0
31.0,0.5,20.0,2.0,100.0,33.333332
32.0,1.0,20.0,2.0,100.0,100.0
33.0,2.0,20.0,2.0,100.0,14.285714
34.0,3.0,20.0,2.0,100.0,9.090909
35.0,5.0,20.0,2.0,100.0,33.333332
36.0,10.0,20.0,2.0,100.0,9.090909
37.0,20.0,20.0,2.0,100.0,6.6666665
38.0,40.0,20.0,2.0,100.0,5.882353
39.0,49.0,20.0,2.0,100.0,6.25
40.0,0.0,20.0,2.0,100.0,100.0
41.0,0.5,20.0,2.0,100.0,33.333332
42.0,1.0,20.0,2.0,100.0,16.666666
43.0,2.0,20.0,2.0,100.0,14.285714
44.0,3.0,20.0,2.0,100.0,100.0
45.0,5.0,20.0,2.0,100.0,14.285714
46.0,10.0,20.0,2.0,100.0,6.6666665
47.0,20.0,20.0,2.0,100.0,5.882353
48.0,40.0,20.0,2.0,100.0,5.5555553
49.0,49.0,20.0,2.0,100.0,5.263158
50.0,0.0,20.0,2.0,100.0,9.090909
51.0,0.5,20.0,2.0,100.0,100.0
52.0,1.0,20.0,2.0,100.0,33.333332
53.0,2.0,20.0,2.0,100.0,10.0
54.0,3.0,20.0,2.0,100.0,33.333332
55.0,5.0,20.0,2.0,100.0,14.285714
56.0,10.0,20.0,2.0,100.0,6.25
57.0,20.0,20.0,2.0,100.0,6.6666665
58.0,40.0,20.0,2.0,100.0,4.347826
59.0,49.0,20.0,2.0,100.0,4.0
60.0,0.0,20.0,2.0,100.0,100.0
61.0,0.5,20.0,2.0,100.0,33.333332
62.0,1.0,20.0,2.0,100.0,50.0
63.0,2.0,20.0,2.0,100.0,33.333332
64.0,3.0,20.0,2.0,100.0,33.333332
65.0,5.0,20.0,2.0,100.0,12.5
66.0,10.0,20.0,2.0,100.0,14.285714
67.0,20.0,20.0,2.0,100.0,7.6923075
68.0,40.0,20.0,2.0,100.0,4.7619047
69.0,49.0,20.0,2.0,100.0,3.7037036
70.0,0.0,20.0,2.0,100.0,100.0
71.0,0.5,20.0,2.0,100.0,100.0
72.0,1.0,20.0,2.0,100.0,100.0
73.0,2.0,20.0,2.0,100.0,100.0
74.0,3.0,20.0,2.0,100.0,50.0
75.0,5.0,20.0,2.0,100.0,5.0
76.0,10.0,20.0,2.0,100.0,6.6666665
77.0,20.0,20.0,2.0,100.0,5.882353
78.0,40.0,20.0,2.0,100.0,5.263158
79.0,49.0,20.0,2.0,100.0,5.882353
80.0,0.0,20.0,2.0,100.0,100.0
81.0,0.5,20.0,2.0,100.0,33.333332
82.0,1.0,20.0,2.0,100.0,50.0
83.0,2.0,20.0,2.0,100.0,33.333332
84.0,3.0,20.0,2.0,100.0,8.333333
85.0,5.0,20.0,2.0,100.0,50.0
86.0,10.0,20.0,2.0,100.0,9.090909
87.0,20.0,20.0,2.0,100.0,4.7619047
88.0,40.0,20.0,2.0,100.0,4.7619047
89.0,49.0,20.0,2.0,100.0,5.263158
90.0,0.0,20.0,2.0,100.0,100.0
91.0,0.5,20.0,2.0,100.0,100.0
92.0,1.0,20.0,2.0,100.0,25.0
93.0,2.0,20.0,2.0,100.0,7.142857
94.0,3.0,20.0,2.0,100.0,33.333332
95.0,5.0,20.0,2.0,100.0,5.882353
96.0,10.0,20.0,2.0,100.0,6.25
97.0,20.0,20.0,2.0,100.0,5.882353
98.0,40.0,20.0,2.0,100.0,4.347826
99.0,49.0,20.0,2.0,100.0,4.347826
100.0,0.0,20.0,2.0,100.0,100.0
101.0,0.5,20.0,2.0,100.0,100.0
102.0,1.0,20.0,2.0,100.0,20.0
103.0,2.0,20.0,2.0,100.0,33.333332
104.0,3.0,20.0,2.0,100.0,33.333332
105.0,5.0,20.0,2.0,100.0,5.5555553
106.0,10.0,20.0,2.0,100.0,5.882353
107.0,20.0,20.0,2.0,100.0,5.0
108.0,40.0,20.0,2.0,100.0,5.263158
109.0,49.0,20.0,2.0,100.0,4.7619047
110.0,0.0,20.0,2.0,100.0,100.0
111.0,0.5,20.0,2.0,100.0,33.333332
112.0,1.0,20.0,2.0,100.0,8.333333
113.0,2.0,20.0,2.0,100.0,33.333332
114.0,3.0,20.0,2.0,100.0,6.6666665
115.0,5.0,20.0,2.0,100.0,4.7619047
116.0,10.0,20.0,2.0,100.0,8.333333
117.0,20.0,20.0,2.0,100.0,4.5454545
118.0,40.0,20.0,2.0,100.0,5.263158
119.0,49.0,20.0,2.0,100.0,3.8461537
120.0,0.0,20.0,2.0,100.0,100.0
121.0,0.5,20.0,2.0,100.0,100.0
122.0,1.0,20.0,2.0,100.0,33.333332
123.0,2.0,20.0,2.0,100.0,100.0
124.0,3.0,20.0,2.0,100.0,16.666666
125.0,5.0,20.0,2.0,100.0,11.111111
126.0,10.0,20.0,2.0,100.0,6.6666665
127.0,20.0,20.0,2.0,100.0,5.5555553
128.0,40.0,20.0,2.0,100.0,4.7619047
129.0,49.0,20.0,2.0,100.0,4.7619047
130.0,0.0,20.0,2.0,100.0,100.0
131.0,0.5,20.0,2.0,100.0,100.0
132.0,1.0,20.0,2.0,100.0,33.333332
133.0,2.0,20.0,2.0,100.0,25.0
134.0,3.0,20.0,2.0,100.0,5.263158
135.0,5.0,20.0,2.0,100.0,16.666666
136.0,10.0,20.0,2.0,100.0,7.142857
137.0,20.0,20.0,2.0,100.0,6.6666665
138.0,40.0,20.0,2.0,100.0,4.5454545
139.0,49.0,20.0,2.0,100.0,4.7619047
140.0,0.0,20.0,2.0,100.0,100.0
141.0,0.5,20.0,2.0,100.0,100.0
142.0,1.0,20.0,2.0,100.0,10.0
143.0,2.0,20.0,2.0,100.0,10.0
144.0,3.0,20.0,2.0,100.0,33.333332
145.0,5.0,20.0,2.0,100.0,10.0
146.0,10.0,20.0,2.0,100.0,11.111111
147.0,20.0,20.0,2.0,100.0,5.0
148.0,40.0,20.0,2.0,100.0,5.263158
149.0,49.0,20.0,2.0,100.0,5.263158
150.0,0.0,20.0,2.0,100.0,100.0
151.0,0.5,20.0,2.0,100.0,33.333332
152.0,1.0,20.0,2.0,100.0,33.333332
153.0,2.0,20.0,2.0,100.0,9.090909
154.0,3.0,20.0,2.0,100.0,6.6666665
155.0,5.0,20.0,2.0,100.0,5.0
156.0,10.0,20.0,2.0,100.0,9.090909
157.0,20.0,20.0,2.0,100.0,4.347826
158.0,40.0,20.0,2.0,100.0,5.5555553
159.0,49.0,20.0,2.0,100.0,5.263158
160.0,0.0,20.0,2.0,100.0,100.0
161.0,0.5,20.0,2.0,100.0,33.333332
162.0,1.0,20.0,2.0,100.0,20.0
163.0,2.0,20.0,2.0,100.0,5.882353
164.0,3.0,20.0,2.0,100.0,50.0
165.0,5.0,20.0,2.0,100.0,5.263158
166.0,10.0,20.0,2.0,100.0,9.090909
167.0,20.0,20.0,2.0,100.0,5.5555553
168.0,40.0,20.0,2.0,100.0,6.25
169.0,49.0,20.0,2.0,100.0,4.7619047
170.0,0.0,20.0,2.0,100.0,100.0
171.0,0.5,20.0,2.0,100.0,33.333332
172.0,1.0,20.0,2.0,100.0,25.0
173.0,2.0,20.0,2.0,100.0,20.0
174.0,3.0,20.0,2.0,100.0,33.333332
175.0,5.0,20.0,2.0,100.0,7.142857
176.0,10.0,20.0,2.0,100.0,9.090909
177.0,20.0,20.0,2.0,100.0,5.5555553
178.0,40.0,20.0,2.0,100.0,4.7619047
179.0,49.0,20.0,2.0,100.0,4.7619047
180.0,0.0,20.0,2.0,100.0,100.0
181.0,0.5,20.0,2.0,100.0,100.0
182.0,1.0,20.0,2.0,100.0,33.333332
183.0,2.0,20.0,2.0,100.0,8.333333
184.0,3.0,20.0,2.0,100.0,16.666666
185.0,5.0,20.0,2.0,100.0,33.333332
186.0,10.0,20.0,2.0,100.0,33.333332
187.0,20.0,20.0,2.0,100.0,5.5555553
188.0,40.0,20.0,2.0,100.0,4.7619047
189.0,49.0,20.0,2.0,100.0,4.7619047
190.0,0.0,20.0,2.0,100.0,9.090909
191.0,0.5,20.0,2.0,100.0,33.333332
192.0,1.0,20.0,2.0,100.0,100.0
193.0,2.0,20.0,2.0,100.0,100.0
194.0,3.0,20.0,2.0,100.0,14.285714
195.0,5.0,20.0,2.0,100.0,4.7619047
196.0,10.0,20.0,2.0,100.0,6.25
197.0,20.0,20.0,2.0,100.0,4.0
198.0,40.0,20.0,2.0,100.0,4.347826
199.0,49.0,20.0,2.0,100.0,5.263158
200.0,0.0,20.0,2.0,100.0,100.0
201.0,0.5,20.0,2.0,100.0,33.333332
202.0,1.0,20.0,2.0,100.0,100.0
203.0,2.0,20.0,2.0,100.0,25.0
204.0,3.0,20.0,2.0,100.0,33.333332
205.0,5.0,20.0,2.0,100.0,25.0
206.0,10.0,20.0,2.0,100.0,4.7619047
207.0,20.0,20.0,2.0,100.0,9.090909
208.0,40.0,20.0,2.0,100.0,5.882353
209.0,49.0,20.0,2.0,100.0,5.263158
210.0,0.0,20.0,2.0,100.0,100.0
211.0,0.5,20.0,2.0,100.0,33.333332
212.0,1.0,20.0,2.0,100.0,100.0
213.0,2.0,20.0,2.0,100.0,100.0
214.0,3.0,20.0,2.0,100.0,8.333333
215.0,5.0,20.0,2.0,100.0,10.0
216.0,10.0,20.0,2.0,100.0,12.5
217.0,20.0,20.0,2.0,100.0,5.882353
218.0,40.0,20.0,2.0,100.0,4.7619047
219.0,49.0,20.0,2.0,100.0,6.6666665
220.0,0.0,20.0,2.0,100.0,100.0
221.0,0.5,20.0,2.0,100.0,100.0
222.0,1.0,20.0,2.0,100.0,11.111111
223.0,2.0,20.0,2.0,100.0,33.333332
224.0,3.0,20.0,2.0,100.0,33.333332
225.0,5.0,20.0,2.0,100.0,12.5
226.0,10.0,20.0,2.0,100.0,10.0
227.0,20.0,20.0,2.0,100.0,5.0
228.0,40.0,20.0,2.0,100.0,6.6666665
229.0,49.0,20.0,2.0,100.0,4.0
230.0,0.0,20.0,2.0,100.0,100.0
231.0,0.5,20.0,2.0,100.0,33.333332
232.0,1.0,20.0,2.0,100.0,33.333332
233.0,2.0,20.0,2.0,100.0,12.5
234.0,3.0,20.0,2.0,100.0,33.333332
235.0,5.0,20.0,2.0,100.0,12.5
236.0,10.0,20.0,2.0,100.0,6.25
237.0,20.0,20.0,2.0,100.0,6.6666665
238.0,40.0,20.0,2.0,100.0,4.7619047
239.0,49.0,20.0,2.0,100.0,3.7037036
240.0,0.0,20.0,2.0,100.0,100.0
241.0,0.5,20.0,2.0,100.0,33.333332
242.0,1.0,20.0,2.0,100.0,50.0
243.0,2.0,20.0,2.0,100.0,10.0
244.0,3.0,20.0,2.0,100.0,12.5
245.0,5.0,20.0,2.0,100.0,20.0
246.0,10.0,20.0,2.0,100.0,5.263158
247.0,20.0,20.0,2.0,100.0,6.25
248.0,40.0,20.0,2.0,100.0,5.882353
249.0,49.0,20.0,2.0,100.0,4.7619047
250.0,0.0,20.0,2.0,100.0,100.0
251.0,0.5,20.0,2.0,100.0,100.0
252.0,1.0,20.0,2.0,100.0,33.333332
253.0,2.0,20.0,2.0,100.0,25.0
254.0,3.0,20.0,2.0,100.0,50.0
255.0,5.0,20.0,2.0,100.0,33.333332
256.0,10.0,20.0,2.0,100.0,7.142857
257.0,20.0,20.0,2.0,100.0,5.263158
258.0,40.0,20.0,2.0,100.0,5.882353
259.0,49.0,20.0,2.0,100.0,5.263158
260.0,0.0,20.0,2.0,100.0,100.0
261.0,0.5,20.0,2.0,100.0,100.0
262.0,1.0,20.0,2.0,100.0,50.0
263.0,2.0,20.0,2.0,100.0,33.333332
264.0,3.0,20.0,2.0,100.0,5.263158
265.0,5.0,20.0,2.0,100.0,8.333333
266.0,10.0,20.0,2.0,100.0,5.882353
267.0,20.0,20.0,2.0,100.0,5.5555553
268.0,40.0,20.0,2.0,100.0,4.347826
269.0,49.0,20.0,2.0,100.0,5.882353
270.0,0.0,20.0,2.0,100.0,100.0
271.0,0.5,20.0,2.0,100.0,33.333332
272.0,1.0,20.0,2.0,100.0,33.333332
273.0,2.0,20.0,2.0,100.0,16.666666
274.0,3.0,20.0,2.0,100.0,20.0
275.0,5.0,20.0,2.0,100.0,16.666666
276.0,10.0,20.0,2.0,100.0,10.0
277.0,20.0,20.0,2.0,100.0,5.5555553
278.0,40.0,20.0,2.0,100.0,6.6666665
279.0,49.0,20.0,2.0,100.0,4.7619047
280.0,0.0,20.0,2.0,100.0,100.0
281.0,0.5,20.0,2.0,100.0,33.333332
282.0,1.0,20.0,2.0,100.0,33.333332
283.0,2.0,20.0,2.0,100.0,9.090909
284.0,3.0,20.0,2.0,100.0,33.333332
285.0,5.0,20.0,2.0,100.0,16.666666
286.0,10.0,20.0,2.0,100.0,7.6923075
287.0,20.0,20.0,2.0,100.0,5.5555553
288.0,40.0,20.0,2.0,100.0,5.263158
289.0,49.0,20.0,2.0,100.0,7.142857
290.0,0.0,20.0,2.0,100.0,33.333332
291.0,0.5,20.0,2.0,100.0,9.090909
292.0,1.0,20.0,2.0,100.0,33.333332
293.0,2.0,20.0,2.0,100.0,8.333333
294.0,3.0,20.0,2.0,100.0,25.0
295.0,5.0,20.0,2.0,100.0,11.111111
296.0,10.0,20.0,2.0,100.0,5.0
297.0,20.0,20.0,2.0,100.0,5.5555553
298.0,40.0,20.0,2.0,100.0,5.263158
299.0,49.0,20.0,2.0,100.0,5.263158
300.0,0.0,20.0,2.0,100.0,100.0
301.0,0.5,20.0,2.0,100.0,100.0
302.0,1.0,20.0,2.0,100.0,7.142857
303.0,2.0,20.0,2.0,100.0,11.111111
304.0,3.0,20.0,2.0,100.0,16.666666
305.0,5.0,20.0,2.0,100.0,20.0
306.0,10.0,20.0,2.0,100.0,6.6666665
307.0,20.0,20.0,2.0,100.0,5.5555553
308.0,40.0,20.0,2.0,100.0,5.0
309.0,49.0,20.0,2.0,100.0,4.0
310.0,0.0,20.0,2.0,100.0,100.0
311.0,0.5,20.0,2.0,100.0,100.0
312.0,1.0,20.0,2.0,100.0,33.333332
313.0,2.0,20.0,2.0,100.0,16.666666
314.0,3.0,20.0,2.0,100.0,33.333332
315.0,5.0,20.0,2.0,100.0,4.5454545
316.0,10.0,20.0,2.0,100.0,16.666666
317.0,20.0,20.0,2.0,100.0,6.25
318.0,40.0,20.0,2.0,100.0,5.882353
319.0,49.0,20.0,2.0,100.0,4.0
320.0,0.0,20.0,2.0,100.0,100.0
321.0,0.5,20.0,2.0,100.0,20.0
322.0,1.0,20.0,2.0,100.0,100.0
323.0,2.0,20.0,2.0,100.0,33.333332
324.0,3.0,20.0,2.0,100.0,33.333332
325.0,5.0,20.0,2.0,100.0,11.111111
326.0,10.0,20.0,2.0,100.0,6.25
327.0,20.0,20.0,2.0,100.0,5.263158
328.0,40.0,20.0,2.0,100.0,5.263158
329.0,49.0,20.0,2.0,100.0,4.0
330.0,0.0,20.0,2.0,100.0,100.0
331.0,0.5,20.0,2.0,100.0,33.333332
332.0,1.0,20.0,2.0,100.0,33.333332
333.0,2.0,20.0,2.0,100.0,33.333332
334.0,3.0,20.0,2.0,100.0,25.0
335.0,5.0,20.0,2.0,100.0,7.142857
336.0,10.0,20.0,2.0,100.0,8.333333
337.0,20.0,20.0,2.0,100.0,5.882353
338.0,40.0,20.0,2.0,100.0,4.7619047
339.0,49.0,20.0,2.0,100.0,4.7619047
340.0,0.0,20.0,2.0,100.0,100.0
341.0,0.5,20.0,2.0,100.0,100.0
342.0,1.0,20.0,2.0,100.0,33.333332
343.0,2.0,20.0,2.0,100.0,9.090909
344.0,3.0,20.0,2.0,100.0,16.666666
345.0,5.0,20.0,2.0,100.0,20.0
346.0,10.0,20.0,2.0,100.0,9.090909
347.0,20.0,20.0,2.0,100.0,5.263158
348.0,40.0,20.0,2.0,100.0,5.5555553
349.0,49.0,20.0,2.0,100.0,4.7619047
350.0,0.0,20.0,2.0,100.0,100.0
351.0,0.5,20.0,2.0,100.0,100.0
352.0,1.0,20.0,2.0,100.0,33.333332
353.0,2.0,20.0,2.0,100.0,33.333332
354.0,3.0,20.0,2.0,100.0,25.0
355.0,5.0,20.0,2.0,100.0,7.6923075
356.0,10.0,20.0,2.0,100.0,5.882353
357.0,20.0,20.0,2.0,100.0,5.882353
358.0,40.0,20.0,2.0,100.0,4.7619047
359.0,49.0,20.0,2.0,100.0,4.347826
360.0,0.0,20.0,2.0,100.0,100.0
361.0,0.5,20.0,2.0,100.0,100.0
362.0,1.0,20.0,2.0,100.0,33.333332
363.0,2.0,20.0,2.0,100.0,33.333332
364.0,3.0,20.0,2.0,100.0,10.0
365.0,5.0,20.0,2.0,100.0,12.5
366.0,10.0,20.0,2.0,100.0,11.111111
367.0,20.0,20.0,2.0,100.0,5.263158
368.0,40.0,20.0,2.0,100.0,5.263158
369.0,49.0,20.0,2.0,100.0,4.7619047
370.0,0.0,20.0,2.0,100.0,100.0
371.0,0.5,20.0,2.0,100.0,100.0
372.0,1.0,20.0,2.0,100.0,33.333332
373.0,2.0,20.0,2.0,100.0,25.0
374.0,3.0,20.0,2.0,100.0,9.090909
375.0,5.0,20.0,2.0,100.0,4.7619047
376.0,10.0,20.0,2.0,100.0,8.333333
377.0,20.0,20.0,2.0,100.0,5.263158
378.0,40.0,20.0,2.0,100.0,4.7619047
379.0,49.0,20.0,2.0,100.0,4.347826
380.0,0.0,20.0,2.0,100.0,100.0
381.0,0.5,20.0,2.0,100.0,33.333332
382.0,1.0,20.0,2.0,100.0,6.6666665
383.0,2.0,20.0,2.0,100.0,100.0
384.0,3.0,20.0,2.0,100.0,8.333333
385.0,5.0,20.0,2.0,100.0,33.333332
386.0,10.0,20.0,2.0,100.0,9.090909
387.0,20.0,20.0,2.0,100.0,7.6923075
388.0,40.0,20.0,2.0,100.0,4.347826
389.0,49.0,20.0,2.0,100.0,5.263158
390.0,0.0,20.0,2.0,100.0,100.0
391.0,0.5,20.0,2.0,100.0,33.333332
392.0,1.0,20.0,2.0,100.0,25.0
393.0,2.0,20.0,2.0,100.0,7.142857
394.0,3.0,20.0,2.0,100.0,7.142857
395.0,5.0,20.0,2.0,100.0,12.5
396.0,10.0,20.0,2.0,100.0,14.285714
397.0,20.0,20.0,2.0,100.0,4.7619047
398.0,40.0,20.0,2.0,100.0,5.263158
399.0,49.0,20.0,2.0,100.0,4.7619047
400.0,0.0,20.0,2.0,100.0,100.0
401.0,0.5,20.0,2.0,100.0,33.333332
402.0,1.0,20.0,2.0,100.0,33.333332
403.0,2.0,20.0,2.0,100.0,11.111111
404.0,3.0,20.0,2.0,100.0,14.285714
405.0,5.0,20.0,2.0,100.0,25.0
406.0,10.0,20.0,2.0,100.0,7.6923075
407.0,20.0,20.0,2.0,100.0,4.347826
408.0,40.0,20.0,2.0,100.0,5.882353
409.0,49.0,20.0,2.0,100.0,5.882353
410.0,0.0,20.0,2.0,100.0,6.6666665
411.0,0.5,20.0,2.0,100.0,100.0
412.0,1.0,20.0,2.0,100.0,33.333332
413.0,2.0,20.0,2.0,100.0,7.6923075
414.0,3.0,20.0,2.0,100.0,12.5
415.0,5.0,20.0,2.0,100.0,12.5
416.0,10.0,20.0,2.0,100.0,11.111111
417.0,20.0,20.0,2.0,100.0,5.263158
418.0,40.0,20.0,2.0,100.0,4.0
419.0,49.0,20.0,2.0,100.0,4.7619047
420.0,0.0,20.0,2.0,100.0,100.0
421.0,0.5,20.0,2.0,100.0,33.333332
422.0,1.0,20.0,2.0,100.0,33.333332
423.0,2.0,20.0,2.0,100.0,100.0
424.0,3.0,20.0,2.0,100.0,14.285714
425.0,5.0,20.0,2.0,100.0,11.111111
426.0,10.0,20.0,2.0,100.0,12.5
427.0,20.0,20.0,2.0,100.0,5.263158
428.0,40.0,20.0,2.0,100.0,5.263158
429.0,49.0,20.0,2.0,100.0,4.7619047
430.0,0.0,20.0,2.0,100.0,100.0
431.0,0.5,20.0,2.0,100.0,33.333332
432.0,1.0,20.0,2.0,100.0,33.333332
433.0,2.0,20.0,2.0,100.0,33.333332
434.0,3.0,20.0,2.0,100.0,11.111111
435.0,5.0,20.0,2.0,100.0,33.333332
436.0,10.0,20.0,2.0,100.0,7.142857
437.0,20.0,20.0,2.0,100.0,5.0
438.0,40.0,20.0,2.0,100.0,4.7619047
439.0,49.0,20.0,2.0,100.0,4.347826
440.0,0.0,20.0,2.0,100.0,100.0
441.0,0.5,20.0,2.0,100.0,100.0
442.0,1.0,20.0,2.0,100.0,33.333332
443.0,2.0,20.0,2.0,100.0,12.5
444.0,3.0,20.0,2.0,100.0,33.333332
445.0,5.0,20.0,2.0,100.0,16.666666
446.0,10.0,20.0,2.0,100.0,7.142857
447.0,20.0,20.0,2.0,100.0,5.882353
448.0,40.0,20.0,2.0,100.0,5.263158
449.0,49.0,20.0,2.0,100.0,4.7619047
450.0,0.0,20.0,2.0,100.0,100.0
451.0,0.5,20.0,2.0,100.0,100.0
452.0,1.0,20.0,2.0,100.0,20.0
453.0,2.0,20.0,2.0,100.0,33.333332
454.0,3.0,20.0,2.0,100.0,5.263158
455.0,5.0,20.0,2.0,100.0,11.111111
456.0,10.0,20.0,2.0,100.0,12.5
457.0,20.0,20.0,2.0,100.0,5.263158
458.0,40.0,20.0,2.0,100.0,5.5555553
459.0,49.0,20.0,2.0,100.0,4.7619047
460.0,0.0,20.0,2.0,100.0,11.111111
461.0,0.5,20.0,2.0,100.0,100.0
462.0,1.0,20.0,2.0,100.0,100.0
463.0,2.0,20.0,2.0,100.0,12.5
464.0,3.0,20.0,2.0,100.0,9.090909
465.0,5.0,20.0,2.0,100.0,14.285714
466.0,10.0,20.0,2.0,100.0,7.6923075
467.0,20.0,20.0,2.0,100.0,5.882353
468.0,40.0,20.0,2.0,100.0,4.347826
469.0,49.0,20.0,2.0,100.0,4.7619047
470.0,0.0,20.0,2.0,100.0,100.0
471.0,0.5,20.0,2.0,100.0,100.0
472.0,1.0,20.0,2.0,100.0,20.0
473.0,2.0,20.0,2.0,100.0,8.333333
474.0,3.0,20.0,2.0,100.0,11.111111
475.0,5.0,20.0,2.0,100.0,10.0
476.0,10.0,20.0,2.0,100.0,5.5555553
477.0,20.0,20.0,2.0,100.0,6.25
478.0,40.0,20.0,2.0,100.0,5.0
479.0,49.0,20.0,2.0,100.0,4.7619047
480.0,0.0,20.0,2.0,100.0,100.0
481.0,0.5,20.0,2.0,100.0,100.0
482.0,1.0,20.0,2.0,100.0,33.333332
483.0,2.0,20.0,2.0,100.0,14.285714
484.0,3.0,20.0,2.0,100.0,11.111111
485.0,5.0,20.0,2.0,100.0,33.333332
486.0,10.0,20.0,2.0,100.0,7.6923075
487.0,20.0,20.0,2.0,100.0,7.142857
488.0,40.0,20.0,2.0,100.0,5.263158
489.0,49.0,20.0,2.0,100.0,5.5555553
490.0,0.0,20.0,2.0,100.0,100.0
491.0,0.5,20.0,2.0,100.0,33.333332
492.0,1.0,20.0,2.0,100.0,100.0
493.0,2.0,20.0,2.0,100.0,6.6666665
494.0,3.0,20.0,2.0,100.0,20.0
495.0,5.0,20.0,2.0,100.0,7.142857
496.0,10.0,20.0,2.0,100.0,5.882353
497.0,20.0,20.0,2.0,100.0,6.25
498.0,40.0,20.0,2.0,100.0,4.7619047
499.0,49.0,20.0,2.0,100.0,4.7619047
500.0,0.0,20.0,2.0,100.0,100.0
501.0,0.5,20.0,2.0,100.0,100.0
502.0,1.0,20.0,2.0,100.0,33.333332
503.0,2.0,20.0,2.0,100.0,11.111111
504.0,3.0,20.0,2.0,100.0,8.333333
505.0,5.0,20.0,2.0,100.0,25.0
506.0,10.0,20.0,2.0,100.0,12.5
507.0,20.0,20.0,2.0,100.0,4.347826
508.0,40.0,20.0,2.0,100.0,4.347826
509.0,49.0,20.0,2.0,100.0,4.7619047
510.0,0.0,20.0,2.0,100.0,100.0
511.0,0.5,20.0,2.0,100.0,100.0
512.0,1.0,20.0,2.0,100.0,33.333332
513.0,2.0,20.0,2.0,100.0,14.285714
514.0,3.0,20.0,2.0,100.0,20.0
515.0,5.0,20.0,2.0,100.0,6.25
516.0,10.0,20.0,2.0,100.0,5.263158
517.0,20.0,20.0,2.0,100.0,7.142857
518.0,40.0,20.0,2.0,100.0,6.6666665
