Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,28.292994
1.0,0.5,20.0,2.0,100.0,27.710344
2.0,1.0,20.0,2.0,100.0,28.645569
3.0,2.0,20.0,2.0,100.0,28.02649
4.0,3.0,20.0,2.0,100.0,20.319328
5.0,5.0,20.0,2.0,100.0,20.585987
6.0,10.0,20.0,2.0,100.0,22.73006
7.0,20.0,20.0,2.0,100.0,24.095505
8.0,40.0,20.0,2.0,100.0,25.80342
9.0,49.0,20.0,2.0,100.0,48.08952
10.0,0.0,20.0,2.0,100.0,28.962025
11.0,0.5,20.0,2.0,100.0,29.867924
12.0,1.0,20.0,2.0,100.0,17.479675
13.0,2.0,20.0,2.0,100.0,19.936619
14.0,3.0,20.0,2.0,100.0,18.10949
15.0,5.0,20.0,2.0,100.0,21.978102
16.0,10.0,20.0,2.0,100.0,27.490446
17.0,20.0,20.0,2.0,100.0,19.0
18.0,40.0,20.0,2.0,100.0,22.725664
19.0,49.0,20.0,2.0,100.0,21.778051
20.0,0.0,20.0,2.0,100.0,29.076433
21.0,0.5,20.0,2.0,100.0,29.018988
22.0,1.0,20.0,2.0,100.0,15.007751
23.0,2.0,20.0,2.0,100.0,19.648438
24.0,3.0,20.0,2.0,100.0,20.079136
25.0,5.0,20.0,2.0,100.0,22.957575
26.0,10.0,20.0,2.0,100.0,13.261194
27.0,20.0,20.0,2.0,100.0,41.936584
28.0,40.0,20.0,2.0,100.0,19.494253
29.0,49.0,20.0,2.0,100.0,21.232416
30.0,0.0,20.0,2.0,100.0,30.627329
31.0,0.5,20.0,2.0,100.0,28.44079
32.0,1.0,20.0,2.0,100.0,29.496855
33.0,2.0,20.0,2.0,100.0,20.4
34.0,3.0,20.0,2.0,100.0,23.350878
35.0,5.0,20.0,2.0,100.0,10.966102
36.0,10.0,20.0,2.0,100.0,13.040816
37.0,20.0,20.0,2.0,100.0,17.939598
38.0,40.0,20.0,2.0,100.0,23.482353
39.0,49.0,20.0,2.0,100.0,23.39164
40.0,0.0,20.0,2.0,100.0,28.797468
41.0,0.5,20.0,2.0,100.0,15.503759
42.0,1.0,20.0,2.0,100.0,13.230769
43.0,2.0,20.0,2.0,100.0,14.163935
44.0,3.0,20.0,2.0,100.0,28.601265
45.0,5.0,20.0,2.0,100.0,10.359375
46.0,10.0,20.0,2.0,100.0,14.427587
47.0,20.0,20.0,2.0,100.0,15.865249
48.0,40.0,20.0,2.0,100.0,20.035336
49.0,49.0,20.0,2.0,100.0,26.750416
50.0,0.0,20.0,2.0,100.0,42.102856
51.0,0.5,20.0,2.0,100.0,29.44654
52.0,1.0,20.0,2.0,100.0,19.593496
53.0,2.0,20.0,2.0,100.0,19.863636
54.0,3.0,20.0,2.0,100.0,23.837036
55.0,5.0,20.0,2.0,100.0,12.955882
56.0,10.0,20.0,2.0,100.0,22.692308
57.0,20.0,20.0,2.0,100.0,22.78453
58.0,40.0,20.0,2.0,100.0,17.075188
59.0,49.0,20.0,2.0,100.0,19.279945
60.0,0.0,20.0,2.0,100.0,29.875
61.0,0.5,20.0,2.0,100.0,22.153847
62.0,1.0,20.0,2.0,100.0,15.420635
63.0,2.0,20.0,2.0,100.0,18.338984
64.0,3.0,20.0,2.0,100.0,26.678082
65.0,5.0,20.0,2.0,100.0,16.954248
66.0,10.0,20.0,2.0,100.0,10.02521
67.0,20.0,20.0,2.0,100.0,23.42515
68.0,40.0,20.0,2.0,100.0,35.575
69.0,49.0,20.0,2.0,100.0,20.04278
70.0,0.0,20.0,2.0,100.0,28.611465
71.0,0.5,20.0,2.0,100.0,28.070513
72.0,1.0,20.0,2.0,100.0,29.54717
73.0,2.0,20.0,2.0,100.0,28.217949
74.0,3.0,20.0,2.0,100.0,16.87069
75.0,5.0,20.0,2.0,100.0,25.141026
