Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,0.0
1.0,0.5,20.0,2.0,100.0,47.60602
2.0,1.0,20.0,2.0,100.0,0.0
3.0,2.0,20.0,2.0,100.0,19.863823
4.0,3.0,20.0,2.0,100.0,15.297058
5.0,5.0,20.0,2.0,100.0,19.131126
6.0,10.0,20.0,2.0,100.0,5.434458
7.0,20.0,20.0,2.0,100.0,2.955553
8.0,40.0,20.0,2.0,100.0,3.783621
9.0,49.0,20.0,2.0,100.0,3.1953914
10.0,0.0,20.0,2.0,100.0,0.0
11.0,0.5,20.0,2.0,100.0,0.0
12.0,1.0,20.0,2.0,100.0,23.259407
13.0,2.0,20.0,2.0,100.0,2.7731707
14.0,3.0,20.0,2.0,100.0,28.401878
15.0,5.0,20.0,2.0,100.0,5.3616467
16.0,10.0,20.0,2.0,100.0,2.4909194
17.0,20.0,20.0,2.0,100.0,6.29
18.0,40.0,20.0,2.0,100.0,2.9409392
19.0,49.0,20.0,2.0,100.0,2.1270206
20.0,0.0,20.0,2.0,100.0,0.0
21.0,0.5,20.0,2.0,100.0,0.0
22.0,1.0,20.0,2.0,100.0,27.300793
23.0,2.0,20.0,2.0,100.0,37.84618
24.0,3.0,20.0,2.0,100.0,3.275977
25.0,5.0,20.0,2.0,100.0,4.4283514
26.0,10.0,20.0,2.0,100.0,11.680079
27.0,20.0,20.0,2.0,100.0,2.1095536
28.0,40.0,20.0,2.0,100.0,3.0155544
29.0,49.0,20.0,2.0,100.0,2.3447464
30.0,0.0,20.0,2.0,100.0,0.0
31.0,0.5,20.0,2.0,100.0,53.42596
32.0,1.0,20.0,2.0,100.0,0.0
33.0,2.0,20.0,2.0,100.0,19.111204
34.0,3.0,20.0,2.0,100.0,7.3817954
35.0,5.0,20.0,2.0,100.0,12.096832
36.0,10.0,20.0,2.0,100.0,8.47885
37.0,20.0,20.0,2.0,100.0,5.4072266
38.0,40.0,20.0,2.0,100.0,3.966774
39.0,49.0,20.0,2.0,100.0,4.7958317
40.0,0.0,20.0,2.0,100.0,0.0
41.0,0.5,20.0,2.0,100.0,28.988503
42.0,1.0,20.0,2.0,100.0,19.76529
43.0,2.0,20.0,2.0,100.0,10.8737335
44.0,3.0,20.0,2.0,100.0,0.0
45.0,5.0,20.0,2.0,100.0,10.078264
46.0,10.0,20.0,2.0,100.0,5.150127
47.0,20.0,20.0,2.0,100.0,3.7061157
48.0,40.0,20.0,2.0,100.0,3.6010168
49.0,49.0,20.0,2.0,100.0,2.9219878
50.0,0.0,20.0,2.0,100.0,11.579763
51.0,0.5,20.0,2.0,100.0,0.0
52.0,1.0,20.0,2.0,100.0,38.552994
53.0,2.0,20.0,2.0,100.0,8.498365
54.0,3.0,20.0,2.0,100.0,45.214306
55.0,5.0,20.0,2.0,100.0,9.105206
56.0,10.0,20.0,2.0,100.0,4.6115794
57.0,20.0,20.0,2.0,100.0,4.3039293
58.0,40.0,20.0,2.0,100.0,2.586832
59.0,49.0,20.0,2.0,100.0,2.7688746
60.0,0.0,20.0,2.0,100.0,0.0
61.0,0.5,20.0,2.0,100.0,36.66515
62.0,1.0,20.0,2.0,100.0,16.970562
63.0,2.0,20.0,2.0,100.0,36.115555
64.0,3.0,20.0,2.0,100.0,49.237522
65.0,5.0,20.0,2.0,100.0,13.606721
66.0,10.0,20.0,2.0,100.0,13.034753
67.0,20.0,20.0,2.0,100.0,5.056095
68.0,40.0,20.0,2.0,100.0,2.447545
69.0,49.0,20.0,2.0,100.0,1.7055298
70.0,0.0,20.0,2.0,100.0,0.0
71.0,0.5,20.0,2.0,100.0,0.0
72.0,1.0,20.0,2.0,100.0,0.0
73.0,2.0,20.0,2.0,100.0,0.0
74.0,3.0,20.0,2.0,100.0,29.698484
75.0,5.0,20.0,2.0,100.0,2.427908
76.0,10.0,20.0,2.0,100.0,4.9952364
77.0,20.0,20.0,2.0,100.0,3.1000476
78.0,40.0,20.0,2.0,100.0,2.5351331
79.0,49.0,20.0,2.0,100.0,3.9824984
80.0,0.0,20.0,2.0,100.0,0.0
81.0,0.5,20.0,2.0,100.0,51.73329
82.0,1.0,20.0,2.0,100.0,59.39697
83.0,2.0,20.0,2.0,100.0,23.437862
84.0,3.0,20.0,2.0,100.0,11.7266865
85.0,5.0,20.0,2.0,100.0,31.112698
86.0,10.0,20.0,2.0,100.0,13.794598
87.0,20.0,20.0,2.0,100.0,2.5476413
88.0,40.0,20.0,2.0,100.0,2.0470653
89.0,49.0,20.0,2.0,100.0,2.6424336
90.0,0.0,20.0,2.0,100.0,0.0
91.0,0.5,20.0,2.0,100.0,0.0
92.0,1.0,20.0,2.0,100.0,18.493242
93.0,2.0,20.0,2.0,100.0,7.3783174
94.0,3.0,20.0,2.0,100.0,12.66228
95.0,5.0,20.0,2.0,100.0,5.57766
96.0,10.0,20.0,2.0,100.0,7.97078
97.0,20.0,20.0,2.0,100.0,3.05946
98.0,40.0,20.0,2.0,100.0,2.3473136
99.0,49.0,20.0,2.0,100.0,2.533569
100.0,0.0,20.0,2.0,100.0,0.0
101.0,0.5,20.0,2.0,100.0,0.0
102.0,1.0,20.0,2.0,100.0,12.845233
103.0,2.0,20.0,2.0,100.0,30.664854
104.0,3.0,20.0,2.0,100.0,11.846237
105.0,5.0,20.0,2.0,100.0,4.743072
106.0,10.0,20.0,2.0,100.0,3.586125
107.0,20.0,20.0,2.0,100.0,2.8097575
108.0,40.0,20.0,2.0,100.0,3.4454815
109.0,49.0,20.0,2.0,100.0,2.1190746
110.0,0.0,20.0,2.0,100.0,0.0
111.0,0.5,20.0,2.0,100.0,49.237522
112.0,1.0,20.0,2.0,100.0,9.911732
113.0,2.0,20.0,2.0,100.0,39.95414
114.0,3.0,20.0,2.0,100.0,2.0586634
115.0,5.0,20.0,2.0,100.0,2.3644187
116.0,10.0,20.0,2.0,100.0,6.6923747
117.0,20.0,20.0,2.0,100.0,2.8238318
118.0,40.0,20.0,2.0,100.0,3.0703259
119.0,49.0,20.0,2.0,100.0,1.7593703
120.0,0.0,20.0,2.0,100.0,0.0
121.0,0.5,20.0,2.0,100.0,0.0
122.0,1.0,20.0,2.0,100.0,40.673496
123.0,2.0,20.0,2.0,100.0,0.0
124.0,3.0,20.0,2.0,100.0,17.037214
125.0,5.0,20.0,2.0,100.0,18.258179
126.0,10.0,20.0,2.0,100.0,4.9086905
127.0,20.0,20.0,2.0,100.0,2.748737
128.0,40.0,20.0,2.0,100.0,2.5671923
129.0,49.0,20.0,2.0,100.0,3.0643883
130.0,0.0,20.0,2.0,100.0,0.0
131.0,0.5,20.0,2.0,100.0,0.0
132.0,1.0,20.0,2.0,100.0,8.326664
133.0,2.0,20.0,2.0,100.0,27.092434
134.0,3.0,20.0,2.0,100.0,6.3669467
135.0,5.0,20.0,2.0,100.0,18.726095
136.0,10.0,20.0,2.0,100.0,6.7122984
137.0,20.0,20.0,2.0,100.0,4.0824833
138.0,40.0,20.0,2.0,100.0,2.364968
139.0,49.0,20.0,2.0,100.0,3.4627266
