Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,27.935898
1.0,0.5,20.0,2.0,100.0,44.278076
2.0,1.0,20.0,2.0,100.0,38.63125
3.0,2.0,20.0,2.0,100.0,29.433962
4.0,3.0,20.0,2.0,100.0,28.941935
5.0,5.0,20.0,2.0,100.0,29.435898
6.0,10.0,20.0,2.0,100.0,28.88889
7.0,20.0,20.0,2.0,100.0,29.273973
8.0,40.0,20.0,2.0,100.0,30.089552
9.0,49.0,20.0,2.0,100.0,29.17323
10.0,0.0,20.0,2.0,100.0,42.110497
11.0,0.5,20.0,2.0,100.0,29.253164
12.0,1.0,20.0,2.0,100.0,28.859873
13.0,2.0,20.0,2.0,100.0,29.365385
14.0,3.0,20.0,2.0,100.0,29.588608
15.0,5.0,20.0,2.0,100.0,28.929935
16.0,10.0,20.0,2.0,100.0,27.966442
17.0,20.0,20.0,2.0,100.0,28.19079
18.0,40.0,20.0,2.0,100.0,27.84127
19.0,49.0,20.0,2.0,100.0,28.816
20.0,0.0,20.0,2.0,100.0,30.34375
21.0,0.5,20.0,2.0,100.0,28.815287
22.0,1.0,20.0,2.0,100.0,29.620253
23.0,2.0,20.0,2.0,100.0,43.213593
24.0,3.0,20.0,2.0,100.0,29.797468
25.0,5.0,20.0,2.0,100.0,22.592592
26.0,10.0,20.0,2.0,100.0,24.556452
27.0,20.0,20.0,2.0,100.0,29.041958
28.0,40.0,20.0,2.0,100.0,26.538462
29.0,49.0,20.0,2.0,100.0,29.96124
30.0,0.0,20.0,2.0,100.0,28.91772
31.0,0.5,20.0,2.0,100.0,29.98125
32.0,1.0,20.0,2.0,100.0,28.24359
33.0,2.0,20.0,2.0,100.0,29.698112
34.0,3.0,20.0,2.0,100.0,29.179487
35.0,5.0,20.0,2.0,100.0,46.213905
36.0,10.0,20.0,2.0,100.0,25.937984
37.0,20.0,20.0,2.0,100.0,28.748299
38.0,40.0,20.0,2.0,100.0,17.355932
39.0,49.0,20.0,2.0,100.0,28.564886
40.0,0.0,20.0,2.0,100.0,29.88125
41.0,0.5,20.0,2.0,100.0,28.962025
42.0,1.0,20.0,2.0,100.0,29.392405
43.0,2.0,20.0,2.0,100.0,29.632912
44.0,3.0,20.0,2.0,100.0,29.238995
45.0,5.0,20.0,2.0,100.0,28.647436
46.0,10.0,20.0,2.0,100.0,27.644295
47.0,20.0,20.0,2.0,100.0,29.537415
48.0,40.0,20.0,2.0,100.0,30.485916
49.0,49.0,20.0,2.0,100.0,28.96923
50.0,0.0,20.0,2.0,100.0,27.846153
51.0,0.5,20.0,2.0,100.0,29.591194
52.0,1.0,20.0,2.0,100.0,30.069181
53.0,2.0,20.0,2.0,100.0,27.764706
54.0,3.0,20.0,2.0,100.0,29.56688
55.0,5.0,20.0,2.0,100.0,28.577923
56.0,10.0,20.0,2.0,100.0,29.753334
57.0,20.0,20.0,2.0,100.0,27.9
58.0,40.0,20.0,2.0,100.0,29.419117
59.0,49.0,20.0,2.0,100.0,27.294573
60.0,0.0,20.0,2.0,100.0,29.89375
61.0,0.5,20.0,2.0,100.0,30.67702
62.0,1.0,20.0,2.0,100.0,28.608974
63.0,2.0,20.0,2.0,100.0,30.364197
64.0,3.0,20.0,2.0,100.0,29.943037
65.0,5.0,20.0,2.0,100.0,18.364407
66.0,10.0,20.0,2.0,100.0,29.450981
67.0,20.0,20.0,2.0,100.0,45.435898
68.0,40.0,20.0,2.0,100.0,26.606298
69.0,49.0,20.0,2.0,100.0,27.921259
70.0,0.0,20.0,2.0,100.0,29.89375
71.0,0.5,20.0,2.0,100.0,27.967949
72.0,1.0,20.0,2.0,100.0,29.645569
73.0,2.0,20.0,2.0,100.0,29.101265
74.0,3.0,20.0,2.0,100.0,28.903847
75.0,5.0,20.0,2.0,100.0,28.27922
76.0,10.0,20.0,2.0,100.0,28.93421
77.0,20.0,20.0,2.0,100.0,28.805368
78.0,40.0,20.0,2.0,100.0,22.423729
79.0,49.0,20.0,2.0,100.0,30.229008
80.0,0.0,20.0,2.0,100.0,29.64375
81.0,0.5,20.0,2.0,100.0,29.331211
82.0,1.0,20.0,2.0,100.0,28.128204
83.0,2.0,20.0,2.0,100.0,27.97436
84.0,3.0,20.0,2.0,100.0,30.762821
85.0,5.0,20.0,2.0,100.0,28.6
86.0,10.0,20.0,2.0,100.0,27.682432
87.0,20.0,20.0,2.0,100.0,30.091602
88.0,40.0,20.0,2.0,100.0,37.56875
89.0,49.0,20.0,2.0,100.0,29.694656
90.0,0.0,20.0,2.0,100.0,29.207546
91.0,0.5,20.0,2.0,100.0,28.923567
92.0,1.0,20.0,2.0,100.0,29.49375
93.0,2.0,20.0,2.0,100.0,29.354431
94.0,3.0,20.0,2.0,100.0,29.297468
95.0,5.0,20.0,2.0,100.0,28.909678
96.0,10.0,20.0,2.0,100.0,28.213333
97.0,20.0,20.0,2.0,100.0,27.64626
98.0,40.0,20.0,2.0,100.0,30.34507
99.0,49.0,20.0,2.0,100.0,30.174603
100.0,0.0,20.0,2.0,100.0,28.911392
101.0,0.5,20.0,2.0,100.0,40.347057
102.0,1.0,20.0,2.0,100.0,55.831966
103.0,2.0,20.0,2.0,100.0,28.891026
104.0,3.0,20.0,2.0,100.0,28.852564
105.0,5.0,20.0,2.0,100.0,29.232258
106.0,10.0,20.0,2.0,100.0,30.318182
107.0,20.0,20.0,2.0,100.0,33.94
108.0,40.0,20.0,2.0,100.0,31.820896
109.0,49.0,20.0,2.0,100.0,30.007408
110.0,0.0,20.0,2.0,100.0,28.924051
111.0,0.5,20.0,2.0,100.0,28.388535
112.0,1.0,20.0,2.0,100.0,29.775
