Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,21.44
1.0,0.5,20.0,2.0,100.0,15.1
2.0,1.0,20.0,2.0,100.0,10.83
3.0,2.0,20.0,2.0,100.0,19.23
4.0,3.0,20.0,2.0,100.0,18.17
5.0,5.0,20.0,2.0,100.0,17.66
6.0,10.0,20.0,2.0,100.0,16.03
7.0,20.0,20.0,2.0,100.0,23.61
8.0,40.0,20.0,2.0,100.0,19.96
9.0,49.0,20.0,2.0,100.0,14.23
10.0,0.0,20.0,2.0,100.0,12.89
11.0,0.5,20.0,2.0,100.0,23.53
12.0,1.0,20.0,2.0,100.0,20.81
13.0,2.0,20.0,2.0,100.0,18.98
14.0,3.0,20.0,2.0,100.0,17.15
15.0,5.0,20.0,2.0,100.0,20.2
16.0,10.0,20.0,2.0,100.0,17.1
17.0,20.0,20.0,2.0,100.0,19.38
18.0,40.0,20.0,2.0,100.0,16.47
19.0,49.0,20.0,2.0,100.0,16.78
20.0,0.0,20.0,2.0,100.0,21.89
21.0,0.5,20.0,2.0,100.0,22.06
22.0,1.0,20.0,2.0,100.0,18.8
23.0,2.0,20.0,2.0,100.0,14.08
24.0,3.0,20.0,2.0,100.0,21.95
25.0,5.0,20.0,2.0,100.0,10.02
26.0,10.0,20.0,2.0,100.0,9.14
27.0,20.0,20.0,2.0,100.0,22.45
28.0,40.0,20.0,2.0,100.0,22.29
29.0,49.0,20.0,2.0,100.0,15.1
30.0,0.0,20.0,2.0,100.0,19.76
31.0,0.5,20.0,2.0,100.0,24.73
32.0,1.0,20.0,2.0,100.0,14.33
33.0,2.0,20.0,2.0,100.0,20.95
34.0,3.0,20.0,2.0,100.0,20.66
35.0,5.0,20.0,2.0,100.0,10.49
36.0,10.0,20.0,2.0,100.0,11.26
37.0,20.0,20.0,2.0,100.0,11.91
38.0,40.0,20.0,2.0,100.0,11.16
39.0,49.0,20.0,2.0,100.0,23.28
40.0,0.0,20.0,2.0,100.0,18.77
41.0,0.5,20.0,2.0,100.0,15.95
42.0,1.0,20.0,2.0,100.0,18.19
43.0,2.0,20.0,2.0,100.0,22.57
44.0,3.0,20.0,2.0,100.0,14.53
45.0,5.0,20.0,2.0,100.0,21.03
