Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,9.88
1.0,0.5,20.0,2.0,100.0,14.7
2.0,1.0,20.0,2.0,100.0,19.37
3.0,2.0,20.0,2.0,100.0,9.82
4.0,3.0,20.0,2.0,100.0,16.5
5.0,5.0,20.0,2.0,100.0,9.98
6.0,10.0,20.0,2.0,100.0,9.79
7.0,20.0,20.0,2.0,100.0,8.2
8.0,40.0,20.0,2.0,100.0,8.9
9.0,49.0,20.0,2.0,100.0,9.77
10.0,0.0,20.0,2.0,100.0,17.88
11.0,0.5,20.0,2.0,100.0,9.83
12.0,1.0,20.0,2.0,100.0,12.69
13.0,2.0,20.0,2.0,100.0,19.29
14.0,3.0,20.0,2.0,100.0,9.34
15.0,5.0,20.0,2.0,100.0,8.83
16.0,10.0,20.0,2.0,100.0,10.28
17.0,20.0,20.0,2.0,100.0,8.89
18.0,40.0,20.0,2.0,100.0,10.67
19.0,49.0,20.0,2.0,100.0,9.08
20.0,0.0,20.0,2.0,100.0,17.13
21.0,0.5,20.0,2.0,100.0,19.85
22.0,1.0,20.0,2.0,100.0,22.61
23.0,2.0,20.0,2.0,100.0,11.07
24.0,3.0,20.0,2.0,100.0,11.21
25.0,5.0,20.0,2.0,100.0,10.99
26.0,10.0,20.0,2.0,100.0,7.88
27.0,20.0,20.0,2.0,100.0,10.73
28.0,40.0,20.0,2.0,100.0,10.12
29.0,49.0,20.0,2.0,100.0,8.61
30.0,0.0,20.0,2.0,100.0,16.74
31.0,0.5,20.0,2.0,100.0,11.83
32.0,1.0,20.0,2.0,100.0,12.74
33.0,2.0,20.0,2.0,100.0,22.11
34.0,3.0,20.0,2.0,100.0,11.56
35.0,5.0,20.0,2.0,100.0,8.49
36.0,10.0,20.0,2.0,100.0,9.53
37.0,20.0,20.0,2.0,100.0,10.69
38.0,40.0,20.0,2.0,100.0,13.25
39.0,49.0,20.0,2.0,100.0,9.13
40.0,0.0,20.0,2.0,100.0,21.87
41.0,0.5,20.0,2.0,100.0,23.27
42.0,1.0,20.0,2.0,100.0,11.76
43.0,2.0,20.0,2.0,100.0,10.56
44.0,3.0,20.0,2.0,100.0,8.5
45.0,5.0,20.0,2.0,100.0,10.32
46.0,10.0,20.0,2.0,100.0,13.16
47.0,20.0,20.0,2.0,100.0,10.49
48.0,40.0,20.0,2.0,100.0,8.59
49.0,49.0,20.0,2.0,100.0,9.08
50.0,0.0,20.0,2.0,100.0,18.92
51.0,0.5,20.0,2.0,100.0,14.21
52.0,1.0,20.0,2.0,100.0,13.12
53.0,2.0,20.0,2.0,100.0,10.14
54.0,3.0,20.0,2.0,100.0,15.74
55.0,5.0,20.0,2.0,100.0,12.58
56.0,10.0,20.0,2.0,100.0,8.0
57.0,20.0,20.0,2.0,100.0,8.09
58.0,40.0,20.0,2.0,100.0,8.66
59.0,49.0,20.0,2.0,100.0,9.17
60.0,0.0,20.0,2.0,100.0,16.98
61.0,0.5,20.0,2.0,100.0,18.12
62.0,1.0,20.0,2.0,100.0,8.79
63.0,2.0,20.0,2.0,100.0,18.97
64.0,3.0,20.0,2.0,100.0,12.23
65.0,5.0,20.0,2.0,100.0,12.76
66.0,10.0,20.0,2.0,100.0,9.75
67.0,20.0,20.0,2.0,100.0,10.22
68.0,40.0,20.0,2.0,100.0,10.23
69.0,49.0,20.0,2.0,100.0,9.23
70.0,0.0,20.0,2.0,100.0,19.69
71.0,0.5,20.0,2.0,100.0,22.27
72.0,1.0,20.0,2.0,100.0,15.45
73.0,2.0,20.0,2.0,100.0,8.74
74.0,3.0,20.0,2.0,100.0,15.81
75.0,5.0,20.0,2.0,100.0,9.69
76.0,10.0,20.0,2.0,100.0,8.78
77.0,20.0,20.0,2.0,100.0,9.04
78.0,40.0,20.0,2.0,100.0,8.98
79.0,49.0,20.0,2.0,100.0,10.39
80.0,0.0,20.0,2.0,100.0,14.65
81.0,0.5,20.0,2.0,100.0,23.51
82.0,1.0,20.0,2.0,100.0,13.89
83.0,2.0,20.0,2.0,100.0,11.77
84.0,3.0,20.0,2.0,100.0,10.18
85.0,5.0,20.0,2.0,100.0,9.87
86.0,10.0,20.0,2.0,100.0,8.91
87.0,20.0,20.0,2.0,100.0,9.31
88.0,40.0,20.0,2.0,100.0,9.64
89.0,49.0,20.0,2.0,100.0,12.39
90.0,0.0,20.0,2.0,100.0,15.15
91.0,0.5,20.0,2.0,100.0,12.42
92.0,1.0,20.0,2.0,100.0,17.29
93.0,2.0,20.0,2.0,100.0,12.45
94.0,3.0,20.0,2.0,100.0,13.65
95.0,5.0,20.0,2.0,100.0,9.98
96.0,10.0,20.0,2.0,100.0,9.35
97.0,20.0,20.0,2.0,100.0,8.7
98.0,40.0,20.0,2.0,100.0,8.8
99.0,49.0,20.0,2.0,100.0,10.68
100.0,0.0,20.0,2.0,100.0,19.01
101.0,0.5,20.0,2.0,100.0,19.59
102.0,1.0,20.0,2.0,100.0,8.5
103.0,2.0,20.0,2.0,100.0,12.29
104.0,3.0,20.0,2.0,100.0,8.4
105.0,5.0,20.0,2.0,100.0,10.2
106.0,10.0,20.0,2.0,100.0,12.55
107.0,20.0,20.0,2.0,100.0,9.64
108.0,40.0,20.0,2.0,100.0,9.03
109.0,49.0,20.0,2.0,100.0,12.06
110.0,0.0,20.0,2.0,100.0,20.23
111.0,0.5,20.0,2.0,100.0,21.94
112.0,1.0,20.0,2.0,100.0,12.51
113.0,2.0,20.0,2.0,100.0,11.15
114.0,3.0,20.0,2.0,100.0,9.96
115.0,5.0,20.0,2.0,100.0,9.16
116.0,10.0,20.0,2.0,100.0,11.86
117.0,20.0,20.0,2.0,100.0,9.42
118.0,40.0,20.0,2.0,100.0,8.05
119.0,49.0,20.0,2.0,100.0,11.75
120.0,0.0,20.0,2.0,100.0,12.17
121.0,0.5,20.0,2.0,100.0,9.58
122.0,1.0,20.0,2.0,100.0,25.27
123.0,2.0,20.0,2.0,100.0,8.44
124.0,3.0,20.0,2.0,100.0,9.39
125.0,5.0,20.0,2.0,100.0,12.72
126.0,10.0,20.0,2.0,100.0,12.47
127.0,20.0,20.0,2.0,100.0,9.72
128.0,40.0,20.0,2.0,100.0,8.56
129.0,49.0,20.0,2.0,100.0,8.92
130.0,0.0,20.0,2.0,100.0,12.94
131.0,0.5,20.0,2.0,100.0,12.21
132.0,1.0,20.0,2.0,100.0,13.19
133.0,2.0,20.0,2.0,100.0,9.92
134.0,3.0,20.0,2.0,100.0,12.8
135.0,5.0,20.0,2.0,100.0,11.18
136.0,10.0,20.0,2.0,100.0,8.47
137.0,20.0,20.0,2.0,100.0,10.03
138.0,40.0,20.0,2.0,100.0,9.51
139.0,49.0,20.0,2.0,100.0,11.54
140.0,0.0,20.0,2.0,100.0,22.35
141.0,0.5,20.0,2.0,100.0,14.07
142.0,1.0,20.0,2.0,100.0,19.92
143.0,2.0,20.0,2.0,100.0,9.44
144.0,3.0,20.0,2.0,100.0,9.27
145.0,5.0,20.0,2.0,100.0,9.11
146.0,10.0,20.0,2.0,100.0,9.21
147.0,20.0,20.0,2.0,100.0,9.49
148.0,40.0,20.0,2.0,100.0,9.87
149.0,49.0,20.0,2.0,100.0,8.51
150.0,0.0,20.0,2.0,100.0,22.0
151.0,0.5,20.0,2.0,100.0,21.89
152.0,1.0,20.0,2.0,100.0,18.36
153.0,2.0,20.0,2.0,100.0,8.62
154.0,3.0,20.0,2.0,100.0,14.88
155.0,5.0,20.0,2.0,100.0,8.07
156.0,10.0,20.0,2.0,100.0,8.53
157.0,20.0,20.0,2.0,100.0,10.98
158.0,40.0,20.0,2.0,100.0,8.35
159.0,49.0,20.0,2.0,100.0,8.09
160.0,0.0,20.0,2.0,100.0,21.66
161.0,0.5,20.0,2.0,100.0,14.06
162.0,1.0,20.0,2.0,100.0,21.73
163.0,2.0,20.0,2.0,100.0,13.06
164.0,3.0,20.0,2.0,100.0,10.5
165.0,5.0,20.0,2.0,100.0,10.67
166.0,10.0,20.0,2.0,100.0,8.36
167.0,20.0,20.0,2.0,100.0,10.88
168.0,40.0,20.0,2.0,100.0,11.25
169.0,49.0,20.0,2.0,100.0,9.24
170.0,0.0,20.0,2.0,100.0,25.03
171.0,0.5,20.0,2.0,100.0,10.94
172.0,1.0,20.0,2.0,100.0,19.19
173.0,2.0,20.0,2.0,100.0,10.27
174.0,3.0,20.0,2.0,100.0,12.05
175.0,5.0,20.0,2.0,100.0,9.25
176.0,10.0,20.0,2.0,100.0,9.97
177.0,20.0,20.0,2.0,100.0,10.69
178.0,40.0,20.0,2.0,100.0,7.82
179.0,49.0,20.0,2.0,100.0,11.31
180.0,0.0,20.0,2.0,100.0,25.17
181.0,0.5,20.0,2.0,100.0,11.06
182.0,1.0,20.0,2.0,100.0,12.68
183.0,2.0,20.0,2.0,100.0,9.76
184.0,3.0,20.0,2.0,100.0,10.45
185.0,5.0,20.0,2.0,100.0,8.91
186.0,10.0,20.0,2.0,100.0,8.26
187.0,20.0,20.0,2.0,100.0,12.84
188.0,40.0,20.0,2.0,100.0,13.07
