Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,100.0
1.0,0.5,20.0,2.0,100.0,33.333332
2.0,1.0,20.0,2.0,100.0,100.0
3.0,2.0,20.0,2.0,100.0,14.285714
4.0,3.0,20.0,2.0,100.0,33.333332
5.0,5.0,20.0,2.0,100.0,10.0
6.0,10.0,20.0,2.0,100.0,12.5
7.0,20.0,20.0,2.0,100.0,5.263158
8.0,40.0,20.0,2.0,100.0,6.25
9.0,49.0,20.0,2.0,100.0,5.882353
10.0,0.0,20.0,2.0,100.0,100.0
11.0,0.5,20.0,2.0,100.0,33.333332
12.0,1.0,20.0,2.0,100.0,7.6923075
13.0,2.0,20.0,2.0,100.0,100.0
14.0,3.0,20.0,2.0,100.0,20.0
15.0,5.0,20.0,2.0,100.0,6.6666665
16.0,10.0,20.0,2.0,100.0,12.5
17.0,20.0,20.0,2.0,100.0,7.6923075
18.0,40.0,20.0,2.0,100.0,5.263158
19.0,49.0,20.0,2.0,100.0,5.263158
20.0,0.0,20.0,2.0,100.0,100.0
21.0,0.5,20.0,2.0,100.0,33.333332
22.0,1.0,20.0,2.0,100.0,100.0
23.0,2.0,20.0,2.0,100.0,16.666666
24.0,3.0,20.0,2.0,100.0,25.0
25.0,5.0,20.0,2.0,100.0,16.666666
26.0,10.0,20.0,2.0,100.0,5.5555553
27.0,20.0,20.0,2.0,100.0,5.5555553
28.0,40.0,20.0,2.0,100.0,4.7619047
29.0,49.0,20.0,2.0,100.0,5.882353
30.0,0.0,20.0,2.0,100.0,100.0
31.0,0.5,20.0,2.0,100.0,33.333332
32.0,1.0,20.0,2.0,100.0,33.333332
33.0,2.0,20.0,2.0,100.0,100.0
34.0,3.0,20.0,2.0,100.0,25.0
35.0,5.0,20.0,2.0,100.0,33.333332
36.0,10.0,20.0,2.0,100.0,11.111111
37.0,20.0,20.0,2.0,100.0,7.142857
38.0,40.0,20.0,2.0,100.0,4.7619047
39.0,49.0,20.0,2.0,100.0,4.7619047
40.0,0.0,20.0,2.0,100.0,100.0
41.0,0.5,20.0,2.0,100.0,100.0
42.0,1.0,20.0,2.0,100.0,25.0
43.0,2.0,20.0,2.0,100.0,33.333332
44.0,3.0,20.0,2.0,100.0,8.333333
45.0,5.0,20.0,2.0,100.0,12.5
46.0,10.0,20.0,2.0,100.0,8.333333
47.0,20.0,20.0,2.0,100.0,7.142857
48.0,40.0,20.0,2.0,100.0,5.0
49.0,49.0,20.0,2.0,100.0,4.0
50.0,0.0,20.0,2.0,100.0,100.0
51.0,0.5,20.0,2.0,100.0,33.333332
52.0,1.0,20.0,2.0,100.0,33.333332
53.0,2.0,20.0,2.0,100.0,12.5
54.0,3.0,20.0,2.0,100.0,25.0
55.0,5.0,20.0,2.0,100.0,8.333333
56.0,10.0,20.0,2.0,100.0,11.111111
57.0,20.0,20.0,2.0,100.0,5.882353
58.0,40.0,20.0,2.0,100.0,5.882353
59.0,49.0,20.0,2.0,100.0,4.7619047
60.0,0.0,20.0,2.0,100.0,100.0
61.0,0.5,20.0,2.0,100.0,100.0
62.0,1.0,20.0,2.0,100.0,9.090909
63.0,2.0,20.0,2.0,100.0,100.0
64.0,3.0,20.0,2.0,100.0,14.285714
65.0,5.0,20.0,2.0,100.0,25.0
66.0,10.0,20.0,2.0,100.0,9.090909
67.0,20.0,20.0,2.0,100.0,7.142857
68.0,40.0,20.0,2.0,100.0,3.8461537
69.0,49.0,20.0,2.0,100.0,5.263158
70.0,0.0,20.0,2.0,100.0,100.0
71.0,0.5,20.0,2.0,100.0,33.333332
72.0,1.0,20.0,2.0,100.0,33.333332
73.0,2.0,20.0,2.0,100.0,11.111111
74.0,3.0,20.0,2.0,100.0,33.333332
75.0,5.0,20.0,2.0,100.0,7.142857
76.0,10.0,20.0,2.0,100.0,7.6923075
77.0,20.0,20.0,2.0,100.0,6.25
78.0,40.0,20.0,2.0,100.0,4.347826
79.0,49.0,20.0,2.0,100.0,5.882353
80.0,0.0,20.0,2.0,100.0,100.0
81.0,0.5,20.0,2.0,100.0,33.333332
82.0,1.0,20.0,2.0,100.0,33.333332
83.0,2.0,20.0,2.0,100.0,33.333332
84.0,3.0,20.0,2.0,100.0,20.0
85.0,5.0,20.0,2.0,100.0,11.111111
86.0,10.0,20.0,2.0,100.0,5.5555553
87.0,20.0,20.0,2.0,100.0,5.882353
88.0,40.0,20.0,2.0,100.0,5.0
89.0,49.0,20.0,2.0,100.0,4.347826
90.0,0.0,20.0,2.0,100.0,100.0
91.0,0.5,20.0,2.0,100.0,100.0
92.0,1.0,20.0,2.0,100.0,50.0
93.0,2.0,20.0,2.0,100.0,25.0
94.0,3.0,20.0,2.0,100.0,33.333332
95.0,5.0,20.0,2.0,100.0,20.0
96.0,10.0,20.0,2.0,100.0,8.333333
97.0,20.0,20.0,2.0,100.0,6.25
98.0,40.0,20.0,2.0,100.0,4.347826
99.0,49.0,20.0,2.0,100.0,4.347826
100.0,0.0,20.0,2.0,100.0,100.0
101.0,0.5,20.0,2.0,100.0,100.0
102.0,1.0,20.0,2.0,100.0,9.090909
103.0,2.0,20.0,2.0,100.0,33.333332
104.0,3.0,20.0,2.0,100.0,9.090909
105.0,5.0,20.0,2.0,100.0,16.666666
106.0,10.0,20.0,2.0,100.0,7.6923075
107.0,20.0,20.0,2.0,100.0,6.25
108.0,40.0,20.0,2.0,100.0,5.5555553
109.0,49.0,20.0,2.0,100.0,5.5555553
110.0,0.0,20.0,2.0,100.0,100.0
111.0,0.5,20.0,2.0,100.0,100.0
112.0,1.0,20.0,2.0,100.0,33.333332
113.0,2.0,20.0,2.0,100.0,20.0
114.0,3.0,20.0,2.0,100.0,33.333332
115.0,5.0,20.0,2.0,100.0,11.111111
116.0,10.0,20.0,2.0,100.0,14.285714
117.0,20.0,20.0,2.0,100.0,5.263158
118.0,40.0,20.0,2.0,100.0,5.263158
119.0,49.0,20.0,2.0,100.0,5.263158
120.0,0.0,20.0,2.0,100.0,100.0
121.0,0.5,20.0,2.0,100.0,7.6923075
122.0,1.0,20.0,2.0,100.0,100.0
123.0,2.0,20.0,2.0,100.0,33.333332
124.0,3.0,20.0,2.0,100.0,9.090909
125.0,5.0,20.0,2.0,100.0,14.285714
126.0,10.0,20.0,2.0,100.0,7.142857
127.0,20.0,20.0,2.0,100.0,6.6666665
128.0,40.0,20.0,2.0,100.0,4.7619047
129.0,49.0,20.0,2.0,100.0,5.263158
130.0,0.0,20.0,2.0,100.0,100.0
131.0,0.5,20.0,2.0,100.0,100.0
132.0,1.0,20.0,2.0,100.0,33.333332
133.0,2.0,20.0,2.0,100.0,33.333332
134.0,3.0,20.0,2.0,100.0,33.333332
135.0,5.0,20.0,2.0,100.0,9.090909
136.0,10.0,20.0,2.0,100.0,9.090909
137.0,20.0,20.0,2.0,100.0,4.7619047
138.0,40.0,20.0,2.0,100.0,4.7619047
139.0,49.0,20.0,2.0,100.0,5.263158
140.0,0.0,20.0,2.0,100.0,100.0
141.0,0.5,20.0,2.0,100.0,100.0
142.0,1.0,20.0,2.0,100.0,100.0
143.0,2.0,20.0,2.0,100.0,33.333332
144.0,3.0,20.0,2.0,100.0,10.0
145.0,5.0,20.0,2.0,100.0,11.111111
146.0,10.0,20.0,2.0,100.0,8.333333
147.0,20.0,20.0,2.0,100.0,5.263158
148.0,40.0,20.0,2.0,100.0,6.6666665
149.0,49.0,20.0,2.0,100.0,5.263158
150.0,0.0,20.0,2.0,100.0,100.0
151.0,0.5,20.0,2.0,100.0,100.0
152.0,1.0,20.0,2.0,100.0,33.333332
153.0,2.0,20.0,2.0,100.0,25.0
154.0,3.0,20.0,2.0,100.0,50.0
155.0,5.0,20.0,2.0,100.0,5.263158
156.0,10.0,20.0,2.0,100.0,5.882353
157.0,20.0,20.0,2.0,100.0,7.142857
158.0,40.0,20.0,2.0,100.0,5.5555553
159.0,49.0,20.0,2.0,100.0,4.5454545
160.0,0.0,20.0,2.0,100.0,100.0
161.0,0.5,20.0,2.0,100.0,33.333332
162.0,1.0,20.0,2.0,100.0,33.333332
163.0,2.0,20.0,2.0,100.0,25.0
164.0,3.0,20.0,2.0,100.0,25.0
165.0,5.0,20.0,2.0,100.0,11.111111
166.0,10.0,20.0,2.0,100.0,7.142857
167.0,20.0,20.0,2.0,100.0,5.882353
168.0,40.0,20.0,2.0,100.0,5.263158
169.0,49.0,20.0,2.0,100.0,4.7619047
170.0,0.0,20.0,2.0,100.0,100.0
171.0,0.5,20.0,2.0,100.0,33.333332
172.0,1.0,20.0,2.0,100.0,33.333332
173.0,2.0,20.0,2.0,100.0,9.090909
174.0,3.0,20.0,2.0,100.0,11.111111
175.0,5.0,20.0,2.0,100.0,12.5
176.0,10.0,20.0,2.0,100.0,9.090909
177.0,20.0,20.0,2.0,100.0,5.882353
178.0,40.0,20.0,2.0,100.0,5.882353
179.0,49.0,20.0,2.0,100.0,4.7619047
180.0,0.0,20.0,2.0,100.0,100.0
181.0,0.5,20.0,2.0,100.0,100.0
182.0,1.0,20.0,2.0,100.0,33.333332
183.0,2.0,20.0,2.0,100.0,6.25
184.0,3.0,20.0,2.0,100.0,7.142857
185.0,5.0,20.0,2.0,100.0,20.0
186.0,10.0,20.0,2.0,100.0,5.882353
187.0,20.0,20.0,2.0,100.0,5.5555553
188.0,40.0,20.0,2.0,100.0,4.5454545
189.0,49.0,20.0,2.0,100.0,4.347826
190.0,0.0,20.0,2.0,100.0,100.0
191.0,0.5,20.0,2.0,100.0,33.333332
192.0,1.0,20.0,2.0,100.0,50.0
193.0,2.0,20.0,2.0,100.0,25.0
194.0,3.0,20.0,2.0,100.0,7.142857
195.0,5.0,20.0,2.0,100.0,11.111111
196.0,10.0,20.0,2.0,100.0,9.090909
197.0,20.0,20.0,2.0,100.0,5.0
198.0,40.0,20.0,2.0,100.0,5.882353
199.0,49.0,20.0,2.0,100.0,5.882353
200.0,0.0,20.0,2.0,100.0,100.0
201.0,0.5,20.0,2.0,100.0,100.0
202.0,1.0,20.0,2.0,100.0,33.333332
203.0,2.0,20.0,2.0,100.0,11.111111
204.0,3.0,20.0,2.0,100.0,7.6923075
205.0,5.0,20.0,2.0,100.0,25.0
206.0,10.0,20.0,2.0,100.0,14.285714
207.0,20.0,20.0,2.0,100.0,7.6923075
208.0,40.0,20.0,2.0,100.0,4.7619047
209.0,49.0,20.0,2.0,100.0,4.7619047
210.0,0.0,20.0,2.0,100.0,100.0
211.0,0.5,20.0,2.0,100.0,33.333332
212.0,1.0,20.0,2.0,100.0,33.333332
213.0,2.0,20.0,2.0,100.0,33.333332
214.0,3.0,20.0,2.0,100.0,16.666666
215.0,5.0,20.0,2.0,100.0,9.090909
216.0,10.0,20.0,2.0,100.0,9.090909
217.0,20.0,20.0,2.0,100.0,5.263158
218.0,40.0,20.0,2.0,100.0,5.263158
219.0,49.0,20.0,2.0,100.0,4.7619047
220.0,0.0,20.0,2.0,100.0,100.0
221.0,0.5,20.0,2.0,100.0,33.333332
222.0,1.0,20.0,2.0,100.0,33.333332
223.0,2.0,20.0,2.0,100.0,33.333332
224.0,3.0,20.0,2.0,100.0,11.111111
225.0,5.0,20.0,2.0,100.0,14.285714
226.0,10.0,20.0,2.0,100.0,5.5555553
227.0,20.0,20.0,2.0,100.0,5.882353
228.0,40.0,20.0,2.0,100.0,6.25
229.0,49.0,20.0,2.0,100.0,4.347826
230.0,0.0,20.0,2.0,100.0,100.0
231.0,0.5,20.0,2.0,100.0,8.333333
232.0,1.0,20.0,2.0,100.0,33.333332
233.0,2.0,20.0,2.0,100.0,10.0
234.0,3.0,20.0,2.0,100.0,7.142857
235.0,5.0,20.0,2.0,100.0,14.285714
236.0,10.0,20.0,2.0,100.0,9.090909
237.0,20.0,20.0,2.0,100.0,4.5454545
238.0,40.0,20.0,2.0,100.0,8.333333
239.0,49.0,20.0,2.0,100.0,5.882353
240.0,0.0,20.0,2.0,100.0,100.0
241.0,0.5,20.0,2.0,100.0,33.333332
242.0,1.0,20.0,2.0,100.0,100.0
243.0,2.0,20.0,2.0,100.0,100.0
244.0,3.0,20.0,2.0,100.0,33.333332
245.0,5.0,20.0,2.0,100.0,100.0
246.0,10.0,20.0,2.0,100.0,11.111111
247.0,20.0,20.0,2.0,100.0,7.6923075
248.0,40.0,20.0,2.0,100.0,4.7619047
249.0,49.0,20.0,2.0,100.0,5.263158
250.0,0.0,20.0,2.0,100.0,100.0
251.0,0.5,20.0,2.0,100.0,100.0
252.0,1.0,20.0,2.0,100.0,25.0
253.0,2.0,20.0,2.0,100.0,20.0
254.0,3.0,20.0,2.0,100.0,20.0
255.0,5.0,20.0,2.0,100.0,10.0
256.0,10.0,20.0,2.0,100.0,4.5454545
257.0,20.0,20.0,2.0,100.0,8.333333
258.0,40.0,20.0,2.0,100.0,5.263158
259.0,49.0,20.0,2.0,100.0,4.347826
260.0,0.0,20.0,2.0,100.0,100.0
261.0,0.5,20.0,2.0,100.0,100.0
262.0,1.0,20.0,2.0,100.0,7.6923075
263.0,2.0,20.0,2.0,100.0,33.333332
264.0,3.0,20.0,2.0,100.0,25.0
265.0,5.0,20.0,2.0,100.0,25.0
266.0,10.0,20.0,2.0,100.0,12.5
267.0,20.0,20.0,2.0,100.0,5.882353
268.0,40.0,20.0,2.0,100.0,4.7619047
269.0,49.0,20.0,2.0,100.0,4.7619047
270.0,0.0,20.0,2.0,100.0,14.285714
271.0,0.5,20.0,2.0,100.0,33.333332
272.0,1.0,20.0,2.0,100.0,100.0
273.0,2.0,20.0,2.0,100.0,5.263158
274.0,3.0,20.0,2.0,100.0,33.333332
275.0,5.0,20.0,2.0,100.0,9.090909
276.0,10.0,20.0,2.0,100.0,10.0
277.0,20.0,20.0,2.0,100.0,6.25
278.0,40.0,20.0,2.0,100.0,5.882353
279.0,49.0,20.0,2.0,100.0,4.7619047
280.0,0.0,20.0,2.0,100.0,100.0
281.0,0.5,20.0,2.0,100.0,100.0
282.0,1.0,20.0,2.0,100.0,33.333332
283.0,2.0,20.0,2.0,100.0,33.333332
284.0,3.0,20.0,2.0,100.0,20.0
285.0,5.0,20.0,2.0,100.0,16.666666
286.0,10.0,20.0,2.0,100.0,6.6666665
287.0,20.0,20.0,2.0,100.0,5.882353
288.0,40.0,20.0,2.0,100.0,4.7619047
289.0,49.0,20.0,2.0,100.0,5.263158
290.0,0.0,20.0,2.0,100.0,100.0
291.0,0.5,20.0,2.0,100.0,33.333332
292.0,1.0,20.0,2.0,100.0,33.333332
293.0,2.0,20.0,2.0,100.0,7.142857
294.0,3.0,20.0,2.0,100.0,7.6923075
295.0,5.0,20.0,2.0,100.0,8.333333
296.0,10.0,20.0,2.0,100.0,9.090909
297.0,20.0,20.0,2.0,100.0,5.882353
298.0,40.0,20.0,2.0,100.0,4.1666665
299.0,49.0,20.0,2.0,100.0,4.347826
300.0,0.0,20.0,2.0,100.0,100.0
301.0,0.5,20.0,2.0,100.0,33.333332
302.0,1.0,20.0,2.0,100.0,100.0
303.0,2.0,20.0,2.0,100.0,33.333332
304.0,3.0,20.0,2.0,100.0,7.6923075
305.0,5.0,20.0,2.0,100.0,16.666666
306.0,10.0,20.0,2.0,100.0,7.142857
307.0,20.0,20.0,2.0,100.0,5.0
308.0,40.0,20.0,2.0,100.0,5.263158
309.0,49.0,20.0,2.0,100.0,5.882353
310.0,0.0,20.0,2.0,100.0,100.0
311.0,0.5,20.0,2.0,100.0,33.333332
312.0,1.0,20.0,2.0,100.0,25.0
313.0,2.0,20.0,2.0,100.0,33.333332
314.0,3.0,20.0,2.0,100.0,12.5
315.0,5.0,20.0,2.0,100.0,9.090909
316.0,10.0,20.0,2.0,100.0,8.333333
317.0,20.0,20.0,2.0,100.0,6.25
318.0,40.0,20.0,2.0,100.0,5.263158
319.0,49.0,20.0,2.0,100.0,4.347826
320.0,0.0,20.0,2.0,100.0,100.0
321.0,0.5,20.0,2.0,100.0,33.333332
322.0,1.0,20.0,2.0,100.0,33.333332
323.0,2.0,20.0,2.0,100.0,25.0
324.0,3.0,20.0,2.0,100.0,33.333332
325.0,5.0,20.0,2.0,100.0,6.6666665
326.0,10.0,20.0,2.0,100.0,7.142857
327.0,20.0,20.0,2.0,100.0,5.263158
328.0,40.0,20.0,2.0,100.0,6.25
329.0,49.0,20.0,2.0,100.0,4.347826
330.0,0.0,20.0,2.0,100.0,100.0
331.0,0.5,20.0,2.0,100.0,100.0
332.0,1.0,20.0,2.0,100.0,7.6923075
333.0,2.0,20.0,2.0,100.0,33.333332
334.0,3.0,20.0,2.0,100.0,7.142857
335.0,5.0,20.0,2.0,100.0,20.0
336.0,10.0,20.0,2.0,100.0,14.285714
337.0,20.0,20.0,2.0,100.0,5.0
338.0,40.0,20.0,2.0,100.0,5.263158
339.0,49.0,20.0,2.0,100.0,5.263158
340.0,0.0,20.0,2.0,100.0,11.111111
341.0,0.5,20.0,2.0,100.0,100.0
342.0,1.0,20.0,2.0,100.0,12.5
343.0,2.0,20.0,2.0,100.0,33.333332
344.0,3.0,20.0,2.0,100.0,33.333332
345.0,5.0,20.0,2.0,100.0,12.5
346.0,10.0,20.0,2.0,100.0,6.25
347.0,20.0,20.0,2.0,100.0,7.6923075
348.0,40.0,20.0,2.0,100.0,5.882353
349.0,49.0,20.0,2.0,100.0,5.263158
350.0,0.0,20.0,2.0,100.0,100.0
351.0,0.5,20.0,2.0,100.0,14.285714
352.0,1.0,20.0,2.0,100.0,100.0
353.0,2.0,20.0,2.0,100.0,20.0
354.0,3.0,20.0,2.0,100.0,16.666666
355.0,5.0,20.0,2.0,100.0,5.263158
356.0,10.0,20.0,2.0,100.0,7.6923075
357.0,20.0,20.0,2.0,100.0,6.25
358.0,40.0,20.0,2.0,100.0,4.347826
359.0,49.0,20.0,2.0,100.0,3.8461537
360.0,0.0,20.0,2.0,100.0,100.0
361.0,0.5,20.0,2.0,100.0,33.333332
362.0,1.0,20.0,2.0,100.0,100.0
363.0,2.0,20.0,2.0,100.0,7.6923075
364.0,3.0,20.0,2.0,100.0,33.333332
365.0,5.0,20.0,2.0,100.0,7.142857
366.0,10.0,20.0,2.0,100.0,4.7619047
367.0,20.0,20.0,2.0,100.0,5.0
368.0,40.0,20.0,2.0,100.0,5.0
369.0,49.0,20.0,2.0,100.0,4.7619047
370.0,0.0,20.0,2.0,100.0,100.0
371.0,0.5,20.0,2.0,100.0,100.0
372.0,1.0,20.0,2.0,100.0,33.333332
373.0,2.0,20.0,2.0,100.0,25.0
374.0,3.0,20.0,2.0,100.0,16.666666
375.0,5.0,20.0,2.0,100.0,7.142857
376.0,10.0,20.0,2.0,100.0,9.090909
377.0,20.0,20.0,2.0,100.0,5.0
378.0,40.0,20.0,2.0,100.0,4.7619047
379.0,49.0,20.0,2.0,100.0,6.25
380.0,0.0,20.0,2.0,100.0,100.0
381.0,0.5,20.0,2.0,100.0,5.263158
382.0,1.0,20.0,2.0,100.0,33.333332
383.0,2.0,20.0,2.0,100.0,33.333332
384.0,3.0,20.0,2.0,100.0,6.6666665
385.0,5.0,20.0,2.0,100.0,16.666666
386.0,10.0,20.0,2.0,100.0,7.142857
387.0,20.0,20.0,2.0,100.0,5.882353
388.0,40.0,20.0,2.0,100.0,4.0
389.0,49.0,20.0,2.0,100.0,5.263158
390.0,0.0,20.0,2.0,100.0,100.0
391.0,0.5,20.0,2.0,100.0,100.0
392.0,1.0,20.0,2.0,100.0,100.0
393.0,2.0,20.0,2.0,100.0,10.0
394.0,3.0,20.0,2.0,100.0,16.666666
395.0,5.0,20.0,2.0,100.0,5.0
396.0,10.0,20.0,2.0,100.0,8.333333
397.0,20.0,20.0,2.0,100.0,6.25
398.0,40.0,20.0,2.0,100.0,5.263158
399.0,49.0,20.0,2.0,100.0,5.0
400.0,0.0,20.0,2.0,100.0,100.0
401.0,0.5,20.0,2.0,100.0,100.0
402.0,1.0,20.0,2.0,100.0,100.0
403.0,2.0,20.0,2.0,100.0,14.285714
404.0,3.0,20.0,2.0,100.0,33.333332
405.0,5.0,20.0,2.0,100.0,33.333332
406.0,10.0,20.0,2.0,100.0,9.090909
407.0,20.0,20.0,2.0,100.0,5.263158
408.0,40.0,20.0,2.0,100.0,5.263158
409.0,49.0,20.0,2.0,100.0,5.882353
410.0,0.0,20.0,2.0,100.0,100.0
411.0,0.5,20.0,2.0,100.0,100.0
412.0,1.0,20.0,2.0,100.0,4.7619047
413.0,2.0,20.0,2.0,100.0,33.333332
414.0,3.0,20.0,2.0,100.0,20.0
415.0,5.0,20.0,2.0,100.0,11.111111
416.0,10.0,20.0,2.0,100.0,5.5555553
417.0,20.0,20.0,2.0,100.0,7.6923075
418.0,40.0,20.0,2.0,100.0,5.882353
419.0,49.0,20.0,2.0,100.0,4.7619047
420.0,0.0,20.0,2.0,100.0,100.0
421.0,0.5,20.0,2.0,100.0,100.0
422.0,1.0,20.0,2.0,100.0,20.0
423.0,2.0,20.0,2.0,100.0,50.0
424.0,3.0,20.0,2.0,100.0,25.0
425.0,5.0,20.0,2.0,100.0,7.142857
426.0,10.0,20.0,2.0,100.0,6.6666665
427.0,20.0,20.0,2.0,100.0,5.0
428.0,40.0,20.0,2.0,100.0,4.5454545
429.0,49.0,20.0,2.0,100.0,4.7619047
430.0,0.0,20.0,2.0,100.0,100.0
431.0,0.5,20.0,2.0,100.0,100.0
432.0,1.0,20.0,2.0,100.0,6.25
433.0,2.0,20.0,2.0,100.0,20.0
434.0,3.0,20.0,2.0,100.0,25.0
435.0,5.0,20.0,2.0,100.0,5.5555553
436.0,10.0,20.0,2.0,100.0,6.6666665
437.0,20.0,20.0,2.0,100.0,5.263158
438.0,40.0,20.0,2.0,100.0,6.25
439.0,49.0,20.0,2.0,100.0,4.7619047
440.0,0.0,20.0,2.0,100.0,100.0
441.0,0.5,20.0,2.0,100.0,33.333332
442.0,1.0,20.0,2.0,100.0,33.333332
443.0,2.0,20.0,2.0,100.0,100.0
444.0,3.0,20.0,2.0,100.0,20.0
445.0,5.0,20.0,2.0,100.0,11.111111
446.0,10.0,20.0,2.0,100.0,9.090909
447.0,20.0,20.0,2.0,100.0,6.25
448.0,40.0,20.0,2.0,100.0,5.263158
449.0,49.0,20.0,2.0,100.0,4.7619047
450.0,0.0,20.0,2.0,100.0,100.0
451.0,0.5,20.0,2.0,100.0,33.333332
452.0,1.0,20.0,2.0,100.0,50.0
453.0,2.0,20.0,2.0,100.0,33.333332
454.0,3.0,20.0,2.0,100.0,50.0
455.0,5.0,20.0,2.0,100.0,9.090909
456.0,10.0,20.0,2.0,100.0,7.142857
457.0,20.0,20.0,2.0,100.0,5.0
458.0,40.0,20.0,2.0,100.0,5.263158
459.0,49.0,20.0,2.0,100.0,5.263158
460.0,0.0,20.0,2.0,100.0,100.0
461.0,0.5,20.0,2.0,100.0,100.0
462.0,1.0,20.0,2.0,100.0,33.333332
463.0,2.0,20.0,2.0,100.0,33.333332
464.0,3.0,20.0,2.0,100.0,25.0
465.0,5.0,20.0,2.0,100.0,20.0
466.0,10.0,20.0,2.0,100.0,11.111111
467.0,20.0,20.0,2.0,100.0,5.263158
468.0,40.0,20.0,2.0,100.0,5.263158
469.0,49.0,20.0,2.0,100.0,5.882353
470.0,0.0,20.0,2.0,100.0,100.0
471.0,0.5,20.0,2.0,100.0,33.333332
472.0,1.0,20.0,2.0,100.0,33.333332
473.0,2.0,20.0,2.0,100.0,25.0
474.0,3.0,20.0,2.0,100.0,33.333332
475.0,5.0,20.0,2.0,100.0,16.666666
476.0,10.0,20.0,2.0,100.0,12.5
477.0,20.0,20.0,2.0,100.0,5.263158
478.0,40.0,20.0,2.0,100.0,5.5555553
479.0,49.0,20.0,2.0,100.0,5.882353
480.0,0.0,20.0,2.0,100.0,100.0
481.0,0.5,20.0,2.0,100.0,14.285714
482.0,1.0,20.0,2.0,100.0,100.0
483.0,2.0,20.0,2.0,100.0,6.6666665
484.0,3.0,20.0,2.0,100.0,33.333332
485.0,5.0,20.0,2.0,100.0,8.333333
486.0,10.0,20.0,2.0,100.0,7.6923075
487.0,20.0,20.0,2.0,100.0,5.882353
488.0,40.0,20.0,2.0,100.0,5.263158
489.0,49.0,20.0,2.0,100.0,6.6666665
490.0,0.0,20.0,2.0,100.0,100.0
491.0,0.5,20.0,2.0,100.0,33.333332
492.0,1.0,20.0,2.0,100.0,33.333332
493.0,2.0,20.0,2.0,100.0,33.333332
494.0,3.0,20.0,2.0,100.0,20.0
495.0,5.0,20.0,2.0,100.0,9.090909
496.0,10.0,20.0,2.0,100.0,6.25
497.0,20.0,20.0,2.0,100.0,6.6666665
498.0,40.0,20.0,2.0,100.0,5.882353
499.0,49.0,20.0,2.0,100.0,5.0
500.0,0.0,20.0,2.0,100.0,100.0
501.0,0.5,20.0,2.0,100.0,33.333332
502.0,1.0,20.0,2.0,100.0,100.0
503.0,2.0,20.0,2.0,100.0,25.0
504.0,3.0,20.0,2.0,100.0,16.666666
505.0,5.0,20.0,2.0,100.0,8.333333
506.0,10.0,20.0,2.0,100.0,11.111111
507.0,20.0,20.0,2.0,100.0,6.6666665
508.0,40.0,20.0,2.0,100.0,5.882353
509.0,49.0,20.0,2.0,100.0,5.0
510.0,0.0,20.0,2.0,100.0,20.0
511.0,0.5,20.0,2.0,100.0,100.0
512.0,1.0,20.0,2.0,100.0,100.0
513.0,2.0,20.0,2.0,100.0,14.285714
514.0,3.0,20.0,2.0,100.0,33.333332
515.0,5.0,20.0,2.0,100.0,20.0
516.0,10.0,20.0,2.0,100.0,9.090909
517.0,20.0,20.0,2.0,100.0,6.25
518.0,40.0,20.0,2.0,100.0,4.7619047
519.0,49.0,20.0,2.0,100.0,5.0
520.0,0.0,20.0,2.0,100.0,100.0
