Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,28.93038
1.0,0.5,20.0,2.0,100.0,16.117647
2.0,1.0,20.0,2.0,100.0,29.320755
3.0,2.0,20.0,2.0,100.0,11.839695
4.0,3.0,20.0,2.0,100.0,17.722689
5.0,5.0,20.0,2.0,100.0,14.0703125
6.0,10.0,20.0,2.0,100.0,10.669354
7.0,20.0,20.0,2.0,100.0,17.2994
8.0,40.0,20.0,2.0,100.0,17.339285
9.0,49.0,20.0,2.0,100.0,22.702602
10.0,0.0,20.0,2.0,100.0,28.789808
11.0,0.5,20.0,2.0,100.0,19.37857
12.0,1.0,20.0,2.0,100.0,20.278572
13.0,2.0,20.0,2.0,100.0,30.386076
14.0,3.0,20.0,2.0,100.0,13.671875
15.0,5.0,20.0,2.0,100.0,20.150793
16.0,10.0,20.0,2.0,100.0,20.546583
17.0,20.0,20.0,2.0,100.0,17.054878
18.0,40.0,20.0,2.0,100.0,21.466019
19.0,49.0,20.0,2.0,100.0,11.610788
20.0,0.0,20.0,2.0,100.0,29.157232
21.0,0.5,20.0,2.0,100.0,25.298702
22.0,1.0,20.0,2.0,100.0,29.132076
23.0,2.0,20.0,2.0,100.0,11.568
24.0,3.0,20.0,2.0,100.0,14.897637
25.0,5.0,20.0,2.0,100.0,25.51948
26.0,10.0,20.0,2.0,100.0,18.233767
27.0,20.0,20.0,2.0,100.0,20.642857
28.0,40.0,20.0,2.0,100.0,19.377926
29.0,49.0,20.0,2.0,100.0,17.877108
30.0,0.0,20.0,2.0,100.0,29.183544
31.0,0.5,20.0,2.0,100.0,17.787233
32.0,1.0,20.0,2.0,100.0,15.407408
33.0,2.0,20.0,2.0,100.0,28.796179
34.0,3.0,20.0,2.0,100.0,15.064
35.0,5.0,20.0,2.0,100.0,13.75
36.0,10.0,20.0,2.0,100.0,16.613333
37.0,20.0,20.0,2.0,100.0,25.946108
38.0,40.0,20.0,2.0,100.0,18.672297
39.0,49.0,20.0,2.0,100.0,13.540193
40.0,0.0,20.0,2.0,100.0,28.810127
41.0,0.5,20.0,2.0,100.0,28.592358
42.0,1.0,20.0,2.0,100.0,21.104477
43.0,2.0,20.0,2.0,100.0,20.537415
44.0,3.0,20.0,2.0,100.0,20.805555
45.0,5.0,20.0,2.0,100.0,20.198582
46.0,10.0,20.0,2.0,100.0,19.885136
47.0,20.0,20.0,2.0,100.0,35.050846
48.0,40.0,20.0,2.0,100.0,17.143383
49.0,49.0,20.0,2.0,100.0,18.102076
50.0,0.0,20.0,2.0,100.0,28.715189
51.0,0.5,20.0,2.0,100.0,17.939394
52.0,1.0,20.0,2.0,100.0,14.878049
53.0,2.0,20.0,2.0,100.0,20.075188
54.0,3.0,20.0,2.0,100.0,19.436975
55.0,5.0,20.0,2.0,100.0,17.620155
56.0,10.0,20.0,2.0,100.0,8.710744
57.0,20.0,20.0,2.0,100.0,21.519337
58.0,40.0,20.0,2.0,100.0,24.156584
59.0,49.0,20.0,2.0,100.0,16.663935
60.0,0.0,20.0,2.0,100.0,28.423077
61.0,0.5,20.0,2.0,100.0,28.461538
62.0,1.0,20.0,2.0,100.0,15.846154
63.0,2.0,20.0,2.0,100.0,29.379747
64.0,3.0,20.0,2.0,100.0,17.46875
65.0,5.0,20.0,2.0,100.0,19.653847
66.0,10.0,20.0,2.0,100.0,21.027027
67.0,20.0,20.0,2.0,100.0,22.242775
68.0,40.0,20.0,2.0,100.0,21.734234
69.0,49.0,20.0,2.0,100.0,28.094313
70.0,0.0,20.0,2.0,100.0,30.00625
71.0,0.5,20.0,2.0,100.0,25.348387
72.0,1.0,20.0,2.0,100.0,19.653225
73.0,2.0,20.0,2.0,100.0,22.472603
74.0,3.0,20.0,2.0,100.0,20.592
75.0,5.0,20.0,2.0,100.0,18.822369
76.0,10.0,20.0,2.0,100.0,24.288343
77.0,20.0,20.0,2.0,100.0,17.54857
78.0,40.0,20.0,2.0,100.0,27.158249
79.0,49.0,20.0,2.0,100.0,25.746767
80.0,0.0,20.0,2.0,100.0,29.710691
81.0,0.5,20.0,2.0,100.0,26.083872
82.0,1.0,20.0,2.0,100.0,25.55
83.0,2.0,20.0,2.0,100.0,13.880342
84.0,3.0,20.0,2.0,100.0,10.566372
85.0,5.0,20.0,2.0,100.0,11.464567
86.0,10.0,20.0,2.0,100.0,22.63924
87.0,20.0,20.0,2.0,100.0,18.75
88.0,40.0,20.0,2.0,100.0,27.506578
89.0,49.0,20.0,2.0,100.0,25.51477
90.0,0.0,20.0,2.0,100.0,29.295597
91.0,0.5,20.0,2.0,100.0,28.968355
92.0,1.0,20.0,2.0,100.0,25.765957
93.0,2.0,20.0,2.0,100.0,14.484848
94.0,3.0,20.0,2.0,100.0,15.041323
95.0,5.0,20.0,2.0,100.0,10.299146
96.0,10.0,20.0,2.0,100.0,15.529411
97.0,20.0,20.0,2.0,100.0,11.70073
98.0,40.0,20.0,2.0,100.0,17.535013
99.0,49.0,20.0,2.0,100.0,19.539618
100.0,0.0,20.0,2.0,100.0,27.467533
101.0,0.5,20.0,2.0,100.0,27.767742
102.0,1.0,20.0,2.0,100.0,17.220589
103.0,2.0,20.0,2.0,100.0,28.538961
104.0,3.0,20.0,2.0,100.0,19.943548
105.0,5.0,20.0,2.0,100.0,11.24138
106.0,10.0,20.0,2.0,100.0,18.595419
107.0,20.0,20.0,2.0,100.0,20.852072
108.0,40.0,20.0,2.0,100.0,19.416168
109.0,49.0,20.0,2.0,100.0,18.581121
110.0,0.0,20.0,2.0,100.0,28.352564
111.0,0.5,20.0,2.0,100.0,29.170887
112.0,1.0,20.0,2.0,100.0,14.6796875
113.0,2.0,20.0,2.0,100.0,17.671429
114.0,3.0,20.0,2.0,100.0,11.79646
115.0,5.0,20.0,2.0,100.0,12.371901
116.0,10.0,20.0,2.0,100.0,18.673203
117.0,20.0,20.0,2.0,100.0,19.776398
118.0,40.0,20.0,2.0,100.0,26.803347
119.0,49.0,20.0,2.0,100.0,7.747961
120.0,0.0,20.0,2.0,100.0,29.981367
121.0,0.5,20.0,2.0,100.0,27.496124
122.0,1.0,20.0,2.0,100.0,29.088608
123.0,2.0,20.0,2.0,100.0,22.054264
124.0,3.0,20.0,2.0,100.0,18.058823
125.0,5.0,20.0,2.0,100.0,15.327731
126.0,10.0,20.0,2.0,100.0,23.063292
127.0,20.0,20.0,2.0,100.0,27.38983
128.0,40.0,20.0,2.0,100.0,23.815971
129.0,49.0,20.0,2.0,100.0,20.455013
130.0,0.0,20.0,2.0,100.0,32.134148
131.0,0.5,20.0,2.0,100.0,30.604939
132.0,1.0,20.0,2.0,100.0,15.047244
133.0,2.0,20.0,2.0,100.0,13.516949
134.0,3.0,20.0,2.0,100.0,17.338028
135.0,5.0,20.0,2.0,100.0,16.283583
136.0,10.0,20.0,2.0,100.0,19.007751
137.0,20.0,20.0,2.0,100.0,29.723757
138.0,40.0,20.0,2.0,100.0,24.39528
139.0,49.0,20.0,2.0,100.0,25.35206
140.0,0.0,20.0,2.0,100.0,29.91195
141.0,0.5,20.0,2.0,100.0,29.215189
142.0,1.0,20.0,2.0,100.0,28.943037
143.0,2.0,20.0,2.0,100.0,19.277779
144.0,3.0,20.0,2.0,100.0,19.533333
145.0,5.0,20.0,2.0,100.0,15.884615
146.0,10.0,20.0,2.0,100.0,22.355556
147.0,20.0,20.0,2.0,100.0,24.539394
148.0,40.0,20.0,2.0,100.0,18.35135
149.0,49.0,20.0,2.0,100.0,17.138489
150.0,0.0,20.0,2.0,100.0,28.892405
151.0,0.5,20.0,2.0,100.0,29.215189
152.0,1.0,20.0,2.0,100.0,23.762962
153.0,2.0,20.0,2.0,100.0,14.375
154.0,3.0,20.0,2.0,100.0,19.0
155.0,5.0,20.0,2.0,100.0,20.463087
156.0,10.0,20.0,2.0,100.0,15.40625
157.0,20.0,20.0,2.0,100.0,21.971752
158.0,40.0,20.0,2.0,100.0,19.8125
159.0,49.0,20.0,2.0,100.0,23.503496
160.0,0.0,20.0,2.0,100.0,28.93038
161.0,0.5,20.0,2.0,100.0,16.625
162.0,1.0,20.0,2.0,100.0,24.80147
163.0,2.0,20.0,2.0,100.0,15.825397
164.0,3.0,20.0,2.0,100.0,17.45
165.0,5.0,20.0,2.0,100.0,15.626087
166.0,10.0,20.0,2.0,100.0,19.142857
167.0,20.0,20.0,2.0,100.0,23.323353
168.0,40.0,20.0,2.0,100.0,21.098654
169.0,49.0,20.0,2.0,100.0,22.740047
170.0,0.0,20.0,2.0,100.0,28.746836
171.0,0.5,20.0,2.0,100.0,18.283333
172.0,1.0,20.0,2.0,100.0,21.516779
173.0,2.0,20.0,2.0,100.0,17.285715
174.0,3.0,20.0,2.0,100.0,20.337837
175.0,5.0,20.0,2.0,100.0,9.957983
176.0,10.0,20.0,2.0,100.0,14.844961
177.0,20.0,20.0,2.0,100.0,19.125925
178.0,40.0,20.0,2.0,100.0,26.930908
179.0,49.0,20.0,2.0,100.0,20.03504
180.0,0.0,20.0,2.0,100.0,28.222929
181.0,0.5,20.0,2.0,100.0,28.715189
182.0,1.0,20.0,2.0,100.0,15.253846
183.0,2.0,20.0,2.0,100.0,15.523077
184.0,3.0,20.0,2.0,100.0,14.725806
185.0,5.0,20.0,2.0,100.0,10.336065
186.0,10.0,20.0,2.0,100.0,18.926174
