Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,0.0
1.0,0.5,20.0,2.0,100.0,33.56089
2.0,1.0,20.0,2.0,100.0,0.0
3.0,2.0,20.0,2.0,100.0,12.405836
4.0,3.0,20.0,2.0,100.0,37.20663
5.0,5.0,20.0,2.0,100.0,10.274023
6.0,10.0,20.0,2.0,100.0,11.880356
7.0,20.0,20.0,2.0,100.0,3.2971725
8.0,40.0,20.0,2.0,100.0,4.312772
9.0,49.0,20.0,2.0,100.0,3.9351358
10.0,0.0,20.0,2.0,100.0,0.0
11.0,0.5,20.0,2.0,100.0,22.546247
12.0,1.0,20.0,2.0,100.0,5.543534
13.0,2.0,20.0,2.0,100.0,0.0
14.0,3.0,20.0,2.0,100.0,19.222383
15.0,5.0,20.0,2.0,100.0,4.4986773
16.0,10.0,20.0,2.0,100.0,17.27095
17.0,20.0,20.0,2.0,100.0,4.6437163
18.0,40.0,20.0,2.0,100.0,3.6490808
19.0,49.0,20.0,2.0,100.0,3.1595025
20.0,0.0,20.0,2.0,100.0,0.0
21.0,0.5,20.0,2.0,100.0,47.60602
22.0,1.0,20.0,2.0,100.0,0.0
23.0,2.0,20.0,2.0,100.0,15.500537
24.0,3.0,20.0,2.0,100.0,24.372116
25.0,5.0,20.0,2.0,100.0,16.464104
26.0,10.0,20.0,2.0,100.0,3.9737704
27.0,20.0,20.0,2.0,100.0,4.435448
28.0,40.0,20.0,2.0,100.0,3.2543013
29.0,49.0,20.0,2.0,100.0,3.6035113
30.0,0.0,20.0,2.0,100.0,0.0
31.0,0.5,20.0,2.0,100.0,32.005207
32.0,1.0,20.0,2.0,100.0,28.746014
33.0,2.0,20.0,2.0,100.0,0.0
34.0,3.0,20.0,2.0,100.0,27.178423
35.0,5.0,20.0,2.0,100.0,19.502136
36.0,10.0,20.0,2.0,100.0,7.1492033
37.0,20.0,20.0,2.0,100.0,3.8800702
38.0,40.0,20.0,2.0,100.0,2.8443763
39.0,49.0,20.0,2.0,100.0,3.2078772
40.0,0.0,20.0,2.0,100.0,0.0
41.0,0.5,20.0,2.0,100.0,0.0
42.0,1.0,20.0,2.0,100.0,31.612234
43.0,2.0,20.0,2.0,100.0,39.247078
44.0,3.0,20.0,2.0,100.0,7.877856
45.0,5.0,20.0,2.0,100.0,11.988089
46.0,10.0,20.0,2.0,100.0,9.585342
47.0,20.0,20.0,2.0,100.0,5.2602596
48.0,40.0,20.0,2.0,100.0,3.783621
49.0,49.0,20.0,2.0,100.0,2.4152296
50.0,0.0,20.0,2.0,100.0,0.0
51.0,0.5,20.0,2.0,100.0,30.105371
52.0,1.0,20.0,2.0,100.0,30.664854
53.0,2.0,20.0,2.0,100.0,12.682947
54.0,3.0,20.0,2.0,100.0,35.32704
55.0,5.0,20.0,2.0,100.0,9.651504
56.0,10.0,20.0,2.0,100.0,8.724169
57.0,20.0,20.0,2.0,100.0,4.9229355
58.0,40.0,20.0,2.0,100.0,3.8710842
59.0,49.0,20.0,2.0,100.0,3.4627268
60.0,0.0,20.0,2.0,100.0,0.0
61.0,0.5,20.0,2.0,100.0,0.0
62.0,1.0,20.0,2.0,100.0,12.364906
63.0,2.0,20.0,2.0,100.0,0.0
64.0,3.0,20.0,2.0,100.0,24.27423
65.0,5.0,20.0,2.0,100.0,33.980385
66.0,10.0,20.0,2.0,100.0,8.067893
67.0,20.0,20.0,2.0,100.0,3.7592375
68.0,40.0,20.0,2.0,100.0,2.1296442
69.0,49.0,20.0,2.0,100.0,2.745544
70.0,0.0,20.0,2.0,100.0,0.0
71.0,0.5,20.0,2.0,100.0,48.418316
72.0,1.0,20.0,2.0,100.0,39.95414
73.0,2.0,20.0,2.0,100.0,16.05027
74.0,3.0,20.0,2.0,100.0,34.42867
75.0,5.0,20.0,2.0,100.0,5.8026137
76.0,10.0,20.0,2.0,100.0,7.122554
77.0,20.0,20.0,2.0,100.0,4.553387
78.0,40.0,20.0,2.0,100.0,2.3278685
79.0,49.0,20.0,2.0,100.0,3.0183265
80.0,0.0,20.0,2.0,100.0,0.0
81.0,0.5,20.0,2.0,100.0,49.237522
82.0,1.0,20.0,2.0,100.0,42.253204
83.0,2.0,20.0,2.0,100.0,20.256685
84.0,3.0,20.0,2.0,100.0,15.6205
85.0,5.0,20.0,2.0,100.0,11.285438
86.0,10.0,20.0,2.0,100.0,4.076074
87.0,20.0,20.0,2.0,100.0,4.013763
88.0,40.0,20.0,2.0,100.0,3.5392535
89.0,49.0,20.0,2.0,100.0,2.63902
90.0,0.0,20.0,2.0,100.0,0.0
91.0,0.5,20.0,2.0,100.0,0.0
92.0,1.0,20.0,2.0,100.0,56.568542
93.0,2.0,20.0,2.0,100.0,23.323807
94.0,3.0,20.0,2.0,100.0,32.005207
95.0,5.0,20.0,2.0,100.0,15.795569
96.0,10.0,20.0,2.0,100.0,5.9746943
97.0,20.0,20.0,2.0,100.0,4.8373547
98.0,40.0,20.0,2.0,100.0,2.5692003
99.0,49.0,20.0,2.0,100.0,2.5514467
100.0,0.0,20.0,2.0,100.0,0.0
101.0,0.5,20.0,2.0,100.0,0.0
102.0,1.0,20.0,2.0,100.0,15.725487
103.0,2.0,20.0,2.0,100.0,50.895317
104.0,3.0,20.0,2.0,100.0,6.8330746
105.0,5.0,20.0,2.0,100.0,16.21933
106.0,10.0,20.0,2.0,100.0,8.024801
107.0,20.0,20.0,2.0,100.0,3.6968455
108.0,40.0,20.0,2.0,100.0,4.655449
109.0,49.0,20.0,2.0,100.0,4.119141
110.0,0.0,20.0,2.0,100.0,0.0
111.0,0.5,20.0,2.0,100.0,0.0
112.0,1.0,20.0,2.0,100.0,28.536526
113.0,2.0,20.0,2.0,100.0,16.628288
114.0,3.0,20.0,2.0,100.0,17.559423
115.0,5.0,20.0,2.0,100.0,8.992281
116.0,10.0,20.0,2.0,100.0,12.592515
117.0,20.0,20.0,2.0,100.0,2.7657046
118.0,40.0,20.0,2.0,100.0,3.0339212
119.0,49.0,20.0,2.0,100.0,3.2462306
120.0,0.0,20.0,2.0,100.0,0.0
121.0,0.5,20.0,2.0,100.0,8.919871
122.0,1.0,20.0,2.0,100.0,0.0
123.0,2.0,20.0,2.0,100.0,42.14657
124.0,3.0,20.0,2.0,100.0,10.182874
125.0,5.0,20.0,2.0,100.0,22.742868
126.0,10.0,20.0,2.0,100.0,5.216205
127.0,20.0,20.0,2.0,100.0,5.122314
128.0,40.0,20.0,2.0,100.0,2.773171
129.0,49.0,20.0,2.0,100.0,2.9970746
130.0,0.0,20.0,2.0,100.0,0.0
131.0,0.5,20.0,2.0,100.0,0.0
132.0,1.0,20.0,2.0,100.0,28.746014
133.0,2.0,20.0,2.0,100.0,24.006945
134.0,3.0,20.0,2.0,100.0,21.126602
135.0,5.0,20.0,2.0,100.0,9.17011
136.0,10.0,20.0,2.0,100.0,4.6142073
137.0,20.0,20.0,2.0,100.0,2.3001037
138.0,40.0,20.0,2.0,100.0,2.7911425
139.0,49.0,20.0,2.0,100.0,2.130261
140.0,0.0,20.0,2.0,100.0,0.0
141.0,0.5,20.0,2.0,100.0,0.0
142.0,1.0,20.0,2.0,100.0,0.0
143.0,2.0,20.0,2.0,100.0,35.921207
144.0,3.0,20.0,2.0,100.0,11.0855255
145.0,5.0,20.0,2.0,100.0,9.306509
146.0,10.0,20.0,2.0,100.0,8.026472
147.0,20.0,20.0,2.0,100.0,2.5569537
148.0,40.0,20.0,2.0,100.0,3.9400265
149.0,49.0,20.0,2.0,100.0,3.2462306
150.0,0.0,20.0,2.0,100.0,0.0
151.0,0.5,20.0,2.0,100.0,0.0
152.0,1.0,20.0,2.0,100.0,44.43347
153.0,2.0,20.0,2.0,100.0,20.768566
154.0,3.0,20.0,2.0,100.0,38.183765
155.0,5.0,20.0,2.0,100.0,2.6213253
156.0,10.0,20.0,2.0,100.0,3.295496
157.0,20.0,20.0,2.0,100.0,5.0817494
158.0,40.0,20.0,2.0,100.0,2.748737
159.0,49.0,20.0,2.0,100.0,4.0323367
160.0,0.0,20.0,2.0,100.0,0.0
161.0,0.5,20.0,2.0,100.0,24.986662
162.0,1.0,20.0,2.0,100.0,39.803684
163.0,2.0,20.0,2.0,100.0,22.61268
164.0,3.0,20.0,2.0,100.0,20.314198
165.0,5.0,20.0,2.0,100.0,6.7720833
166.0,10.0,20.0,2.0,100.0,7.9018707
167.0,20.0,20.0,2.0,100.0,3.6380346
168.0,40.0,20.0,2.0,100.0,4.201086
169.0,49.0,20.0,2.0,100.0,2.8443763
170.0,0.0,20.0,2.0,100.0,0.0
171.0,0.5,20.0,2.0,100.0,37.20663
172.0,1.0,20.0,2.0,100.0,38.552994
173.0,2.0,20.0,2.0,100.0,11.936955
174.0,3.0,20.0,2.0,100.0,14.012891
175.0,5.0,20.0,2.0,100.0,12.5584345
176.0,10.0,20.0,2.0,100.0,9.375015
177.0,20.0,20.0,2.0,100.0,4.794298
178.0,40.0,20.0,2.0,100.0,4.553602
179.0,49.0,20.0,2.0,100.0,3.2848864
180.0,0.0,20.0,2.0,100.0,0.0
181.0,0.5,20.0,2.0,100.0,0.0
182.0,1.0,20.0,2.0,100.0,28.041634
183.0,2.0,20.0,2.0,100.0,8.242168
184.0,3.0,20.0,2.0,100.0,5.613955
185.0,5.0,20.0,2.0,100.0,14.300349
186.0,10.0,20.0,2.0,100.0,4.181542
187.0,20.0,20.0,2.0,100.0,3.8382323
188.0,40.0,20.0,2.0,100.0,2.197992
189.0,49.0,20.0,2.0,100.0,2.6732461
190.0,0.0,20.0,2.0,100.0,0.0
191.0,0.5,20.0,2.0,100.0,34.703506
192.0,1.0,20.0,2.0,100.0,29.698484
193.0,2.0,20.0,2.0,100.0,22.22611
194.0,3.0,20.0,2.0,100.0,8.235543
195.0,5.0,20.0,2.0,100.0,16.08916
196.0,10.0,20.0,2.0,100.0,7.5160437
197.0,20.0,20.0,2.0,100.0,2.7529888
198.0,40.0,20.0,2.0,100.0,2.8697202
199.0,49.0,20.0,2.0,100.0,4.3715324
200.0,0.0,20.0,2.0,100.0,0.0
201.0,0.5,20.0,2.0,100.0,0.0
