Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,26.76
1.0,0.5,20.0,2.0,100.0,16.12
2.0,1.0,20.0,2.0,100.0,18.14
3.0,2.0,20.0,2.0,100.0,7.68
4.0,3.0,20.0,2.0,100.0,20.17
5.0,5.0,20.0,2.0,100.0,9.88
6.0,10.0,20.0,2.0,100.0,9.2
7.0,20.0,20.0,2.0,100.0,9.11
8.0,40.0,20.0,2.0,100.0,8.11
9.0,49.0,20.0,2.0,100.0,9.24
10.0,0.0,20.0,2.0,100.0,21.47
11.0,0.5,20.0,2.0,100.0,11.41
12.0,1.0,20.0,2.0,100.0,20.08
13.0,2.0,20.0,2.0,100.0,13.01
14.0,3.0,20.0,2.0,100.0,12.97
15.0,5.0,20.0,2.0,100.0,11.0
16.0,10.0,20.0,2.0,100.0,12.8
17.0,20.0,20.0,2.0,100.0,12.3
18.0,40.0,20.0,2.0,100.0,10.62
19.0,49.0,20.0,2.0,100.0,8.1
20.0,0.0,20.0,2.0,100.0,27.2
21.0,0.5,20.0,2.0,100.0,20.58
22.0,1.0,20.0,2.0,100.0,23.35
23.0,2.0,20.0,2.0,100.0,17.89
24.0,3.0,20.0,2.0,100.0,8.89
25.0,5.0,20.0,2.0,100.0,12.58
26.0,10.0,20.0,2.0,100.0,8.81
27.0,20.0,20.0,2.0,100.0,8.52
28.0,40.0,20.0,2.0,100.0,7.93
29.0,49.0,20.0,2.0,100.0,10.59
30.0,0.0,20.0,2.0,100.0,24.75
31.0,0.5,20.0,2.0,100.0,25.46
32.0,1.0,20.0,2.0,100.0,19.3
33.0,2.0,20.0,2.0,100.0,17.25
34.0,3.0,20.0,2.0,100.0,12.54
35.0,5.0,20.0,2.0,100.0,11.88
36.0,10.0,20.0,2.0,100.0,8.6
37.0,20.0,20.0,2.0,100.0,9.6
38.0,40.0,20.0,2.0,100.0,8.27
39.0,49.0,20.0,2.0,100.0,10.04
40.0,0.0,20.0,2.0,100.0,12.21
41.0,0.5,20.0,2.0,100.0,25.28
42.0,1.0,20.0,2.0,100.0,18.57
43.0,2.0,20.0,2.0,100.0,13.61
44.0,3.0,20.0,2.0,100.0,15.78
45.0,5.0,20.0,2.0,100.0,12.6
46.0,10.0,20.0,2.0,100.0,8.96
47.0,20.0,20.0,2.0,100.0,9.88
48.0,40.0,20.0,2.0,100.0,10.31
49.0,49.0,20.0,2.0,100.0,8.46
50.0,0.0,20.0,2.0,100.0,17.5
51.0,0.5,20.0,2.0,100.0,12.93
52.0,1.0,20.0,2.0,100.0,12.62
53.0,2.0,20.0,2.0,100.0,11.51
54.0,3.0,20.0,2.0,100.0,12.11
55.0,5.0,20.0,2.0,100.0,9.99
56.0,10.0,20.0,2.0,100.0,7.77
57.0,20.0,20.0,2.0,100.0,9.67
58.0,40.0,20.0,2.0,100.0,11.94
59.0,49.0,20.0,2.0,100.0,8.13
60.0,0.0,20.0,2.0,100.0,19.71
61.0,0.5,20.0,2.0,100.0,11.16
62.0,1.0,20.0,2.0,100.0,9.01
63.0,2.0,20.0,2.0,100.0,11.3
64.0,3.0,20.0,2.0,100.0,12.19
65.0,5.0,20.0,2.0,100.0,7.89
66.0,10.0,20.0,2.0,100.0,10.9
67.0,20.0,20.0,2.0,100.0,9.17
68.0,40.0,20.0,2.0,100.0,8.56
69.0,49.0,20.0,2.0,100.0,8.33
70.0,0.0,20.0,2.0,100.0,12.22
71.0,0.5,20.0,2.0,100.0,12.76
72.0,1.0,20.0,2.0,100.0,10.61
73.0,2.0,20.0,2.0,100.0,10.14
74.0,3.0,20.0,2.0,100.0,16.94
75.0,5.0,20.0,2.0,100.0,8.6
76.0,10.0,20.0,2.0,100.0,9.98
77.0,20.0,20.0,2.0,100.0,9.47
78.0,40.0,20.0,2.0,100.0,7.54
79.0,49.0,20.0,2.0,100.0,8.8
80.0,0.0,20.0,2.0,100.0,20.11
81.0,0.5,20.0,2.0,100.0,12.06
82.0,1.0,20.0,2.0,100.0,24.65
83.0,2.0,20.0,2.0,100.0,8.73
84.0,3.0,20.0,2.0,100.0,10.27
85.0,5.0,20.0,2.0,100.0,9.31
86.0,10.0,20.0,2.0,100.0,7.72
87.0,20.0,20.0,2.0,100.0,9.18
88.0,40.0,20.0,2.0,100.0,9.37
89.0,49.0,20.0,2.0,100.0,16.34
90.0,0.0,20.0,2.0,100.0,13.79
91.0,0.5,20.0,2.0,100.0,17.18
92.0,1.0,20.0,2.0,100.0,9.84
93.0,2.0,20.0,2.0,100.0,11.8
94.0,3.0,20.0,2.0,100.0,8.85
95.0,5.0,20.0,2.0,100.0,13.74
96.0,10.0,20.0,2.0,100.0,8.26
97.0,20.0,20.0,2.0,100.0,9.19
98.0,40.0,20.0,2.0,100.0,8.6
99.0,49.0,20.0,2.0,100.0,8.18
100.0,0.0,20.0,2.0,100.0,10.37
101.0,0.5,20.0,2.0,100.0,9.72
102.0,1.0,20.0,2.0,100.0,14.26
103.0,2.0,20.0,2.0,100.0,15.91
104.0,3.0,20.0,2.0,100.0,13.67
105.0,5.0,20.0,2.0,100.0,7.66
106.0,10.0,20.0,2.0,100.0,11.8
107.0,20.0,20.0,2.0,100.0,11.07
108.0,40.0,20.0,2.0,100.0,10.33
109.0,49.0,20.0,2.0,100.0,10.36
110.0,0.0,20.0,2.0,100.0,22.78
111.0,0.5,20.0,2.0,100.0,16.89
112.0,1.0,20.0,2.0,100.0,12.2
113.0,2.0,20.0,2.0,100.0,11.32
114.0,3.0,20.0,2.0,100.0,10.22
115.0,5.0,20.0,2.0,100.0,8.79
116.0,10.0,20.0,2.0,100.0,10.55
117.0,20.0,20.0,2.0,100.0,8.14
118.0,40.0,20.0,2.0,100.0,9.75
119.0,49.0,20.0,2.0,100.0,8.75
120.0,0.0,20.0,2.0,100.0,23.28
121.0,0.5,20.0,2.0,100.0,10.76
122.0,1.0,20.0,2.0,100.0,15.52
123.0,2.0,20.0,2.0,100.0,9.92
124.0,3.0,20.0,2.0,100.0,9.41
125.0,5.0,20.0,2.0,100.0,8.64
126.0,10.0,20.0,2.0,100.0,10.45
127.0,20.0,20.0,2.0,100.0,11.58
128.0,40.0,20.0,2.0,100.0,9.99
129.0,49.0,20.0,2.0,100.0,7.66
130.0,0.0,20.0,2.0,100.0,22.62
131.0,0.5,20.0,2.0,100.0,16.17
132.0,1.0,20.0,2.0,100.0,12.62
133.0,2.0,20.0,2.0,100.0,14.1
134.0,3.0,20.0,2.0,100.0,10.44
135.0,5.0,20.0,2.0,100.0,9.42
136.0,10.0,20.0,2.0,100.0,8.23
137.0,20.0,20.0,2.0,100.0,9.02
138.0,40.0,20.0,2.0,100.0,8.04
139.0,49.0,20.0,2.0,100.0,8.15
140.0,0.0,20.0,2.0,100.0,9.69
141.0,0.5,20.0,2.0,100.0,13.56
142.0,1.0,20.0,2.0,100.0,20.6
143.0,2.0,20.0,2.0,100.0,9.87
144.0,3.0,20.0,2.0,100.0,11.35
145.0,5.0,20.0,2.0,100.0,11.62
146.0,10.0,20.0,2.0,100.0,8.57
147.0,20.0,20.0,2.0,100.0,8.61
148.0,40.0,20.0,2.0,100.0,7.83
149.0,49.0,20.0,2.0,100.0,9.98
150.0,0.0,20.0,2.0,100.0,19.0
151.0,0.5,20.0,2.0,100.0,10.21
152.0,1.0,20.0,2.0,100.0,20.12
153.0,2.0,20.0,2.0,100.0,9.67
154.0,3.0,20.0,2.0,100.0,11.47
155.0,5.0,20.0,2.0,100.0,12.34
156.0,10.0,20.0,2.0,100.0,8.99
157.0,20.0,20.0,2.0,100.0,8.29
158.0,40.0,20.0,2.0,100.0,10.24
159.0,49.0,20.0,2.0,100.0,8.27
160.0,0.0,20.0,2.0,100.0,23.92
161.0,0.5,20.0,2.0,100.0,12.44
162.0,1.0,20.0,2.0,100.0,16.82
163.0,2.0,20.0,2.0,100.0,14.66
164.0,3.0,20.0,2.0,100.0,11.04
165.0,5.0,20.0,2.0,100.0,9.23
166.0,10.0,20.0,2.0,100.0,8.97
167.0,20.0,20.0,2.0,100.0,8.06
168.0,40.0,20.0,2.0,100.0,9.61
169.0,49.0,20.0,2.0,100.0,8.23
170.0,0.0,20.0,2.0,100.0,12.01
171.0,0.5,20.0,2.0,100.0,17.96
172.0,1.0,20.0,2.0,100.0,16.59
173.0,2.0,20.0,2.0,100.0,9.07
174.0,3.0,20.0,2.0,100.0,9.44
175.0,5.0,20.0,2.0,100.0,10.63
176.0,10.0,20.0,2.0,100.0,9.39
177.0,20.0,20.0,2.0,100.0,7.62
178.0,40.0,20.0,2.0,100.0,13.12
179.0,49.0,20.0,2.0,100.0,10.13
180.0,0.0,20.0,2.0,100.0,24.82
181.0,0.5,20.0,2.0,100.0,13.72
182.0,1.0,20.0,2.0,100.0,13.46
183.0,2.0,20.0,2.0,100.0,8.52
184.0,3.0,20.0,2.0,100.0,11.22
185.0,5.0,20.0,2.0,100.0,8.68
186.0,10.0,20.0,2.0,100.0,14.01
187.0,20.0,20.0,2.0,100.0,9.7
188.0,40.0,20.0,2.0,100.0,9.63
189.0,49.0,20.0,2.0,100.0,9.1
190.0,0.0,20.0,2.0,100.0,19.87
191.0,0.5,20.0,2.0,100.0,11.33
192.0,1.0,20.0,2.0,100.0,12.82
193.0,2.0,20.0,2.0,100.0,8.45
194.0,3.0,20.0,2.0,100.0,8.97
195.0,5.0,20.0,2.0,100.0,13.48
