Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,100.0
1.0,0.5,20.0,2.0,100.0,33.333332
2.0,1.0,20.0,2.0,100.0,33.333332
3.0,2.0,20.0,2.0,100.0,5.263158
4.0,3.0,20.0,2.0,100.0,33.333332
5.0,5.0,20.0,2.0,100.0,5.882353
6.0,10.0,20.0,2.0,100.0,9.090909
7.0,20.0,20.0,2.0,100.0,9.090909
8.0,40.0,20.0,2.0,100.0,7.6923075
9.0,49.0,20.0,2.0,100.0,6.6666665
10.0,0.0,20.0,2.0,100.0,100.0
11.0,0.5,20.0,2.0,100.0,33.333332
12.0,1.0,20.0,2.0,100.0,33.333332
13.0,2.0,20.0,2.0,100.0,33.333332
14.0,3.0,20.0,2.0,100.0,33.333332
15.0,5.0,20.0,2.0,100.0,20.0
16.0,10.0,20.0,2.0,100.0,20.0
17.0,20.0,20.0,2.0,100.0,7.6923075
18.0,40.0,20.0,2.0,100.0,5.882353
19.0,49.0,20.0,2.0,100.0,5.882353
20.0,0.0,20.0,2.0,100.0,100.0
21.0,0.5,20.0,2.0,100.0,100.0
22.0,1.0,20.0,2.0,100.0,100.0
23.0,2.0,20.0,2.0,100.0,33.333332
24.0,3.0,20.0,2.0,100.0,5.882353
25.0,5.0,20.0,2.0,100.0,14.285714
26.0,10.0,20.0,2.0,100.0,11.111111
27.0,20.0,20.0,2.0,100.0,5.882353
28.0,40.0,20.0,2.0,100.0,5.263158
29.0,49.0,20.0,2.0,100.0,6.6666665
30.0,0.0,20.0,2.0,100.0,100.0
31.0,0.5,20.0,2.0,100.0,100.0
32.0,1.0,20.0,2.0,100.0,100.0
33.0,2.0,20.0,2.0,100.0,33.333332
34.0,3.0,20.0,2.0,100.0,33.333332
35.0,5.0,20.0,2.0,100.0,33.333332
36.0,10.0,20.0,2.0,100.0,11.111111
37.0,20.0,20.0,2.0,100.0,9.090909
38.0,40.0,20.0,2.0,100.0,5.263158
39.0,49.0,20.0,2.0,100.0,5.882353
40.0,0.0,20.0,2.0,100.0,100.0
41.0,0.5,20.0,2.0,100.0,100.0
42.0,1.0,20.0,2.0,100.0,100.0
43.0,2.0,20.0,2.0,100.0,33.333332
44.0,3.0,20.0,2.0,100.0,33.333332
45.0,5.0,20.0,2.0,100.0,9.090909
46.0,10.0,20.0,2.0,100.0,11.111111
47.0,20.0,20.0,2.0,100.0,5.882353
48.0,40.0,20.0,2.0,100.0,4.7619047
49.0,49.0,20.0,2.0,100.0,5.263158
50.0,0.0,20.0,2.0,100.0,100.0
51.0,0.5,20.0,2.0,100.0,33.333332
52.0,1.0,20.0,2.0,100.0,33.333332
53.0,2.0,20.0,2.0,100.0,6.6666665
54.0,3.0,20.0,2.0,100.0,33.333332
55.0,5.0,20.0,2.0,100.0,20.0
56.0,10.0,20.0,2.0,100.0,11.111111
57.0,20.0,20.0,2.0,100.0,9.090909
58.0,40.0,20.0,2.0,100.0,6.6666665
59.0,49.0,20.0,2.0,100.0,5.263158
60.0,0.0,20.0,2.0,100.0,100.0
61.0,0.5,20.0,2.0,100.0,33.333332
62.0,1.0,20.0,2.0,100.0,33.333332
63.0,2.0,20.0,2.0,100.0,33.333332
64.0,3.0,20.0,2.0,100.0,33.333332
65.0,5.0,20.0,2.0,100.0,14.285714
66.0,10.0,20.0,2.0,100.0,11.111111
67.0,20.0,20.0,2.0,100.0,9.090909
68.0,40.0,20.0,2.0,100.0,5.263158
69.0,49.0,20.0,2.0,100.0,5.882353
70.0,0.0,20.0,2.0,100.0,100.0
71.0,0.5,20.0,2.0,100.0,11.111111
72.0,1.0,20.0,2.0,100.0,33.333332
73.0,2.0,20.0,2.0,100.0,20.0
74.0,3.0,20.0,2.0,100.0,7.6923075
75.0,5.0,20.0,2.0,100.0,7.6923075
76.0,10.0,20.0,2.0,100.0,11.111111
77.0,20.0,20.0,2.0,100.0,9.090909
78.0,40.0,20.0,2.0,100.0,5.263158
79.0,49.0,20.0,2.0,100.0,5.263158
80.0,0.0,20.0,2.0,100.0,100.0
81.0,0.5,20.0,2.0,100.0,14.285714
82.0,1.0,20.0,2.0,100.0,100.0
83.0,2.0,20.0,2.0,100.0,20.0
84.0,3.0,20.0,2.0,100.0,7.6923075
85.0,5.0,20.0,2.0,100.0,9.090909
86.0,10.0,20.0,2.0,100.0,6.6666665
87.0,20.0,20.0,2.0,100.0,6.6666665
88.0,40.0,20.0,2.0,100.0,5.263158
89.0,49.0,20.0,2.0,100.0,33.333332
90.0,0.0,20.0,2.0,100.0,100.0
91.0,0.5,20.0,2.0,100.0,100.0
92.0,1.0,20.0,2.0,100.0,14.285714
93.0,2.0,20.0,2.0,100.0,33.333332
94.0,3.0,20.0,2.0,100.0,7.6923075
95.0,5.0,20.0,2.0,100.0,33.333332
96.0,10.0,20.0,2.0,100.0,11.111111
97.0,20.0,20.0,2.0,100.0,6.6666665
98.0,40.0,20.0,2.0,100.0,5.263158
99.0,49.0,20.0,2.0,100.0,6.6666665
100.0,0.0,20.0,2.0,100.0,100.0
101.0,0.5,20.0,2.0,100.0,33.333332
102.0,1.0,20.0,2.0,100.0,33.333332
103.0,2.0,20.0,2.0,100.0,33.333332
104.0,3.0,20.0,2.0,100.0,33.333332
105.0,5.0,20.0,2.0,100.0,5.263158
106.0,10.0,20.0,2.0,100.0,5.882353
107.0,20.0,20.0,2.0,100.0,5.263158
108.0,40.0,20.0,2.0,100.0,4.7619047
109.0,49.0,20.0,2.0,100.0,5.263158
110.0,0.0,20.0,2.0,100.0,100.0
111.0,0.5,20.0,2.0,100.0,33.333332
112.0,1.0,20.0,2.0,100.0,33.333332
113.0,2.0,20.0,2.0,100.0,33.333332
114.0,3.0,20.0,2.0,100.0,4.7619047
115.0,5.0,20.0,2.0,100.0,5.882353
116.0,10.0,20.0,2.0,100.0,6.6666665
117.0,20.0,20.0,2.0,100.0,6.6666665
118.0,40.0,20.0,2.0,100.0,5.263158
119.0,49.0,20.0,2.0,100.0,5.882353
120.0,0.0,20.0,2.0,100.0,100.0
121.0,0.5,20.0,2.0,100.0,11.111111
122.0,1.0,20.0,2.0,100.0,33.333332
123.0,2.0,20.0,2.0,100.0,33.333332
124.0,3.0,20.0,2.0,100.0,5.882353
125.0,5.0,20.0,2.0,100.0,14.285714
126.0,10.0,20.0,2.0,100.0,20.0
127.0,20.0,20.0,2.0,100.0,5.882353
128.0,40.0,20.0,2.0,100.0,7.6923075
129.0,49.0,20.0,2.0,100.0,5.263158
130.0,0.0,20.0,2.0,100.0,100.0
131.0,0.5,20.0,2.0,100.0,100.0
132.0,1.0,20.0,2.0,100.0,33.333332
133.0,2.0,20.0,2.0,100.0,33.333332
134.0,3.0,20.0,2.0,100.0,9.090909
135.0,5.0,20.0,2.0,100.0,11.111111
136.0,10.0,20.0,2.0,100.0,9.090909
137.0,20.0,20.0,2.0,100.0,4.7619047
138.0,40.0,20.0,2.0,100.0,5.882353
139.0,49.0,20.0,2.0,100.0,5.882353
140.0,0.0,20.0,2.0,100.0,14.285714
141.0,0.5,20.0,2.0,100.0,33.333332
142.0,1.0,20.0,2.0,100.0,33.333332
143.0,2.0,20.0,2.0,100.0,20.0
144.0,3.0,20.0,2.0,100.0,33.333332
145.0,5.0,20.0,2.0,100.0,33.333332
146.0,10.0,20.0,2.0,100.0,4.7619047
147.0,20.0,20.0,2.0,100.0,6.6666665
148.0,40.0,20.0,2.0,100.0,5.882353
149.0,49.0,20.0,2.0,100.0,5.882353
150.0,0.0,20.0,2.0,100.0,33.333332
151.0,0.5,20.0,2.0,100.0,11.111111
152.0,1.0,20.0,2.0,100.0,100.0
153.0,2.0,20.0,2.0,100.0,11.111111
154.0,3.0,20.0,2.0,100.0,33.333332
155.0,5.0,20.0,2.0,100.0,14.285714
156.0,10.0,20.0,2.0,100.0,7.6923075
157.0,20.0,20.0,2.0,100.0,7.6923075
158.0,40.0,20.0,2.0,100.0,5.263158
159.0,49.0,20.0,2.0,100.0,6.6666665
160.0,0.0,20.0,2.0,100.0,100.0
161.0,0.5,20.0,2.0,100.0,33.333332
162.0,1.0,20.0,2.0,100.0,33.333332
163.0,2.0,20.0,2.0,100.0,20.0
164.0,3.0,20.0,2.0,100.0,20.0
165.0,5.0,20.0,2.0,100.0,20.0
166.0,10.0,20.0,2.0,100.0,7.6923075
167.0,20.0,20.0,2.0,100.0,4.7619047
168.0,40.0,20.0,2.0,100.0,4.7619047
169.0,49.0,20.0,2.0,100.0,6.6666665
170.0,0.0,20.0,2.0,100.0,100.0
171.0,0.5,20.0,2.0,100.0,100.0
172.0,1.0,20.0,2.0,100.0,33.333332
173.0,2.0,20.0,2.0,100.0,33.333332
174.0,3.0,20.0,2.0,100.0,7.6923075
175.0,5.0,20.0,2.0,100.0,33.333332
176.0,10.0,20.0,2.0,100.0,6.6666665
177.0,20.0,20.0,2.0,100.0,5.263158
178.0,40.0,20.0,2.0,100.0,5.263158
179.0,49.0,20.0,2.0,100.0,9.090909
180.0,0.0,20.0,2.0,100.0,100.0
181.0,0.5,20.0,2.0,100.0,33.333332
182.0,1.0,20.0,2.0,100.0,9.090909
183.0,2.0,20.0,2.0,100.0,6.6666665
184.0,3.0,20.0,2.0,100.0,20.0
185.0,5.0,20.0,2.0,100.0,6.6666665
186.0,10.0,20.0,2.0,100.0,20.0
187.0,20.0,20.0,2.0,100.0,6.6666665
188.0,40.0,20.0,2.0,100.0,6.6666665
189.0,49.0,20.0,2.0,100.0,4.347826
190.0,0.0,20.0,2.0,100.0,100.0
191.0,0.5,20.0,2.0,100.0,33.333332
192.0,1.0,20.0,2.0,100.0,33.333332
193.0,2.0,20.0,2.0,100.0,9.090909
194.0,3.0,20.0,2.0,100.0,20.0
195.0,5.0,20.0,2.0,100.0,33.333332
196.0,10.0,20.0,2.0,100.0,9.090909
197.0,20.0,20.0,2.0,100.0,6.6666665
198.0,40.0,20.0,2.0,100.0,4.347826
199.0,49.0,20.0,2.0,100.0,5.263158
200.0,0.0,20.0,2.0,100.0,100.0
201.0,0.5,20.0,2.0,100.0,33.333332
202.0,1.0,20.0,2.0,100.0,33.333332
203.0,2.0,20.0,2.0,100.0,14.285714
204.0,3.0,20.0,2.0,100.0,33.333332
205.0,5.0,20.0,2.0,100.0,33.333332
206.0,10.0,20.0,2.0,100.0,4.347826
207.0,20.0,20.0,2.0,100.0,7.6923075
208.0,40.0,20.0,2.0,100.0,5.882353
209.0,49.0,20.0,2.0,100.0,5.882353
210.0,0.0,20.0,2.0,100.0,100.0
211.0,0.5,20.0,2.0,100.0,33.333332
212.0,1.0,20.0,2.0,100.0,33.333332
213.0,2.0,20.0,2.0,100.0,20.0
214.0,3.0,20.0,2.0,100.0,20.0
215.0,5.0,20.0,2.0,100.0,33.333332
216.0,10.0,20.0,2.0,100.0,14.285714
217.0,20.0,20.0,2.0,100.0,9.090909
218.0,40.0,20.0,2.0,100.0,6.6666665
219.0,49.0,20.0,2.0,100.0,5.263158
220.0,0.0,20.0,2.0,100.0,100.0
221.0,0.5,20.0,2.0,100.0,33.333332
222.0,1.0,20.0,2.0,100.0,33.333332
223.0,2.0,20.0,2.0,100.0,14.285714
224.0,3.0,20.0,2.0,100.0,20.0
225.0,5.0,20.0,2.0,100.0,5.882353
226.0,10.0,20.0,2.0,100.0,14.285714
227.0,20.0,20.0,2.0,100.0,9.090909
228.0,40.0,20.0,2.0,100.0,4.7619047
229.0,49.0,20.0,2.0,100.0,7.6923075
230.0,0.0,20.0,2.0,100.0,100.0
231.0,0.5,20.0,2.0,100.0,100.0
232.0,1.0,20.0,2.0,100.0,11.111111
233.0,2.0,20.0,2.0,100.0,33.333332
234.0,3.0,20.0,2.0,100.0,20.0
235.0,5.0,20.0,2.0,100.0,11.111111
236.0,10.0,20.0,2.0,100.0,9.090909
237.0,20.0,20.0,2.0,100.0,5.882353
238.0,40.0,20.0,2.0,100.0,4.7619047
239.0,49.0,20.0,2.0,100.0,6.6666665
240.0,0.0,20.0,2.0,100.0,100.0
241.0,0.5,20.0,2.0,100.0,33.333332
242.0,1.0,20.0,2.0,100.0,33.333332
243.0,2.0,20.0,2.0,100.0,20.0
244.0,3.0,20.0,2.0,100.0,33.333332
245.0,5.0,20.0,2.0,100.0,11.111111
246.0,10.0,20.0,2.0,100.0,6.6666665
247.0,20.0,20.0,2.0,100.0,14.285714
248.0,40.0,20.0,2.0,100.0,4.7619047
249.0,49.0,20.0,2.0,100.0,5.882353
250.0,0.0,20.0,2.0,100.0,100.0
251.0,0.5,20.0,2.0,100.0,100.0
252.0,1.0,20.0,2.0,100.0,33.333332
253.0,2.0,20.0,2.0,100.0,9.090909
254.0,3.0,20.0,2.0,100.0,33.333332
255.0,5.0,20.0,2.0,100.0,20.0
256.0,10.0,20.0,2.0,100.0,7.6923075
257.0,20.0,20.0,2.0,100.0,7.6923075
258.0,40.0,20.0,2.0,100.0,5.882353
259.0,49.0,20.0,2.0,100.0,4.7619047
260.0,0.0,20.0,2.0,100.0,100.0
261.0,0.5,20.0,2.0,100.0,100.0
262.0,1.0,20.0,2.0,100.0,7.6923075
263.0,2.0,20.0,2.0,100.0,20.0
264.0,3.0,20.0,2.0,100.0,33.333332
265.0,5.0,20.0,2.0,100.0,14.285714
266.0,10.0,20.0,2.0,100.0,7.6923075
267.0,20.0,20.0,2.0,100.0,5.882353
268.0,40.0,20.0,2.0,100.0,5.882353
269.0,49.0,20.0,2.0,100.0,5.882353
270.0,0.0,20.0,2.0,100.0,100.0
271.0,0.5,20.0,2.0,100.0,33.333332
272.0,1.0,20.0,2.0,100.0,33.333332
273.0,2.0,20.0,2.0,100.0,7.6923075
274.0,3.0,20.0,2.0,100.0,5.263158
275.0,5.0,20.0,2.0,100.0,7.6923075
276.0,10.0,20.0,2.0,100.0,5.882353
277.0,20.0,20.0,2.0,100.0,5.882353
278.0,40.0,20.0,2.0,100.0,7.6923075
279.0,49.0,20.0,2.0,100.0,4.7619047
280.0,0.0,20.0,2.0,100.0,33.333332
281.0,0.5,20.0,2.0,100.0,33.333332
282.0,1.0,20.0,2.0,100.0,100.0
283.0,2.0,20.0,2.0,100.0,20.0
284.0,3.0,20.0,2.0,100.0,20.0
285.0,5.0,20.0,2.0,100.0,9.090909
286.0,10.0,20.0,2.0,100.0,6.6666665
287.0,20.0,20.0,2.0,100.0,4.7619047
288.0,40.0,20.0,2.0,100.0,5.882353
289.0,49.0,20.0,2.0,100.0,4.7619047
290.0,0.0,20.0,2.0,100.0,100.0
291.0,0.5,20.0,2.0,100.0,33.333332
292.0,1.0,20.0,2.0,100.0,9.090909
293.0,2.0,20.0,2.0,100.0,14.285714
294.0,3.0,20.0,2.0,100.0,20.0
295.0,5.0,20.0,2.0,100.0,20.0
296.0,10.0,20.0,2.0,100.0,4.7619047
297.0,20.0,20.0,2.0,100.0,6.6666665
298.0,40.0,20.0,2.0,100.0,6.6666665
299.0,49.0,20.0,2.0,100.0,5.882353
300.0,0.0,20.0,2.0,100.0,100.0
301.0,0.5,20.0,2.0,100.0,6.6666665
302.0,1.0,20.0,2.0,100.0,100.0
303.0,2.0,20.0,2.0,100.0,14.285714
304.0,3.0,20.0,2.0,100.0,11.111111
305.0,5.0,20.0,2.0,100.0,9.090909
306.0,10.0,20.0,2.0,100.0,14.285714
307.0,20.0,20.0,2.0,100.0,7.6923075
308.0,40.0,20.0,2.0,100.0,6.6666665
309.0,49.0,20.0,2.0,100.0,4.7619047
310.0,0.0,20.0,2.0,100.0,100.0
311.0,0.5,20.0,2.0,100.0,100.0
312.0,1.0,20.0,2.0,100.0,100.0
313.0,2.0,20.0,2.0,100.0,33.333332
314.0,3.0,20.0,2.0,100.0,14.285714
315.0,5.0,20.0,2.0,100.0,20.0
316.0,10.0,20.0,2.0,100.0,9.090909
317.0,20.0,20.0,2.0,100.0,4.347826
318.0,40.0,20.0,2.0,100.0,5.263158
319.0,49.0,20.0,2.0,100.0,5.882353
320.0,0.0,20.0,2.0,100.0,100.0
321.0,0.5,20.0,2.0,100.0,33.333332
322.0,1.0,20.0,2.0,100.0,33.333332
323.0,2.0,20.0,2.0,100.0,33.333332
324.0,3.0,20.0,2.0,100.0,9.090909
325.0,5.0,20.0,2.0,100.0,11.111111
326.0,10.0,20.0,2.0,100.0,14.285714
327.0,20.0,20.0,2.0,100.0,5.263158
328.0,40.0,20.0,2.0,100.0,6.6666665
329.0,49.0,20.0,2.0,100.0,5.263158
330.0,0.0,20.0,2.0,100.0,100.0
331.0,0.5,20.0,2.0,100.0,5.882353
332.0,1.0,20.0,2.0,100.0,100.0
333.0,2.0,20.0,2.0,100.0,33.333332
334.0,3.0,20.0,2.0,100.0,4.7619047
335.0,5.0,20.0,2.0,100.0,14.285714
336.0,10.0,20.0,2.0,100.0,9.090909
337.0,20.0,20.0,2.0,100.0,7.6923075
338.0,40.0,20.0,2.0,100.0,5.882353
339.0,49.0,20.0,2.0,100.0,5.882353
340.0,0.0,20.0,2.0,100.0,100.0
341.0,0.5,20.0,2.0,100.0,100.0
342.0,1.0,20.0,2.0,100.0,33.333332
343.0,2.0,20.0,2.0,100.0,33.333332
344.0,3.0,20.0,2.0,100.0,33.333332
345.0,5.0,20.0,2.0,100.0,20.0
346.0,10.0,20.0,2.0,100.0,20.0
347.0,20.0,20.0,2.0,100.0,7.6923075
348.0,40.0,20.0,2.0,100.0,5.882353
349.0,49.0,20.0,2.0,100.0,5.263158
350.0,0.0,20.0,2.0,100.0,100.0
351.0,0.5,20.0,2.0,100.0,33.333332
352.0,1.0,20.0,2.0,100.0,5.882353
353.0,2.0,20.0,2.0,100.0,33.333332
354.0,3.0,20.0,2.0,100.0,11.111111
355.0,5.0,20.0,2.0,100.0,33.333332
356.0,10.0,20.0,2.0,100.0,7.6923075
357.0,20.0,20.0,2.0,100.0,9.090909
358.0,40.0,20.0,2.0,100.0,4.7619047
359.0,49.0,20.0,2.0,100.0,7.6923075
360.0,0.0,20.0,2.0,100.0,100.0
361.0,0.5,20.0,2.0,100.0,33.333332
362.0,1.0,20.0,2.0,100.0,100.0
363.0,2.0,20.0,2.0,100.0,11.111111
364.0,3.0,20.0,2.0,100.0,14.285714
365.0,5.0,20.0,2.0,100.0,5.263158
366.0,10.0,20.0,2.0,100.0,9.090909
367.0,20.0,20.0,2.0,100.0,7.6923075
368.0,40.0,20.0,2.0,100.0,4.7619047
369.0,49.0,20.0,2.0,100.0,6.6666665
370.0,0.0,20.0,2.0,100.0,100.0
371.0,0.5,20.0,2.0,100.0,33.333332
372.0,1.0,20.0,2.0,100.0,100.0
373.0,2.0,20.0,2.0,100.0,100.0
374.0,3.0,20.0,2.0,100.0,5.882353
375.0,5.0,20.0,2.0,100.0,4.347826
376.0,10.0,20.0,2.0,100.0,4.7619047
377.0,20.0,20.0,2.0,100.0,7.6923075
378.0,40.0,20.0,2.0,100.0,7.6923075
379.0,49.0,20.0,2.0,100.0,5.882353
380.0,0.0,20.0,2.0,100.0,100.0
381.0,0.5,20.0,2.0,100.0,33.333332
382.0,1.0,20.0,2.0,100.0,20.0
383.0,2.0,20.0,2.0,100.0,33.333332
384.0,3.0,20.0,2.0,100.0,33.333332
385.0,5.0,20.0,2.0,100.0,4.347826
386.0,10.0,20.0,2.0,100.0,6.6666665
387.0,20.0,20.0,2.0,100.0,6.6666665
388.0,40.0,20.0,2.0,100.0,6.6666665
389.0,49.0,20.0,2.0,100.0,5.882353
390.0,0.0,20.0,2.0,100.0,100.0
391.0,0.5,20.0,2.0,100.0,5.882353
392.0,1.0,20.0,2.0,100.0,33.333332
393.0,2.0,20.0,2.0,100.0,33.333332
394.0,3.0,20.0,2.0,100.0,33.333332
395.0,5.0,20.0,2.0,100.0,33.333332
396.0,10.0,20.0,2.0,100.0,11.111111
397.0,20.0,20.0,2.0,100.0,11.111111
398.0,40.0,20.0,2.0,100.0,5.263158
399.0,49.0,20.0,2.0,100.0,4.347826
400.0,0.0,20.0,2.0,100.0,100.0
401.0,0.5,20.0,2.0,100.0,33.333332
402.0,1.0,20.0,2.0,100.0,33.333332
403.0,2.0,20.0,2.0,100.0,7.6923075
404.0,3.0,20.0,2.0,100.0,33.333332
405.0,5.0,20.0,2.0,100.0,33.333332
406.0,10.0,20.0,2.0,100.0,7.6923075
407.0,20.0,20.0,2.0,100.0,9.090909
408.0,40.0,20.0,2.0,100.0,6.6666665
409.0,49.0,20.0,2.0,100.0,4.7619047
410.0,0.0,20.0,2.0,100.0,100.0
411.0,0.5,20.0,2.0,100.0,100.0
412.0,1.0,20.0,2.0,100.0,100.0
413.0,2.0,20.0,2.0,100.0,33.333332
414.0,3.0,20.0,2.0,100.0,33.333332
415.0,5.0,20.0,2.0,100.0,14.285714
416.0,10.0,20.0,2.0,100.0,7.6923075
417.0,20.0,20.0,2.0,100.0,7.6923075
418.0,40.0,20.0,2.0,100.0,5.882353
419.0,49.0,20.0,2.0,100.0,6.6666665
420.0,0.0,20.0,2.0,100.0,100.0
421.0,0.5,20.0,2.0,100.0,100.0
422.0,1.0,20.0,2.0,100.0,33.333332
423.0,2.0,20.0,2.0,100.0,33.333332
424.0,3.0,20.0,2.0,100.0,100.0
425.0,5.0,20.0,2.0,100.0,14.285714
426.0,10.0,20.0,2.0,100.0,9.090909
427.0,20.0,20.0,2.0,100.0,7.6923075
428.0,40.0,20.0,2.0,100.0,6.6666665
429.0,49.0,20.0,2.0,100.0,5.263158
430.0,0.0,20.0,2.0,100.0,100.0
431.0,0.5,20.0,2.0,100.0,100.0
432.0,1.0,20.0,2.0,100.0,33.333332
433.0,2.0,20.0,2.0,100.0,33.333332
434.0,3.0,20.0,2.0,100.0,33.333332
435.0,5.0,20.0,2.0,100.0,33.333332
436.0,10.0,20.0,2.0,100.0,9.090909
437.0,20.0,20.0,2.0,100.0,7.6923075
438.0,40.0,20.0,2.0,100.0,5.263158
439.0,49.0,20.0,2.0,100.0,7.6923075
440.0,0.0,20.0,2.0,100.0,100.0
441.0,0.5,20.0,2.0,100.0,33.333332
442.0,1.0,20.0,2.0,100.0,33.333332
443.0,2.0,20.0,2.0,100.0,33.333332
444.0,3.0,20.0,2.0,100.0,33.333332
445.0,5.0,20.0,2.0,100.0,20.0
446.0,10.0,20.0,2.0,100.0,5.882353
447.0,20.0,20.0,2.0,100.0,7.6923075
448.0,40.0,20.0,2.0,100.0,6.6666665
449.0,49.0,20.0,2.0,100.0,7.6923075
450.0,0.0,20.0,2.0,100.0,100.0
451.0,0.5,20.0,2.0,100.0,11.111111
452.0,1.0,20.0,2.0,100.0,33.333332
453.0,2.0,20.0,2.0,100.0,33.333332
454.0,3.0,20.0,2.0,100.0,14.285714
455.0,5.0,20.0,2.0,100.0,14.285714
456.0,10.0,20.0,2.0,100.0,7.6923075
457.0,20.0,20.0,2.0,100.0,9.090909
458.0,40.0,20.0,2.0,100.0,5.263158
459.0,49.0,20.0,2.0,100.0,5.882353
460.0,0.0,20.0,2.0,100.0,100.0
461.0,0.5,20.0,2.0,100.0,33.333332
462.0,1.0,20.0,2.0,100.0,33.333332
463.0,2.0,20.0,2.0,100.0,33.333332
464.0,3.0,20.0,2.0,100.0,33.333332
465.0,5.0,20.0,2.0,100.0,9.090909
466.0,10.0,20.0,2.0,100.0,9.090909
467.0,20.0,20.0,2.0,100.0,11.111111
468.0,40.0,20.0,2.0,100.0,4.7619047
469.0,49.0,20.0,2.0,100.0,5.882353
470.0,0.0,20.0,2.0,100.0,11.111111
471.0,0.5,20.0,2.0,100.0,33.333332
472.0,1.0,20.0,2.0,100.0,20.0
473.0,2.0,20.0,2.0,100.0,7.6923075
474.0,3.0,20.0,2.0,100.0,20.0
475.0,5.0,20.0,2.0,100.0,20.0
476.0,10.0,20.0,2.0,100.0,11.111111
477.0,20.0,20.0,2.0,100.0,6.6666665
478.0,40.0,20.0,2.0,100.0,5.263158
479.0,49.0,20.0,2.0,100.0,4.7619047
480.0,0.0,20.0,2.0,100.0,100.0
481.0,0.5,20.0,2.0,100.0,100.0
482.0,1.0,20.0,2.0,100.0,100.0
483.0,2.0,20.0,2.0,100.0,33.333332
484.0,3.0,20.0,2.0,100.0,9.090909
485.0,5.0,20.0,2.0,100.0,14.285714
486.0,10.0,20.0,2.0,100.0,9.090909
487.0,20.0,20.0,2.0,100.0,5.882353
488.0,40.0,20.0,2.0,100.0,6.6666665
489.0,49.0,20.0,2.0,100.0,6.6666665
490.0,0.0,20.0,2.0,100.0,100.0
491.0,0.5,20.0,2.0,100.0,100.0
492.0,1.0,20.0,2.0,100.0,33.333332
493.0,2.0,20.0,2.0,100.0,33.333332
494.0,3.0,20.0,2.0,100.0,33.333332
495.0,5.0,20.0,2.0,100.0,20.0
496.0,10.0,20.0,2.0,100.0,14.285714
497.0,20.0,20.0,2.0,100.0,9.090909
498.0,40.0,20.0,2.0,100.0,6.6666665
499.0,49.0,20.0,2.0,100.0,5.882353
500.0,0.0,20.0,2.0,100.0,100.0
501.0,0.5,20.0,2.0,100.0,14.285714
502.0,1.0,20.0,2.0,100.0,33.333332
503.0,2.0,20.0,2.0,100.0,33.333332
504.0,3.0,20.0,2.0,100.0,20.0
505.0,5.0,20.0,2.0,100.0,33.333332
506.0,10.0,20.0,2.0,100.0,7.6923075
507.0,20.0,20.0,2.0,100.0,5.882353
508.0,40.0,20.0,2.0,100.0,7.6923075
509.0,49.0,20.0,2.0,100.0,5.263158
510.0,0.0,20.0,2.0,100.0,7.6923075
511.0,0.5,20.0,2.0,100.0,33.333332
512.0,1.0,20.0,2.0,100.0,7.6923075
513.0,2.0,20.0,2.0,100.0,33.333332
514.0,3.0,20.0,2.0,100.0,33.333332
515.0,5.0,20.0,2.0,100.0,33.333332
