Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,29.465408
1.0,0.5,20.0,2.0,100.0,15.794871
2.0,1.0,20.0,2.0,100.0,26.707483
3.0,2.0,20.0,2.0,100.0,19.805555
4.0,3.0,20.0,2.0,100.0,25.304348
5.0,5.0,20.0,2.0,100.0,19.534351
6.0,10.0,20.0,2.0,100.0,20.742424
7.0,20.0,20.0,2.0,100.0,24.776978
8.0,40.0,20.0,2.0,100.0,21.8
9.0,49.0,20.0,2.0,100.0,43.80503
10.0,0.0,20.0,2.0,100.0,28.506329
11.0,0.5,20.0,2.0,100.0,21.666666
12.0,1.0,20.0,2.0,100.0,24.4702
13.0,2.0,20.0,2.0,100.0,22.153847
14.0,3.0,20.0,2.0,100.0,15.4959345
15.0,5.0,20.0,2.0,100.0,12.046875
16.0,10.0,20.0,2.0,100.0,17.057554
17.0,20.0,20.0,2.0,100.0,29.581818
18.0,40.0,20.0,2.0,100.0,39.05195
19.0,49.0,20.0,2.0,100.0,60.333332
20.0,0.0,20.0,2.0,100.0,29.603773
21.0,0.5,20.0,2.0,100.0,34.972374
22.0,1.0,20.0,2.0,100.0,29.329113
23.0,2.0,20.0,2.0,100.0,22.324324
24.0,3.0,20.0,2.0,100.0,25.322784
25.0,5.0,20.0,2.0,100.0,13.846154
26.0,10.0,20.0,2.0,100.0,14.612245
27.0,20.0,20.0,2.0,100.0,27.503496
28.0,40.0,20.0,2.0,100.0,39.061226
29.0,49.0,20.0,2.0,100.0,22.92647
30.0,0.0,20.0,2.0,100.0,28.974522
31.0,0.5,20.0,2.0,100.0,30.625
32.0,1.0,20.0,2.0,100.0,29.018988
33.0,2.0,20.0,2.0,100.0,24.251656
34.0,3.0,20.0,2.0,100.0,13.712121
35.0,5.0,20.0,2.0,100.0,16.268116
36.0,10.0,20.0,2.0,100.0,9.1875
37.0,20.0,20.0,2.0,100.0,15.38938
38.0,40.0,20.0,2.0,100.0,34.05
39.0,49.0,20.0,2.0,100.0,28.17742
40.0,0.0,20.0,2.0,100.0,29.341772
41.0,0.5,20.0,2.0,100.0,28.854431
42.0,1.0,20.0,2.0,100.0,29.088608
43.0,2.0,20.0,2.0,100.0,16.291044
44.0,3.0,20.0,2.0,100.0,21.212599
45.0,5.0,20.0,2.0,100.0,21.633802
46.0,10.0,20.0,2.0,100.0,33.205555
47.0,20.0,20.0,2.0,100.0,25.037878
48.0,40.0,20.0,2.0,100.0,34.086666
49.0,49.0,20.0,2.0,100.0,35.75714
50.0,0.0,20.0,2.0,100.0,28.509434
51.0,0.5,20.0,2.0,100.0,24.708609
52.0,1.0,20.0,2.0,100.0,16.09091
53.0,2.0,20.0,2.0,100.0,15.75
54.0,3.0,20.0,2.0,100.0,18.016949
55.0,5.0,20.0,2.0,100.0,10.525
56.0,10.0,20.0,2.0,100.0,22.353846
57.0,20.0,20.0,2.0,100.0,21.710344
58.0,40.0,20.0,2.0,100.0,29.8875
59.0,49.0,20.0,2.0,100.0,41.714287
60.0,0.0,20.0,2.0,100.0,29.132076
61.0,0.5,20.0,2.0,100.0,17.344828
62.0,1.0,20.0,2.0,100.0,15.557252
63.0,2.0,20.0,2.0,100.0,15.488372
64.0,3.0,20.0,2.0,100.0,12.358334
65.0,5.0,20.0,2.0,100.0,11.1587305
66.0,10.0,20.0,2.0,100.0,25.719513
67.0,20.0,20.0,2.0,100.0,25.476511
68.0,40.0,20.0,2.0,100.0,27.074627
69.0,49.0,20.0,2.0,100.0,26.587719
70.0,0.0,20.0,2.0,100.0,30.509317
71.0,0.5,20.0,2.0,100.0,20.330986
72.0,1.0,20.0,2.0,100.0,24.137255
73.0,2.0,20.0,2.0,100.0,17.17647
74.0,3.0,20.0,2.0,100.0,25.755102
75.0,5.0,20.0,2.0,100.0,27.970589
76.0,10.0,20.0,2.0,100.0,11.162394
77.0,20.0,20.0,2.0,100.0,21.335526
78.0,40.0,20.0,2.0,100.0,43.414474
79.0,49.0,20.0,2.0,100.0,27.222221
80.0,0.0,20.0,2.0,100.0,27.664516
81.0,0.5,20.0,2.0,100.0,35.2994
82.0,1.0,20.0,2.0,100.0,30.08125
83.0,2.0,20.0,2.0,100.0,55.48035
84.0,3.0,20.0,2.0,100.0,23.376543
85.0,5.0,20.0,2.0,100.0,21.041096
86.0,10.0,20.0,2.0,100.0,26.5298
87.0,20.0,20.0,2.0,100.0,28.767443
88.0,40.0,20.0,2.0,100.0,28.585186
89.0,49.0,20.0,2.0,100.0,103.75862
90.0,0.0,20.0,2.0,100.0,29.660378
91.0,0.5,20.0,2.0,100.0,28.853502
92.0,1.0,20.0,2.0,100.0,28.926554
93.0,2.0,20.0,2.0,100.0,14.264957
94.0,3.0,20.0,2.0,100.0,27.59375
95.0,5.0,20.0,2.0,100.0,17.291338
96.0,10.0,20.0,2.0,100.0,20.993334
97.0,20.0,20.0,2.0,100.0,28.192053
98.0,40.0,20.0,2.0,100.0,37.954544
99.0,49.0,20.0,2.0,100.0,55.666668
100.0,0.0,20.0,2.0,100.0,28.605095
101.0,0.5,20.0,2.0,100.0,27.516556
102.0,1.0,20.0,2.0,100.0,20.650793
103.0,2.0,20.0,2.0,100.0,25.961039
104.0,3.0,20.0,2.0,100.0,20.33071
105.0,5.0,20.0,2.0,100.0,23.46923
106.0,10.0,20.0,2.0,100.0,21.557142
107.0,20.0,20.0,2.0,100.0,46.13768
108.0,40.0,20.0,2.0,100.0,19.689655
109.0,49.0,20.0,2.0,100.0,22.457365
110.0,0.0,20.0,2.0,100.0,28.394905
111.0,0.5,20.0,2.0,100.0,22.12245
112.0,1.0,20.0,2.0,100.0,17.351562
113.0,2.0,20.0,2.0,100.0,18.0
114.0,3.0,20.0,2.0,100.0,26.870749
115.0,5.0,20.0,2.0,100.0,21.042856
116.0,10.0,20.0,2.0,100.0,17.927631
117.0,20.0,20.0,2.0,100.0,26.251852
118.0,40.0,20.0,2.0,100.0,30.93421
119.0,49.0,20.0,2.0,100.0,34.103703
120.0,0.0,20.0,2.0,100.0,28.853502
121.0,0.5,20.0,2.0,100.0,30.352942
122.0,1.0,20.0,2.0,100.0,21.66929
123.0,2.0,20.0,2.0,100.0,11.243478
124.0,3.0,20.0,2.0,100.0,17.492064
125.0,5.0,20.0,2.0,100.0,12.220183
126.0,10.0,20.0,2.0,100.0,11.243243
127.0,20.0,20.0,2.0,100.0,33.527607
128.0,40.0,20.0,2.0,100.0,31.777779
129.0,49.0,20.0,2.0,100.0,46.503704
130.0,0.0,20.0,2.0,100.0,28.585987
131.0,0.5,20.0,2.0,100.0,29.534592
132.0,1.0,20.0,2.0,100.0,18.35
133.0,2.0,20.0,2.0,100.0,17.606838
134.0,3.0,20.0,2.0,100.0,16.55
135.0,5.0,20.0,2.0,100.0,14.669354
136.0,10.0,20.0,2.0,100.0,29.59887
137.0,20.0,20.0,2.0,100.0,31.733767
138.0,40.0,20.0,2.0,100.0,27.713116
139.0,49.0,20.0,2.0,100.0,25.47619
140.0,0.0,20.0,2.0,100.0,46.27835
141.0,0.5,20.0,2.0,100.0,14.736
142.0,1.0,20.0,2.0,100.0,27.324139
143.0,2.0,20.0,2.0,100.0,13.068703
144.0,3.0,20.0,2.0,100.0,15.613636
145.0,5.0,20.0,2.0,100.0,15.321101
146.0,10.0,20.0,2.0,100.0,32.455128
147.0,20.0,20.0,2.0,100.0,25.51938
148.0,40.0,20.0,2.0,100.0,25.427273
149.0,49.0,20.0,2.0,100.0,29.507353
150.0,0.0,20.0,2.0,100.0,36.43386
151.0,0.5,20.0,2.0,100.0,20.964788
152.0,1.0,20.0,2.0,100.0,28.114649
153.0,2.0,20.0,2.0,100.0,11.440678
154.0,3.0,20.0,2.0,100.0,12.433628
155.0,5.0,20.0,2.0,100.0,16.585938
156.0,10.0,20.0,2.0,100.0,21.071943
157.0,20.0,20.0,2.0,100.0,28.442953
158.0,40.0,20.0,2.0,100.0,39.464912
159.0,49.0,20.0,2.0,100.0,37.0
160.0,0.0,20.0,2.0,100.0,29.251572
161.0,0.5,20.0,2.0,100.0,14.266666
162.0,1.0,20.0,2.0,100.0,23.007874
163.0,2.0,20.0,2.0,100.0,18.25926
164.0,3.0,20.0,2.0,100.0,24.2875
165.0,5.0,20.0,2.0,100.0,15.723881
166.0,10.0,20.0,2.0,100.0,25.267124
167.0,20.0,20.0,2.0,100.0,27.622952
168.0,40.0,20.0,2.0,100.0,26.464567
169.0,49.0,20.0,2.0,100.0,61.44186
170.0,0.0,20.0,2.0,100.0,29.36875
171.0,0.5,20.0,2.0,100.0,29.389936
172.0,1.0,20.0,2.0,100.0,22.865772
173.0,2.0,20.0,2.0,100.0,11.207208
174.0,3.0,20.0,2.0,100.0,16.214285
175.0,5.0,20.0,2.0,100.0,13.064
176.0,10.0,20.0,2.0,100.0,30.708609
177.0,20.0,20.0,2.0,100.0,24.188976
178.0,40.0,20.0,2.0,100.0,21.959349
179.0,49.0,20.0,2.0,100.0,32.41129
180.0,0.0,20.0,2.0,100.0,30.1125
181.0,0.5,20.0,2.0,100.0,15.768595
182.0,1.0,20.0,2.0,100.0,42.90206
183.0,2.0,20.0,2.0,100.0,27.576471
184.0,3.0,20.0,2.0,100.0,12.04065
185.0,5.0,20.0,2.0,100.0,22.17931
186.0,10.0,20.0,2.0,100.0,19.569344
187.0,20.0,20.0,2.0,100.0,28.31884
188.0,40.0,20.0,2.0,100.0,30.422764
189.0,49.0,20.0,2.0,100.0,20.965517
190.0,0.0,20.0,2.0,100.0,28.630573
191.0,0.5,20.0,2.0,100.0,42.85128
192.0,1.0,20.0,2.0,100.0,14.33871
193.0,2.0,20.0,2.0,100.0,14.847458
194.0,3.0,20.0,2.0,100.0,9.765766
195.0,5.0,20.0,2.0,100.0,15.412281
196.0,10.0,20.0,2.0,100.0,20.22
197.0,20.0,20.0,2.0,100.0,18.991869
198.0,40.0,20.0,2.0,100.0,24.706896
199.0,49.0,20.0,2.0,100.0,55.49704
200.0,0.0,20.0,2.0,100.0,29.132912
201.0,0.5,20.0,2.0,100.0,22.344595
202.0,1.0,20.0,2.0,100.0,15.962963
203.0,2.0,20.0,2.0,100.0,18.2
204.0,3.0,20.0,2.0,100.0,19.67347
205.0,5.0,20.0,2.0,100.0,12.37037
206.0,10.0,20.0,2.0,100.0,30.635761
207.0,20.0,20.0,2.0,100.0,28.692308
208.0,40.0,20.0,2.0,100.0,29.207693
209.0,49.0,20.0,2.0,100.0,40.714287
210.0,0.0,20.0,2.0,100.0,28.784811
211.0,0.5,20.0,2.0,100.0,18.950705
212.0,1.0,20.0,2.0,100.0,22.671534
213.0,2.0,20.0,2.0,100.0,13.868421
214.0,3.0,20.0,2.0,100.0,21.868422
215.0,5.0,20.0,2.0,100.0,19.92647
216.0,10.0,20.0,2.0,100.0,11.175
217.0,20.0,20.0,2.0,100.0,16.395523
218.0,40.0,20.0,2.0,100.0,27.902985
219.0,49.0,20.0,2.0,100.0,44.323307
220.0,0.0,20.0,2.0,100.0,28.01923
