Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,100.0,0.0
1.0,0.5,20.0,2.0,100.0,34.703506
2.0,1.0,20.0,2.0,100.0,50.895317
3.0,2.0,20.0,2.0,100.0,3.2802796
4.0,3.0,20.0,2.0,100.0,46.003624
5.0,5.0,20.0,2.0,100.0,4.0137634
6.0,10.0,20.0,2.0,100.0,8.882056
7.0,20.0,20.0,2.0,100.0,9.310795
8.0,40.0,20.0,2.0,100.0,4.854287
9.0,49.0,20.0,2.0,100.0,3.8110118
10.0,0.0,20.0,2.0,100.0,0.0
11.0,0.5,20.0,2.0,100.0,42.899105
12.0,1.0,20.0,2.0,100.0,46.003624
13.0,2.0,20.0,2.0,100.0,42.14657
14.0,3.0,20.0,2.0,100.0,29.905407
15.0,5.0,20.0,2.0,100.0,14.142136
16.0,10.0,20.0,2.0,100.0,20.07486
17.0,20.0,20.0,2.0,100.0,5.7064967
18.0,40.0,20.0,2.0,100.0,4.226144
19.0,49.0,20.0,2.0,100.0,3.5861254
20.0,0.0,20.0,2.0,100.0,0.0
21.0,0.5,20.0,2.0,100.0,0.0
22.0,1.0,20.0,2.0,100.0,0.0
23.0,2.0,20.0,2.0,100.0,40.463974
24.0,3.0,20.0,2.0,100.0,4.768154
25.0,5.0,20.0,2.0,100.0,13.996598
26.0,10.0,20.0,2.0,100.0,7.5571895
27.0,20.0,20.0,2.0,100.0,3.5510976
28.0,40.0,20.0,2.0,100.0,3.798276
29.0,49.0,20.0,2.0,100.0,4.169047
30.0,0.0,20.0,2.0,100.0,0.0
31.0,0.5,20.0,2.0,100.0,0.0
32.0,1.0,20.0,2.0,100.0,0.0
33.0,2.0,20.0,2.0,100.0,46.003624
34.0,3.0,20.0,2.0,100.0,19.553345
35.0,5.0,20.0,2.0,100.0,26.633312
36.0,10.0,20.0,2.0,100.0,8.115485
37.0,20.0,20.0,2.0,100.0,8.348108
38.0,40.0,20.0,2.0,100.0,2.725234
39.0,49.0,20.0,2.0,100.0,4.1213217
40.0,0.0,20.0,2.0,100.0,0.0
41.0,0.5,20.0,2.0,100.0,0.0
42.0,1.0,20.0,2.0,100.0,0.0
43.0,2.0,20.0,2.0,100.0,30.664854
44.0,3.0,20.0,2.0,100.0,40.673496
45.0,5.0,20.0,2.0,100.0,7.3682365
46.0,10.0,20.0,2.0,100.0,7.5571895
47.0,20.0,20.0,2.0,100.0,5.194737
48.0,40.0,20.0,2.0,100.0,2.0470653
49.0,49.0,20.0,2.0,100.0,3.2462306
50.0,0.0,20.0,2.0,100.0,0.0
51.0,0.5,20.0,2.0,100.0,44.43347
52.0,1.0,20.0,2.0,100.0,32.145504
53.0,2.0,20.0,2.0,100.0,5.8756967
54.0,3.0,20.0,2.0,100.0,37.20663
55.0,5.0,20.0,2.0,100.0,14.73092
56.0,10.0,20.0,2.0,100.0,6.1531386
57.0,20.0,20.0,2.0,100.0,5.262215
58.0,40.0,20.0,2.0,100.0,3.9036002
59.0,49.0,20.0,2.0,100.0,3.509386
60.0,0.0,20.0,2.0,100.0,0.0
61.0,0.5,20.0,2.0,100.0,35.921207
62.0,1.0,20.0,2.0,100.0,28.00595
63.0,2.0,20.0,2.0,100.0,28.00595
64.0,3.0,20.0,2.0,100.0,18.147543
65.0,5.0,20.0,2.0,100.0,9.995236
66.0,10.0,20.0,2.0,100.0,13.494855
67.0,20.0,20.0,2.0,100.0,6.503146
68.0,40.0,20.0,2.0,100.0,2.3532982
69.0,49.0,20.0,2.0,100.0,3.257345
70.0,0.0,20.0,2.0,100.0,0.0
71.0,0.5,20.0,2.0,100.0,15.616053
72.0,1.0,20.0,2.0,100.0,41.283573
73.0,2.0,20.0,2.0,100.0,19.377823
74.0,3.0,20.0,2.0,100.0,5.9775214
75.0,5.0,20.0,2.0,100.0,7.1575675
76.0,10.0,20.0,2.0,100.0,7.94425
77.0,20.0,20.0,2.0,100.0,7.40884
78.0,40.0,20.0,2.0,100.0,3.1063037
79.0,49.0,20.0,2.0,100.0,3.3803701
80.0,0.0,20.0,2.0,100.0,0.0
81.0,0.5,20.0,2.0,100.0,19.050058
82.0,1.0,20.0,2.0,100.0,0.0
83.0,2.0,20.0,2.0,100.0,35.277473
84.0,3.0,20.0,2.0,100.0,8.097167
85.0,5.0,20.0,2.0,100.0,8.117322
86.0,10.0,20.0,2.0,100.0,3.1997025
87.0,20.0,20.0,2.0,100.0,3.309438
88.0,40.0,20.0,2.0,100.0,2.825324
89.0,49.0,20.0,2.0,100.0,48.418316
90.0,0.0,20.0,2.0,100.0,0.0
91.0,0.5,20.0,2.0,100.0,0.0
92.0,1.0,20.0,2.0,100.0,17.182493
93.0,2.0,20.0,2.0,100.0,21.571587
94.0,3.0,20.0,2.0,100.0,5.935551
95.0,5.0,20.0,2.0,100.0,29.501413
96.0,10.0,20.0,2.0,100.0,9.675283
97.0,20.0,20.0,2.0,100.0,4.6239543
98.0,40.0,20.0,2.0,100.0,2.9219878
99.0,49.0,20.0,2.0,100.0,3.3946738
100.0,0.0,20.0,2.0,100.0,0.0
101.0,0.5,20.0,2.0,100.0,52.576927
102.0,1.0,20.0,2.0,100.0,39.95414
103.0,2.0,20.0,2.0,100.0,47.60602
104.0,3.0,20.0,2.0,100.0,41.198704
105.0,5.0,20.0,2.0,100.0,2.8449194
