Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,25.0,258.0
1.0,0.5,20.0,2.0,25.0,257.0
2.0,1.0,20.0,2.0,25.0,166.0
3.0,2.0,20.0,2.0,25.0,261.0
4.0,3.0,20.0,2.0,25.0,233.0
5.0,5.0,20.0,2.0,25.0,121.0
6.0,10.0,20.0,2.0,25.0,221.0
7.0,20.0,20.0,2.0,25.0,183.0
8.0,40.0,20.0,2.0,25.0,1990.0
9.0,0.0,20.0,2.0,25.0,259.0
10.0,0.5,20.0,2.0,25.0,257.0
11.0,1.0,20.0,2.0,25.0,241.0
12.0,2.0,20.0,2.0,25.0,145.0
13.0,3.0,20.0,2.0,25.0,255.0
14.0,5.0,20.0,2.0,25.0,254.0
15.0,10.0,20.0,2.0,25.0,317.0
16.0,20.0,20.0,2.0,25.0,345.0
17.0,40.0,20.0,2.0,25.0,2543.0
18.0,0.0,20.0,2.0,25.0,252.0
19.0,0.5,20.0,2.0,25.0,271.0
20.0,1.0,20.0,2.0,25.0,289.0
21.0,2.0,20.0,2.0,25.0,256.0
22.0,3.0,20.0,2.0,25.0,237.0
23.0,5.0,20.0,2.0,25.0,257.0
24.0,10.0,20.0,2.0,25.0,250.0
25.0,20.0,20.0,2.0,25.0,458.0
26.0,40.0,20.0,2.0,25.0,477.0
27.0,0.0,20.0,2.0,25.0,256.0
28.0,0.5,20.0,2.0,25.0,115.0
29.0,1.0,20.0,2.0,25.0,259.0
30.0,2.0,20.0,2.0,25.0,207.0
31.0,3.0,20.0,2.0,25.0,136.0
32.0,5.0,20.0,2.0,25.0,241.0
33.0,10.0,20.0,2.0,25.0,261.0
34.0,20.0,20.0,2.0,25.0,269.0
35.0,40.0,20.0,2.0,25.0,602.0
36.0,0.0,20.0,2.0,25.0,247.0
37.0,0.5,20.0,2.0,25.0,228.0
38.0,1.0,20.0,2.0,25.0,252.0
39.0,2.0,20.0,2.0,25.0,255.0
40.0,3.0,20.0,2.0,25.0,277.0
41.0,5.0,20.0,2.0,25.0,125.0
42.0,10.0,20.0,2.0,25.0,165.0
43.0,20.0,20.0,2.0,25.0,168.0
44.0,40.0,20.0,2.0,25.0,560.0
45.0,0.0,20.0,2.0,25.0,255.0
46.0,0.5,20.0,2.0,25.0,228.0
47.0,1.0,20.0,2.0,25.0,249.0
48.0,2.0,20.0,2.0,25.0,249.0
49.0,3.0,20.0,2.0,25.0,258.0
50.0,5.0,20.0,2.0,25.0,318.0
51.0,10.0,20.0,2.0,25.0,192.0
52.0,20.0,20.0,2.0,25.0,429.0
53.0,40.0,20.0,2.0,25.0,1627.0
54.0,0.0,20.0,2.0,25.0,254.0
