Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,25.0,6.0
1.0,0.5,20.0,2.0,25.0,7.0
2.0,1.0,20.0,2.0,25.0,4.32
3.0,2.0,20.0,2.0,25.0,7.16
4.0,3.0,20.0,2.0,25.0,5.24
5.0,5.0,20.0,2.0,25.0,4.16
6.0,10.0,20.0,2.0,25.0,5.6
7.0,20.0,20.0,2.0,25.0,3.68
8.0,40.0,20.0,2.0,25.0,4.16
9.0,0.0,20.0,2.0,25.0,7.08
10.0,0.5,20.0,2.0,25.0,5.96
11.0,1.0,20.0,2.0,25.0,6.0
12.0,2.0,20.0,2.0,25.0,4.8
13.0,3.0,20.0,2.0,25.0,6.92
14.0,5.0,20.0,2.0,25.0,5.84
15.0,10.0,20.0,2.0,25.0,3.96
16.0,20.0,20.0,2.0,25.0,4.0
17.0,40.0,20.0,2.0,25.0,4.12
18.0,0.0,20.0,2.0,25.0,5.28
19.0,0.5,20.0,2.0,25.0,7.12
20.0,1.0,20.0,2.0,25.0,5.52
21.0,2.0,20.0,2.0,25.0,6.08
22.0,3.0,20.0,2.0,25.0,6.6
23.0,5.0,20.0,2.0,25.0,7.0
24.0,10.0,20.0,2.0,25.0,4.4
25.0,20.0,20.0,2.0,25.0,4.24
26.0,40.0,20.0,2.0,25.0,4.12
27.0,0.0,20.0,2.0,25.0,6.32
28.0,0.5,20.0,2.0,25.0,3.96
29.0,1.0,20.0,2.0,25.0,7.08
30.0,2.0,20.0,2.0,25.0,5.64
31.0,3.0,20.0,2.0,25.0,5.04
32.0,5.0,20.0,2.0,25.0,5.28
33.0,10.0,20.0,2.0,25.0,5.16
34.0,20.0,20.0,2.0,25.0,5.88
35.0,40.0,20.0,2.0,25.0,3.56
36.0,0.0,20.0,2.0,25.0,6.36
37.0,0.5,20.0,2.0,25.0,6.32
38.0,1.0,20.0,2.0,25.0,5.28
39.0,2.0,20.0,2.0,25.0,6.92
40.0,3.0,20.0,2.0,25.0,7.28
41.0,5.0,20.0,2.0,25.0,4.24
42.0,10.0,20.0,2.0,25.0,3.72
43.0,20.0,20.0,2.0,25.0,3.96
44.0,40.0,20.0,2.0,25.0,4.92
45.0,0.0,20.0,2.0,25.0,7.0
46.0,0.5,20.0,2.0,25.0,6.24
47.0,1.0,20.0,2.0,25.0,6.76
48.0,2.0,20.0,2.0,25.0,6.2
49.0,3.0,20.0,2.0,25.0,6.44
50.0,5.0,20.0,2.0,25.0,6.08
51.0,10.0,20.0,2.0,25.0,4.96
52.0,20.0,20.0,2.0,25.0,4.16
53.0,40.0,20.0,2.0,25.0,3.64
54.0,0.0,20.0,2.0,25.0,6.8
55.0,0.5,20.0,2.0,25.0,5.8
56.0,1.0,20.0,2.0,25.0,5.52
57.0,2.0,20.0,2.0,25.0,4.32
58.0,3.0,20.0,2.0,25.0,6.8
59.0,5.0,20.0,2.0,25.0,5.6
60.0,10.0,20.0,2.0,25.0,6.08
61.0,20.0,20.0,2.0,25.0,3.72
62.0,40.0,20.0,2.0,25.0,4.12
63.0,0.0,20.0,2.0,25.0,6.56
64.0,0.5,20.0,2.0,25.0,6.4
65.0,1.0,20.0,2.0,25.0,6.16
66.0,2.0,20.0,2.0,25.0,7.04
67.0,3.0,20.0,2.0,25.0,5.28
68.0,5.0,20.0,2.0,25.0,4.08
69.0,10.0,20.0,2.0,25.0,4.68
70.0,20.0,20.0,2.0,25.0,3.64
71.0,40.0,20.0,2.0,25.0,3.64
72.0,0.0,20.0,2.0,25.0,4.36
73.0,0.5,20.0,2.0,25.0,5.96
74.0,1.0,20.0,2.0,25.0,6.68
75.0,2.0,20.0,2.0,25.0,4.32
76.0,3.0,20.0,2.0,25.0,6.08
77.0,5.0,20.0,2.0,25.0,4.8
78.0,10.0,20.0,2.0,25.0,4.72
79.0,20.0,20.0,2.0,25.0,3.64
80.0,40.0,20.0,2.0,25.0,4.16
81.0,0.0,20.0,2.0,25.0,4.36
82.0,0.5,20.0,2.0,25.0,7.0
83.0,1.0,20.0,2.0,25.0,6.0
84.0,2.0,20.0,2.0,25.0,7.04
85.0,3.0,20.0,2.0,25.0,5.12
86.0,5.0,20.0,2.0,25.0,4.16
87.0,10.0,20.0,2.0,25.0,3.68
88.0,20.0,20.0,2.0,25.0,4.0
89.0,40.0,20.0,2.0,25.0,3.72
90.0,0.0,20.0,2.0,25.0,6.44
91.0,0.5,20.0,2.0,25.0,6.48
92.0,1.0,20.0,2.0,25.0,6.68
93.0,2.0,20.0,2.0,25.0,5.88
94.0,3.0,20.0,2.0,25.0,5.0
95.0,5.0,20.0,2.0,25.0,4.52
96.0,10.0,20.0,2.0,25.0,5.32
97.0,20.0,20.0,2.0,25.0,3.56
98.0,40.0,20.0,2.0,25.0,4.84
99.0,0.0,20.0,2.0,25.0,5.64
100.0,0.5,20.0,2.0,25.0,6.2
101.0,1.0,20.0,2.0,25.0,6.68
102.0,2.0,20.0,2.0,25.0,6.72
103.0,3.0,20.0,2.0,25.0,6.64
104.0,5.0,20.0,2.0,25.0,6.36
105.0,10.0,20.0,2.0,25.0,6.44
106.0,20.0,20.0,2.0,25.0,4.08
107.0,40.0,20.0,2.0,25.0,3.68
108.0,0.0,20.0,2.0,25.0,6.0
109.0,0.5,20.0,2.0,25.0,6.16
110.0,1.0,20.0,2.0,25.0,6.44
111.0,2.0,20.0,2.0,25.0,6.56
112.0,3.0,20.0,2.0,25.0,7.36
113.0,5.0,20.0,2.0,25.0,3.76
114.0,10.0,20.0,2.0,25.0,5.76
115.0,20.0,20.0,2.0,25.0,4.52
116.0,40.0,20.0,2.0,25.0,3.72
117.0,0.0,20.0,2.0,25.0,6.68
118.0,0.5,20.0,2.0,25.0,6.32
119.0,1.0,20.0,2.0,25.0,4.64
120.0,2.0,20.0,2.0,25.0,6.2
121.0,3.0,20.0,2.0,25.0,6.56
122.0,5.0,20.0,2.0,25.0,3.92
123.0,10.0,20.0,2.0,25.0,4.04
124.0,20.0,20.0,2.0,25.0,3.76
