Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,25.0,1.12
1.0,0.5,20.0,2.0,25.0,1.12
2.0,1.0,20.0,2.0,25.0,1.12
3.0,2.0,20.0,2.0,25.0,1.12
4.0,3.0,20.0,2.0,25.0,1.12
5.0,5.0,20.0,2.0,25.0,1.12
6.0,10.0,20.0,2.0,25.0,1.12
7.0,20.0,20.0,2.0,25.0,1.08
8.0,40.0,20.0,2.0,25.0,1.12
9.0,0.0,20.0,2.0,25.0,1.12
10.0,0.5,20.0,2.0,25.0,1.12
11.0,1.0,20.0,2.0,25.0,1.12
12.0,2.0,20.0,2.0,25.0,1.12
13.0,3.0,20.0,2.0,25.0,1.12
14.0,5.0,20.0,2.0,25.0,1.12
15.0,10.0,20.0,2.0,25.0,1.08
16.0,20.0,20.0,2.0,25.0,1.12
17.0,40.0,20.0,2.0,25.0,1.12
18.0,0.0,20.0,2.0,25.0,1.12
19.0,0.5,20.0,2.0,25.0,1.12
20.0,1.0,20.0,2.0,25.0,1.12
21.0,2.0,20.0,2.0,25.0,1.12
22.0,3.0,20.0,2.0,25.0,1.12
23.0,5.0,20.0,2.0,25.0,1.12
24.0,10.0,20.0,2.0,25.0,1.08
25.0,20.0,20.0,2.0,25.0,1.08
26.0,40.0,20.0,2.0,25.0,1.12
27.0,0.0,20.0,2.0,25.0,1.12
28.0,0.5,20.0,2.0,25.0,1.12
29.0,1.0,20.0,2.0,25.0,1.12
30.0,2.0,20.0,2.0,25.0,1.12
31.0,3.0,20.0,2.0,25.0,1.12
32.0,5.0,20.0,2.0,25.0,1.12
33.0,10.0,20.0,2.0,25.0,1.12
34.0,20.0,20.0,2.0,25.0,1.12
35.0,40.0,20.0,2.0,25.0,1.08
36.0,0.0,20.0,2.0,25.0,1.12
37.0,0.5,20.0,2.0,25.0,1.12
38.0,1.0,20.0,2.0,25.0,1.12
39.0,2.0,20.0,2.0,25.0,1.12
40.0,3.0,20.0,2.0,25.0,1.12
41.0,5.0,20.0,2.0,25.0,1.12
42.0,10.0,20.0,2.0,25.0,1.08
43.0,20.0,20.0,2.0,25.0,1.08
44.0,40.0,20.0,2.0,25.0,1.12
45.0,0.0,20.0,2.0,25.0,1.12
46.0,0.5,20.0,2.0,25.0,1.12
47.0,1.0,20.0,2.0,25.0,1.12
48.0,2.0,20.0,2.0,25.0,1.12
49.0,3.0,20.0,2.0,25.0,1.12
50.0,5.0,20.0,2.0,25.0,1.12
51.0,10.0,20.0,2.0,25.0,1.12
52.0,20.0,20.0,2.0,25.0,1.08
53.0,40.0,20.0,2.0,25.0,1.12
54.0,0.0,20.0,2.0,25.0,1.12
55.0,0.5,20.0,2.0,25.0,1.12
56.0,1.0,20.0,2.0,25.0,1.12
57.0,2.0,20.0,2.0,25.0,1.12
58.0,3.0,20.0,2.0,25.0,1.12
