Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,2.0,25.0,6.7894735
1.0,0.5,20.0,2.0,25.0,6.763158
2.0,1.0,20.0,2.0,25.0,4.611111
3.0,2.0,20.0,2.0,25.0,6.868421
4.0,3.0,20.0,2.0,25.0,6.4722223
5.0,5.0,20.0,2.0,25.0,3.6666667
6.0,10.0,20.0,2.0,25.0,6.138889
7.0,20.0,20.0,2.0,25.0,4.9459457
8.0,40.0,20.0,2.0,25.0,17.927927
9.0,0.0,20.0,2.0,25.0,6.8157897
10.0,0.5,20.0,2.0,25.0,6.763158
11.0,1.0,20.0,2.0,25.0,6.5135136
12.0,2.0,20.0,2.0,25.0,4.677419
13.0,3.0,20.0,2.0,25.0,6.7105265
14.0,5.0,20.0,2.0,25.0,6.6842103
15.0,10.0,20.0,2.0,25.0,7.0444446
16.0,20.0,20.0,2.0,25.0,6.9
17.0,40.0,20.0,2.0,25.0,19.713179
18.0,0.0,20.0,2.0,25.0,6.631579
19.0,0.5,20.0,2.0,25.0,6.948718
20.0,1.0,20.0,2.0,25.0,7.4102564
21.0,2.0,20.0,2.0,25.0,6.736842
22.0,3.0,20.0,2.0,25.0,6.4054055
23.0,5.0,20.0,2.0,25.0,6.763158
24.0,10.0,20.0,2.0,25.0,6.5789475
25.0,20.0,20.0,2.0,25.0,8.035088
26.0,40.0,20.0,2.0,25.0,8.672728
27.0,0.0,20.0,2.0,25.0,6.736842
28.0,0.5,20.0,2.0,25.0,3.59375
29.0,1.0,20.0,2.0,25.0,6.8157897
30.0,2.0,20.0,2.0,25.0,5.9142857
31.0,3.0,20.0,2.0,25.0,4.387097
32.0,5.0,20.0,2.0,25.0,6.6944447
33.0,10.0,20.0,2.0,25.0,7.25
34.0,20.0,20.0,2.0,25.0,6.8974357
35.0,40.0,20.0,2.0,25.0,10.561403
36.0,0.0,20.0,2.0,25.0,6.5
37.0,0.5,20.0,2.0,25.0,6.1621623
38.0,1.0,20.0,2.0,25.0,6.631579
39.0,2.0,20.0,2.0,25.0,6.7105265
40.0,3.0,20.0,2.0,25.0,7.1025643
41.0,5.0,20.0,2.0,25.0,3.7878788
42.0,10.0,20.0,2.0,25.0,4.3421054
43.0,20.0,20.0,2.0,25.0,4.4210525
44.0,40.0,20.0,2.0,25.0,9.032258
45.0,0.0,20.0,2.0,25.0,6.7105265
46.0,0.5,20.0,2.0,25.0,6.1621623
47.0,1.0,20.0,2.0,25.0,6.5526314
48.0,2.0,20.0,2.0,25.0,6.5526314
49.0,3.0,20.0,2.0,25.0,6.7894735
50.0,5.0,20.0,2.0,25.0,7.95
51.0,10.0,20.0,2.0,25.0,5.4857144
52.0,20.0,20.0,2.0,25.0,8.9375
53.0,40.0,20.0,2.0,25.0,18.2809
54.0,0.0,20.0,2.0,25.0,6.6842103
55.0,0.5,20.0,2.0,25.0,6.974359
56.0,1.0,20.0,2.0,25.0,5.3939395
57.0,2.0,20.0,2.0,25.0,4.709677
58.0,3.0,20.0,2.0,25.0,7.230769
59.0,5.0,20.0,2.0,25.0,6.0882354
60.0,10.0,20.0,2.0,25.0,7.775
61.0,20.0,20.0,2.0,25.0,5.9210525
62.0,40.0,20.0,2.0,25.0,11.568966
63.0,0.0,20.0,2.0,25.0,6.4210525
64.0,0.5,20.0,2.0,25.0,7.0
65.0,1.0,20.0,2.0,25.0,7.0
66.0,2.0,20.0,2.0,25.0,6.8974357
67.0,3.0,20.0,2.0,25.0,5.0
68.0,5.0,20.0,2.0,25.0,3.8285713
69.0,10.0,20.0,2.0,25.0,4.675
70.0,20.0,20.0,2.0,25.0,5.4042554
71.0,40.0,20.0,2.0,25.0,16.22807
72.0,0.0,20.0,2.0,25.0,6.7105265
73.0,0.5,20.0,2.0,25.0,6.763158
74.0,1.0,20.0,2.0,25.0,6.5
75.0,2.0,20.0,2.0,25.0,3.8484848
