Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,0.0,2.0,100.0,29.389936
1.0,0.5,0.0,2.0,100.0,15.5801525
2.0,1.0,0.0,2.0,100.0,27.231293
3.0,2.0,0.0,2.0,100.0,28.201258
4.0,3.0,0.0,2.0,100.0,16.066177
5.0,5.0,0.0,2.0,100.0,14.741667
6.0,10.0,0.0,2.0,100.0,17.99315
7.0,20.0,0.0,2.0,100.0,28.558685
8.0,40.0,0.0,2.0,100.0,27.03211
9.0,49.0,0.0,2.0,100.0,34.37879
10.0,0.0,0.0,2.0,100.0,29.81761
11.0,0.5,0.0,2.0,100.0,29.607595
12.0,1.0,0.0,2.0,100.0,14.354838
13.0,2.0,0.0,2.0,100.0,14.524475
14.0,3.0,0.0,2.0,100.0,24.962732
15.0,5.0,0.0,2.0,100.0,11.088
16.0,10.0,0.0,2.0,100.0,26.462687
17.0,20.0,0.0,2.0,100.0,28.01646
18.0,40.0,0.0,2.0,100.0,20.145065
19.0,49.0,0.0,2.0,100.0,25.267822
20.0,0.0,0.0,2.0,100.0,29.625
21.0,0.5,0.0,2.0,100.0,26.041958
22.0,1.0,0.0,2.0,100.0,15.0737705
23.0,2.0,0.0,2.0,100.0,22.38961
24.0,3.0,0.0,2.0,100.0,10.701612
25.0,5.0,0.0,2.0,100.0,19.441559
26.0,10.0,0.0,2.0,100.0,19.030674
27.0,20.0,0.0,2.0,100.0,28.474104
28.0,40.0,0.0,2.0,100.0,38.75
29.0,49.0,0.0,2.0,100.0,30.237352
30.0,0.0,0.0,2.0,100.0,28.292994
31.0,0.5,0.0,2.0,100.0,27.935898
32.0,1.0,0.0,2.0,100.0,29.333334
33.0,2.0,0.0,2.0,100.0,20.726562
34.0,3.0,0.0,2.0,100.0,13.986207
35.0,5.0,0.0,2.0,100.0,13.714286
36.0,10.0,0.0,2.0,100.0,10.649254
37.0,20.0,0.0,2.0,100.0,28.678392
38.0,40.0,0.0,2.0,100.0,19.424603
39.0,49.0,0.0,2.0,100.0,41.55683
40.0,0.0,0.0,2.0,100.0,29.215189
41.0,0.5,0.0,2.0,100.0,21.032259
42.0,1.0,0.0,2.0,100.0,19.766666
43.0,2.0,0.0,2.0,100.0,21.06383
44.0,3.0,0.0,2.0,100.0,12.984252
45.0,5.0,0.0,2.0,100.0,16.422535
46.0,10.0,0.0,2.0,100.0,23.096045
47.0,20.0,0.0,2.0,100.0,23.075556
48.0,40.0,0.0,2.0,100.0,27.615156
49.0,49.0,0.0,2.0,100.0,24.994297
50.0,0.0,0.0,2.0,100.0,29.327044
51.0,0.5,0.0,2.0,100.0,29.316456
52.0,1.0,0.0,2.0,100.0,15.16
53.0,2.0,0.0,2.0,100.0,22.568628
54.0,3.0,0.0,2.0,100.0,21.729033
55.0,5.0,0.0,2.0,100.0,10.693548
56.0,10.0,0.0,2.0,100.0,21.853659
57.0,20.0,0.0,2.0,100.0,23.63889
58.0,40.0,0.0,2.0,100.0,43.51795
59.0,49.0,0.0,2.0,100.0,28.351347
60.0,0.0,0.0,2.0,100.0,28.66242
61.0,0.5,0.0,2.0,100.0,27.398735
62.0,1.0,0.0,2.0,100.0,14.124087
63.0,2.0,0.0,2.0,100.0,15.888889
64.0,3.0,0.0,2.0,100.0,29.304348
65.0,5.0,0.0,2.0,100.0,18.119719
66.0,10.0,0.0,2.0,100.0,23.139666
67.0,20.0,0.0,2.0,100.0,27.919283
68.0,40.0,0.0,2.0,100.0,27.854736
69.0,49.0,0.0,2.0,100.0,22.953655
70.0,0.0,0.0,2.0,100.0,28.67516
71.0,0.5,0.0,2.0,100.0,29.8
72.0,1.0,0.0,2.0,100.0,28.401274
73.0,2.0,0.0,2.0,100.0,15.358209
74.0,3.0,0.0,2.0,100.0,17.366667
75.0,5.0,0.0,2.0,100.0,12.098485
76.0,10.0,0.0,2.0,100.0,14.79114
77.0,20.0,0.0,2.0,100.0,23.66827
78.0,40.0,0.0,2.0,100.0,29.749142
79.0,49.0,0.0,2.0,100.0,35.706585
80.0,0.0,0.0,2.0,100.0,52.295963
81.0,0.5,0.0,2.0,100.0,29.196203
82.0,1.0,0.0,2.0,100.0,29.587097
83.0,2.0,0.0,2.0,100.0,15.119403
84.0,3.0,0.0,2.0,100.0,11.325203
85.0,5.0,0.0,2.0,100.0,18.496689
86.0,10.0,0.0,2.0,100.0,21.347826
87.0,20.0,0.0,2.0,100.0,34.083332
88.0,40.0,0.0,2.0,100.0,22.019705
89.0,49.0,0.0,2.0,100.0,46.413734
90.0,0.0,0.0,2.0,100.0,29.99375
91.0,0.5,0.0,2.0,100.0,22.917294
92.0,1.0,0.0,2.0,100.0,15.16
93.0,2.0,0.0,2.0,100.0,18.253246
94.0,3.0,0.0,2.0,100.0,11.8
95.0,5.0,0.0,2.0,100.0,21.563637
96.0,10.0,0.0,2.0,100.0,29.834253
97.0,20.0,0.0,2.0,100.0,23.824741
98.0,40.0,0.0,2.0,100.0,29.868813
99.0,49.0,0.0,2.0,100.0,24.921492
100.0,0.0,0.0,2.0,100.0,29.177216
101.0,0.5,0.0,2.0,100.0,27.882353
102.0,1.0,0.0,2.0,100.0,26.17361
103.0,2.0,0.0,2.0,100.0,15.286765
104.0,3.0,0.0,2.0,100.0,16.891891
105.0,5.0,0.0,2.0,100.0,16.401234
106.0,10.0,0.0,2.0,100.0,18.556292
107.0,20.0,0.0,2.0,100.0,24.310043
108.0,40.0,0.0,2.0,100.0,23.393234
109.0,49.0,0.0,2.0,100.0,45.727505
110.0,0.0,0.0,2.0,100.0,29.496855
111.0,0.5,0.0,2.0,100.0,27.333334
112.0,1.0,0.0,2.0,100.0,25.404255
113.0,2.0,0.0,2.0,100.0,12.666667
114.0,3.0,0.0,2.0,100.0,17.4183
115.0,5.0,0.0,2.0,100.0,14.318519
116.0,10.0,0.0,2.0,100.0,16.646708
117.0,20.0,0.0,2.0,100.0,37.034042
118.0,40.0,0.0,2.0,100.0,25.8682
119.0,49.0,0.0,2.0,100.0,45.488754
120.0,0.0,0.0,2.0,100.0,28.898735
121.0,0.5,0.0,2.0,100.0,28.141026
122.0,1.0,0.0,2.0,100.0,11.381356
123.0,2.0,0.0,2.0,100.0,10.633588
124.0,3.0,0.0,2.0,100.0,24.255474
125.0,5.0,0.0,2.0,100.0,21.317648
126.0,10.0,0.0,2.0,100.0,24.75238
127.0,20.0,0.0,2.0,100.0,22.6722
128.0,40.0,0.0,2.0,100.0,30.205624
129.0,49.0,0.0,2.0,100.0,49.604496
130.0,0.0,0.0,2.0,100.0,29.183544
131.0,0.5,0.0,2.0,100.0,29.465408
132.0,1.0,0.0,2.0,100.0,22.358025
133.0,2.0,0.0,2.0,100.0,18.27673
134.0,3.0,0.0,2.0,100.0,13.732824
135.0,5.0,0.0,2.0,100.0,10.632
136.0,10.0,0.0,2.0,100.0,15.636364
137.0,20.0,0.0,2.0,100.0,24.376
138.0,40.0,0.0,2.0,100.0,30.645021
139.0,49.0,0.0,2.0,100.0,30.498592
140.0,0.0,0.0,2.0,100.0,28.879747
141.0,0.5,0.0,2.0,100.0,26.054422
142.0,1.0,0.0,2.0,100.0,21.38168
143.0,2.0,0.0,2.0,100.0,23.697369
144.0,3.0,0.0,2.0,100.0,17.537931
145.0,5.0,0.0,2.0,100.0,11.548148
146.0,10.0,0.0,2.0,100.0,19.730158
147.0,20.0,0.0,2.0,100.0,18.0
148.0,40.0,0.0,2.0,100.0,20.717756
149.0,49.0,0.0,2.0,100.0,21.382269
150.0,0.0,0.0,2.0,100.0,30.0875
151.0,0.5,0.0,2.0,100.0,15.864
152.0,1.0,0.0,2.0,100.0,30.229815
153.0,2.0,0.0,2.0,100.0,10.129032
154.0,3.0,0.0,2.0,100.0,16.292517
155.0,5.0,0.0,2.0,100.0,13.574325
156.0,10.0,0.0,2.0,100.0,19.603352
157.0,20.0,0.0,2.0,100.0,19.099056
158.0,40.0,0.0,2.0,100.0,37.080826
159.0,49.0,0.0,2.0,100.0,38.379803
160.0,0.0,0.0,2.0,100.0,28.98734
161.0,0.5,0.0,2.0,100.0,29.405064
162.0,1.0,0.0,2.0,100.0,29.08228
163.0,2.0,0.0,2.0,100.0,24.651316
164.0,3.0,0.0,2.0,100.0,18.39161
165.0,5.0,0.0,2.0,100.0,17.536144
166.0,10.0,0.0,2.0,100.0,27.398964
167.0,20.0,0.0,2.0,100.0,22.88843
168.0,40.0,0.0,2.0,100.0,30.528017
169.0,49.0,0.0,2.0,100.0,25.103434
170.0,0.0,0.0,2.0,100.0,28.210192
171.0,0.5,0.0,2.0,100.0,50.064518
172.0,1.0,0.0,2.0,100.0,29.1519
173.0,2.0,0.0,2.0,100.0,18.307692
174.0,3.0,0.0,2.0,100.0,21.215279
175.0,5.0,0.0,2.0,100.0,15.513158
176.0,10.0,0.0,2.0,100.0,22.213484
177.0,20.0,0.0,2.0,100.0,30.144104
178.0,40.0,0.0,2.0,100.0,22.126387
179.0,49.0,0.0,2.0,100.0,37.35149
180.0,0.0,0.0,2.0,100.0,28.63924
181.0,0.5,0.0,2.0,100.0,28.159235
182.0,1.0,0.0,2.0,100.0,14.960629
183.0,2.0,0.0,2.0,100.0,24.126583
184.0,3.0,0.0,2.0,100.0,13.6214285
185.0,5.0,0.0,2.0,100.0,10.620689
186.0,10.0,0.0,2.0,100.0,20.721212
187.0,20.0,0.0,2.0,100.0,21.927536
188.0,40.0,0.0,2.0,100.0,17.0
189.0,49.0,0.0,2.0,100.0,42.878387
190.0,0.0,0.0,2.0,100.0,29.842768
191.0,0.5,0.0,2.0,100.0,28.613924
192.0,1.0,0.0,2.0,100.0,22.99359
193.0,2.0,0.0,2.0,100.0,15.601503
194.0,3.0,0.0,2.0,100.0,12.496296
195.0,5.0,0.0,2.0,100.0,15.847826
196.0,10.0,0.0,2.0,100.0,16.396105
197.0,20.0,0.0,2.0,100.0,22.185629
198.0,40.0,0.0,2.0,100.0,31.450407
199.0,49.0,0.0,2.0,100.0,29.833029
200.0,0.0,0.0,2.0,100.0,29.20886
201.0,0.5,0.0,2.0,100.0,29.259493
202.0,1.0,0.0,2.0,100.0,21.875969
203.0,2.0,0.0,2.0,100.0,18.109375
204.0,3.0,0.0,2.0,100.0,19.172186
205.0,5.0,0.0,2.0,100.0,13.465754
206.0,10.0,0.0,2.0,100.0,26.07104
207.0,20.0,0.0,2.0,100.0,18.58763
208.0,40.0,0.0,2.0,100.0,39.59612
209.0,49.0,0.0,2.0,100.0,31.648552
210.0,0.0,0.0,2.0,100.0,28.63924
211.0,0.5,0.0,2.0,100.0,38.100628
212.0,1.0,0.0,2.0,100.0,27.474026
213.0,2.0,0.0,2.0,100.0,16.0
214.0,3.0,0.0,2.0,100.0,13.715447
215.0,5.0,0.0,2.0,100.0,16.694445
216.0,10.0,0.0,2.0,100.0,23.682352
217.0,20.0,0.0,2.0,100.0,17.811518
218.0,40.0,0.0,2.0,100.0,19.400328
219.0,49.0,0.0,2.0,100.0,28.454576
220.0,0.0,0.0,2.0,100.0,28.942675
221.0,0.5,0.0,2.0,100.0,16.563492
222.0,1.0,0.0,2.0,100.0,13.405405
223.0,2.0,0.0,2.0,100.0,14.545455
224.0,3.0,0.0,2.0,100.0,13.865079
225.0,5.0,0.0,2.0,100.0,17.491526
226.0,10.0,0.0,2.0,100.0,18.297297
227.0,20.0,0.0,2.0,100.0,24.269842
228.0,40.0,0.0,2.0,100.0,22.612246
229.0,49.0,0.0,2.0,100.0,28.151722
230.0,0.0,0.0,2.0,100.0,29.050632
231.0,0.5,0.0,2.0,100.0,29.63522
232.0,1.0,0.0,2.0,100.0,29.421383
233.0,2.0,0.0,2.0,100.0,25.38889
234.0,3.0,0.0,2.0,100.0,17.361538
235.0,5.0,0.0,2.0,100.0,16.431654
236.0,10.0,0.0,2.0,100.0,16.136906
237.0,20.0,0.0,2.0,100.0,26.859156
238.0,40.0,0.0,2.0,100.0,21.990244
239.0,49.0,0.0,2.0,100.0,25.316643
240.0,0.0,0.0,2.0,100.0,28.535032
241.0,0.5,0.0,2.0,100.0,17.333334
242.0,1.0,0.0,2.0,100.0,27.194632
243.0,2.0,0.0,2.0,100.0,19.921686
244.0,3.0,0.0,2.0,100.0,14.876713
245.0,5.0,0.0,2.0,100.0,17.358824
246.0,10.0,0.0,2.0,100.0,8.755905
247.0,20.0,0.0,2.0,100.0,20.363207
248.0,40.0,0.0,2.0,100.0,28.492228
249.0,49.0,0.0,2.0,100.0,26.940441
250.0,0.0,0.0,2.0,100.0,29.465408
251.0,0.5,0.0,2.0,100.0,29.333334
252.0,1.0,0.0,2.0,100.0,28.681528
253.0,2.0,0.0,2.0,100.0,18.694216
254.0,3.0,0.0,2.0,100.0,14.132353
255.0,5.0,0.0,2.0,100.0,12.253333
256.0,10.0,0.0,2.0,100.0,21.28409
257.0,20.0,0.0,2.0,100.0,27.262627
258.0,40.0,0.0,2.0,100.0,35.43408
259.0,49.0,0.0,2.0,100.0,27.065033
260.0,0.0,0.0,2.0,100.0,30.285715
261.0,0.5,0.0,2.0,100.0,30.26708
262.0,1.0,0.0,2.0,100.0,29.207546
263.0,2.0,0.0,2.0,100.0,20.280575
264.0,3.0,0.0,2.0,100.0,18.156029
265.0,5.0,0.0,2.0,100.0,11.3309355
266.0,10.0,0.0,2.0,100.0,15.345589
267.0,20.0,0.0,2.0,100.0,24.646067
268.0,40.0,0.0,2.0,100.0,37.233788
269.0,49.0,0.0,2.0,100.0,29.127327
270.0,0.0,0.0,2.0,100.0,34.530727
271.0,0.5,0.0,2.0,100.0,15.532258
272.0,1.0,0.0,2.0,100.0,22.5
273.0,2.0,0.0,2.0,100.0,16.2406
274.0,3.0,0.0,2.0,100.0,17.453125
275.0,5.0,0.0,2.0,100.0,19.075472
276.0,10.0,0.0,2.0,100.0,20.018293
277.0,20.0,0.0,2.0,100.0,27.99052
278.0,40.0,0.0,2.0,100.0,29.166666
279.0,49.0,0.0,2.0,100.0,39.778625
280.0,0.0,0.0,2.0,100.0,29.572327
281.0,0.5,0.0,2.0,100.0,29.425
282.0,1.0,0.0,2.0,100.0,18.175
283.0,2.0,0.0,2.0,100.0,28.99375
284.0,3.0,0.0,2.0,100.0,16.601694
285.0,5.0,0.0,2.0,100.0,13.212766
286.0,10.0,0.0,2.0,100.0,14.745098
287.0,20.0,0.0,2.0,100.0,20.25
288.0,40.0,0.0,2.0,100.0,29.283146
289.0,49.0,0.0,2.0,100.0,28.592728
290.0,0.0,0.0,2.0,100.0,29.53125
291.0,0.5,0.0,2.0,100.0,18.666666
292.0,1.0,0.0,2.0,100.0,20.434483
293.0,2.0,0.0,2.0,100.0,22.371622
294.0,3.0,0.0,2.0,100.0,14.748032
295.0,5.0,0.0,2.0,100.0,12.847826
296.0,10.0,0.0,2.0,100.0,20.512564
297.0,20.0,0.0,2.0,100.0,28.195238
298.0,40.0,0.0,2.0,100.0,19.302084
299.0,49.0,0.0,2.0,100.0,40.280262
300.0,0.0,0.0,2.0,100.0,29.6625
301.0,0.5,0.0,2.0,100.0,19.138212
302.0,1.0,0.0,2.0,100.0,24.023392
303.0,2.0,0.0,2.0,100.0,22.802631
304.0,3.0,0.0,2.0,100.0,10.912699
305.0,5.0,0.0,2.0,100.0,17.346153
306.0,10.0,0.0,2.0,100.0,24.14045
307.0,20.0,0.0,2.0,100.0,28.586872
308.0,40.0,0.0,2.0,100.0,18.444664
309.0,49.0,0.0,2.0,100.0,25.79516
310.0,0.0,0.0,2.0,100.0,29.584906
311.0,0.5,0.0,2.0,100.0,18.439024
312.0,1.0,0.0,2.0,100.0,20.322834
313.0,2.0,0.0,2.0,100.0,15.269841
314.0,3.0,0.0,2.0,100.0,19.013794
315.0,5.0,0.0,2.0,100.0,14.0078125
316.0,10.0,0.0,2.0,100.0,16.28125
317.0,20.0,0.0,2.0,100.0,16.209303
318.0,40.0,0.0,2.0,100.0,28.006172
319.0,49.0,0.0,2.0,100.0,30.210688
320.0,0.0,0.0,2.0,100.0,28.821655
321.0,0.5,0.0,2.0,100.0,14.5
322.0,1.0,0.0,2.0,100.0,15.223141
323.0,2.0,0.0,2.0,100.0,34.098267
324.0,3.0,0.0,2.0,100.0,18.639345
325.0,5.0,0.0,2.0,100.0,18.343948
326.0,10.0,0.0,2.0,100.0,10.532374
327.0,20.0,0.0,2.0,100.0,39.958492
328.0,40.0,0.0,2.0,100.0,22.12882
329.0,49.0,0.0,2.0,100.0,33.556698
330.0,0.0,0.0,2.0,100.0,28.598726
331.0,0.5,0.0,2.0,100.0,23.746376
332.0,1.0,0.0,2.0,100.0,18.860655
333.0,2.0,0.0,2.0,100.0,30.025158
334.0,3.0,0.0,2.0,100.0,11.368
335.0,5.0,0.0,2.0,100.0,17.654089
336.0,10.0,0.0,2.0,100.0,12.298014
337.0,20.0,0.0,2.0,100.0,20.238579
338.0,40.0,0.0,2.0,100.0,29.749569
339.0,49.0,0.0,2.0,100.0,33.866093
340.0,0.0,0.0,2.0,100.0,30.509317
341.0,0.5,0.0,2.0,100.0,25.820513
342.0,1.0,0.0,2.0,100.0,15.596491
343.0,2.0,0.0,2.0,100.0,18.48819
344.0,3.0,0.0,2.0,100.0,22.876812
345.0,5.0,0.0,2.0,100.0,15.126667
346.0,10.0,0.0,2.0,100.0,24.420765
347.0,20.0,0.0,2.0,100.0,24.0
348.0,40.0,0.0,2.0,100.0,33.805492
349.0,49.0,0.0,2.0,100.0,22.732897
350.0,0.0,0.0,2.0,100.0,29.352201
351.0,0.5,0.0,2.0,100.0,14.861789
352.0,1.0,0.0,2.0,100.0,16.966667
353.0,2.0,0.0,2.0,100.0,19.834587
354.0,3.0,0.0,2.0,100.0,18.18
355.0,5.0,0.0,2.0,100.0,13.3046875
356.0,10.0,0.0,2.0,100.0,25.581282
357.0,20.0,0.0,2.0,100.0,31.262295
358.0,40.0,0.0,2.0,100.0,17.846153
359.0,49.0,0.0,2.0,100.0,33.08809
360.0,0.0,0.0,2.0,100.0,56.08051
361.0,0.5,0.0,2.0,100.0,20.312
362.0,1.0,0.0,2.0,100.0,27.801283
363.0,2.0,0.0,2.0,100.0,15.1605835
364.0,3.0,0.0,2.0,100.0,19.291044
365.0,5.0,0.0,2.0,100.0,15.427536
366.0,10.0,0.0,2.0,100.0,24.011494
367.0,20.0,0.0,2.0,100.0,24.972477
368.0,40.0,0.0,2.0,100.0,39.04701
369.0,49.0,0.0,2.0,100.0,48.126247
370.0,0.0,0.0,2.0,100.0,30.167702
371.0,0.5,0.0,2.0,100.0,15.883333
372.0,1.0,0.0,2.0,100.0,14.4375
373.0,2.0,0.0,2.0,100.0,26.052631
374.0,3.0,0.0,2.0,100.0,16.149254
375.0,5.0,0.0,2.0,100.0,16.708956
376.0,10.0,0.0,2.0,100.0,16.006622
377.0,20.0,0.0,2.0,100.0,31.799242
378.0,40.0,0.0,2.0,100.0,28.07819
379.0,49.0,0.0,2.0,100.0,28.739288
380.0,0.0,0.0,2.0,100.0,28.835443
381.0,0.5,0.0,2.0,100.0,28.727848
382.0,1.0,0.0,2.0,100.0,34.645714
383.0,2.0,0.0,2.0,100.0,11.816793
384.0,3.0,0.0,2.0,100.0,19.55862
385.0,5.0,0.0,2.0,100.0,12.311476
386.0,10.0,0.0,2.0,100.0,29.557142
387.0,20.0,0.0,2.0,100.0,28.075222
388.0,40.0,0.0,2.0,100.0,24.948315
389.0,49.0,0.0,2.0,100.0,37.035282
390.0,0.0,0.0,2.0,100.0,30.16875
391.0,0.5,0.0,2.0,100.0,29.132076
392.0,1.0,0.0,2.0,100.0,16.969465
393.0,2.0,0.0,2.0,100.0,13.118644
394.0,3.0,0.0,2.0,100.0,12.934426
395.0,5.0,0.0,2.0,100.0,16.82069
396.0,10.0,0.0,2.0,100.0,17.843575
397.0,20.0,0.0,2.0,100.0,24.46025
