Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,0.0,100.0,2.3644187
1.0,0.5,20.0,0.0,100.0,2.3001034
2.0,1.0,20.0,0.0,100.0,3.2971725
3.0,2.0,20.0,0.0,100.0,4.6081767
4.0,3.0,20.0,0.0,100.0,3.5093858
5.0,5.0,20.0,0.0,100.0,3.75414
6.0,10.0,20.0,0.0,100.0,3.8563383
7.0,20.0,20.0,0.0,100.0,3.419134
8.0,40.0,20.0,0.0,100.0,4.700557
9.0,49.0,20.0,0.0,100.0,3.9667737
10.0,0.0,20.0,0.0,100.0,3.3139791
11.0,0.5,20.0,0.0,100.0,2.8697202
12.0,1.0,20.0,0.0,100.0,2.5080822
13.0,2.0,20.0,0.0,100.0,2.725234
14.0,3.0,20.0,0.0,100.0,4.768154
15.0,5.0,20.0,0.0,100.0,3.8274174
16.0,10.0,20.0,0.0,100.0,2.913842
17.0,20.0,20.0,0.0,100.0,4.013763
18.0,40.0,20.0,0.0,100.0,3.4027853
19.0,49.0,20.0,0.0,100.0,3.9351358
20.0,0.0,20.0,0.0,100.0,3.4454818
21.0,0.5,20.0,0.0,100.0,2.2562084
22.0,1.0,20.0,0.0,100.0,2.5476413
23.0,2.0,20.0,0.0,100.0,3.9135392
24.0,3.0,20.0,0.0,100.0,2.3431766
25.0,5.0,20.0,0.0,100.0,3.2078776
26.0,10.0,20.0,0.0,100.0,2.3431766
27.0,20.0,20.0,0.0,100.0,4.879501
28.0,40.0,20.0,0.0,100.0,3.7229416
29.0,49.0,20.0,0.0,100.0,3.8128748
30.0,0.0,20.0,0.0,100.0,3.2462304
31.0,0.5,20.0,0.0,100.0,2.385472
32.0,1.0,20.0,0.0,100.0,2.1213202
33.0,2.0,20.0,0.0,100.0,3.6380346
34.0,3.0,20.0,0.0,100.0,3.38037
35.0,5.0,20.0,0.0,100.0,4.181542
36.0,10.0,20.0,0.0,100.0,3.3302367
37.0,20.0,20.0,0.0,100.0,4.3284287
38.0,40.0,20.0,0.0,100.0,3.2954962
39.0,49.0,20.0,0.0,100.0,3.7556975
40.0,0.0,20.0,0.0,100.0,2.2114422
41.0,0.5,20.0,0.0,100.0,2.1657507
42.0,1.0,20.0,0.0,100.0,2.0470653
43.0,2.0,20.0,0.0,100.0,3.0339212
44.0,3.0,20.0,0.0,100.0,3.2971723
45.0,5.0,20.0,0.0,100.0,3.709479
46.0,10.0,20.0,0.0,100.0,4.407596
47.0,20.0,20.0,0.0,100.0,2.4475448
48.0,40.0,20.0,0.0,100.0,2.353298
49.0,49.0,20.0,0.0,100.0,3.1129532
50.0,0.0,20.0,0.0,100.0,2.3644187
51.0,0.5,20.0,0.0,100.0,2.7185428
52.0,1.0,20.0,0.0,100.0,2.278262
53.0,2.0,20.0,0.0,100.0,2.5671923
54.0,3.0,20.0,0.0,100.0,2.2884827
55.0,5.0,20.0,0.0,100.0,3.6042302
56.0,10.0,20.0,0.0,100.0,4.3572116
57.0,20.0,20.0,0.0,100.0,3.9351356
58.0,40.0,20.0,0.0,100.0,3.419134
59.0,49.0,20.0,0.0,100.0,3.1241374
60.0,0.0,20.0,0.0,100.0,2.1887157
61.0,0.5,20.0,0.0,100.0,3.1595025
62.0,1.0,20.0,0.0,100.0,2.700088
63.0,2.0,20.0,0.0,100.0,3.6338243
64.0,3.0,20.0,0.0,100.0,2.9219878
65.0,5.0,20.0,0.0,100.0,3.0339212
66.0,10.0,20.0,0.0,100.0,4.284891
67.0,20.0,20.0,0.0,100.0,2.4909194
68.0,40.0,20.0,0.0,100.0,4.279695
69.0,49.0,20.0,0.0,100.0,5.721081
70.0,0.0,20.0,0.0,100.0,2.8914173
71.0,0.5,20.0,0.0,100.0,3.3638952
72.0,1.0,20.0,0.0,100.0,2.4230857
73.0,2.0,20.0,0.0,100.0,3.2971723
74.0,3.0,20.0,0.0,100.0,2.725234
75.0,5.0,20.0,0.0,100.0,3.297172
76.0,10.0,20.0,0.0,100.0,3.4615684
77.0,20.0,20.0,0.0,100.0,4.1364594
78.0,40.0,20.0,0.0,100.0,3.1418695
79.0,49.0,20.0,0.0,100.0,3.1289737
80.0,0.0,20.0,0.0,100.0,4.0255036
81.0,0.5,20.0,0.0,100.0,2.6192164
82.0,1.0,20.0,0.0,100.0,3.0703259
83.0,2.0,20.0,0.0,100.0,4.1612244
84.0,3.0,20.0,0.0,100.0,3.4619784
85.0,5.0,20.0,0.0,100.0,3.620814
86.0,10.0,20.0,0.0,100.0,4.299453
87.0,20.0,20.0,0.0,100.0,4.526641
88.0,40.0,20.0,0.0,100.0,2.9409392
89.0,49.0,20.0,0.0,100.0,2.5080822
90.0,0.0,20.0,0.0,100.0,3.2462306
91.0,0.5,20.0,0.0,100.0,4.151541
92.0,1.0,20.0,0.0,100.0,4.0853977
93.0,2.0,20.0,0.0,100.0,4.1665683
94.0,3.0,20.0,0.0,100.0,1.8490462
95.0,5.0,20.0,0.0,100.0,2.385472
96.0,10.0,20.0,0.0,100.0,2.527939
97.0,20.0,20.0,0.0,100.0,3.805955
98.0,40.0,20.0,0.0,100.0,3.870718
99.0,49.0,20.0,0.0,100.0,3.6944718
100.0,0.0,20.0,0.0,100.0,2.8837109
101.0,0.5,20.0,0.0,100.0,2.4324198
102.0,1.0,20.0,0.0,100.0,3.0242758
103.0,2.0,20.0,0.0,100.0,2.940939
104.0,3.0,20.0,0.0,100.0,2.2782617
105.0,5.0,20.0,0.0,100.0,3.1922529
106.0,10.0,20.0,0.0,100.0,5.136239
107.0,20.0,20.0,0.0,100.0,2.9648738
108.0,40.0,20.0,0.0,100.0,2.642434
109.0,49.0,20.0,0.0,100.0,3.313979
110.0,0.0,20.0,0.0,100.0,2.288483
111.0,0.5,20.0,0.0,100.0,3.0480282
