Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,0.0,100.0,6.9
1.0,0.5,20.0,0.0,100.0,6.89
2.0,1.0,20.0,0.0,100.0,6.9
3.0,2.0,20.0,0.0,100.0,7.07
4.0,3.0,20.0,0.0,100.0,7.03
5.0,5.0,20.0,0.0,100.0,6.92
6.0,10.0,20.0,0.0,100.0,7.43
7.0,20.0,20.0,0.0,100.0,7.27
8.0,40.0,20.0,0.0,100.0,7.57
9.0,49.0,20.0,0.0,100.0,7.72
10.0,0.0,20.0,0.0,100.0,6.89
11.0,0.5,20.0,0.0,100.0,6.92
12.0,1.0,20.0,0.0,100.0,7.01
13.0,2.0,20.0,0.0,100.0,7.03
14.0,3.0,20.0,0.0,100.0,7.09
15.0,5.0,20.0,0.0,100.0,7.16
16.0,10.0,20.0,0.0,100.0,7.05
17.0,20.0,20.0,0.0,100.0,7.79
18.0,40.0,20.0,0.0,100.0,7.55
19.0,49.0,20.0,0.0,100.0,8.56
20.0,0.0,20.0,0.0,100.0,6.87
21.0,0.5,20.0,0.0,100.0,6.89
22.0,1.0,20.0,0.0,100.0,6.9
23.0,2.0,20.0,0.0,100.0,7.03
24.0,3.0,20.0,0.0,100.0,6.87
25.0,5.0,20.0,0.0,100.0,7.05
26.0,10.0,20.0,0.0,100.0,7.48
27.0,20.0,20.0,0.0,100.0,7.43
28.0,40.0,20.0,0.0,100.0,7.55
29.0,49.0,20.0,0.0,100.0,7.77
30.0,0.0,20.0,0.0,100.0,6.91
31.0,0.5,20.0,0.0,100.0,6.9
32.0,1.0,20.0,0.0,100.0,7.06
33.0,2.0,20.0,0.0,100.0,6.96
34.0,3.0,20.0,0.0,100.0,6.97
35.0,5.0,20.0,0.0,100.0,6.91
36.0,10.0,20.0,0.0,100.0,7.34
37.0,20.0,20.0,0.0,100.0,7.4
38.0,40.0,20.0,0.0,100.0,7.79
39.0,49.0,20.0,0.0,100.0,7.38
40.0,0.0,20.0,0.0,100.0,6.92
41.0,0.5,20.0,0.0,100.0,6.91
42.0,1.0,20.0,0.0,100.0,6.92
43.0,2.0,20.0,0.0,100.0,6.96
44.0,3.0,20.0,0.0,100.0,6.91
45.0,5.0,20.0,0.0,100.0,7.11
46.0,10.0,20.0,0.0,100.0,7.43
47.0,20.0,20.0,0.0,100.0,7.16
48.0,40.0,20.0,0.0,100.0,7.67
49.0,49.0,20.0,0.0,100.0,7.6
50.0,0.0,20.0,0.0,100.0,6.95
51.0,0.5,20.0,0.0,100.0,7.07
52.0,1.0,20.0,0.0,100.0,6.87
53.0,2.0,20.0,0.0,100.0,7.02
54.0,3.0,20.0,0.0,100.0,6.86
55.0,5.0,20.0,0.0,100.0,6.94
56.0,10.0,20.0,0.0,100.0,7.16
57.0,20.0,20.0,0.0,100.0,7.57
58.0,40.0,20.0,0.0,100.0,7.57
59.0,49.0,20.0,0.0,100.0,7.7
60.0,0.0,20.0,0.0,100.0,6.91
61.0,0.5,20.0,0.0,100.0,6.92
62.0,1.0,20.0,0.0,100.0,7.03
63.0,2.0,20.0,0.0,100.0,6.91
64.0,3.0,20.0,0.0,100.0,6.93
65.0,5.0,20.0,0.0,100.0,7.48
66.0,10.0,20.0,0.0,100.0,7.95
67.0,20.0,20.0,0.0,100.0,7.46
68.0,40.0,20.0,0.0,100.0,7.45
69.0,49.0,20.0,0.0,100.0,7.44
70.0,0.0,20.0,0.0,100.0,6.91
71.0,0.5,20.0,0.0,100.0,6.91
72.0,1.0,20.0,0.0,100.0,7.06
73.0,2.0,20.0,0.0,100.0,7.0
74.0,3.0,20.0,0.0,100.0,7.05
75.0,5.0,20.0,0.0,100.0,7.37
76.0,10.0,20.0,0.0,100.0,7.31
77.0,20.0,20.0,0.0,100.0,7.91
78.0,40.0,20.0,0.0,100.0,7.71
79.0,49.0,20.0,0.0,100.0,7.41
80.0,0.0,20.0,0.0,100.0,6.89
81.0,0.5,20.0,0.0,100.0,6.98
82.0,1.0,20.0,0.0,100.0,7.22
83.0,2.0,20.0,0.0,100.0,7.05
84.0,3.0,20.0,0.0,100.0,7.49
85.0,5.0,20.0,0.0,100.0,7.23
86.0,10.0,20.0,0.0,100.0,7.3
87.0,20.0,20.0,0.0,100.0,7.6
88.0,40.0,20.0,0.0,100.0,7.63
89.0,49.0,20.0,0.0,100.0,7.69
90.0,0.0,20.0,0.0,100.0,6.9
91.0,0.5,20.0,0.0,100.0,6.9
92.0,1.0,20.0,0.0,100.0,7.04
93.0,2.0,20.0,0.0,100.0,6.92
94.0,3.0,20.0,0.0,100.0,7.23
95.0,5.0,20.0,0.0,100.0,7.17
96.0,10.0,20.0,0.0,100.0,7.27
97.0,20.0,20.0,0.0,100.0,7.87
98.0,40.0,20.0,0.0,100.0,7.72
99.0,49.0,20.0,0.0,100.0,7.72
100.0,0.0,20.0,0.0,100.0,6.93
101.0,0.5,20.0,0.0,100.0,7.14
102.0,1.0,20.0,0.0,100.0,7.23
103.0,2.0,20.0,0.0,100.0,6.97
104.0,3.0,20.0,0.0,100.0,6.84
105.0,5.0,20.0,0.0,100.0,7.17
106.0,10.0,20.0,0.0,100.0,7.18
107.0,20.0,20.0,0.0,100.0,7.66
108.0,40.0,20.0,0.0,100.0,8.04
109.0,49.0,20.0,0.0,100.0,7.44
110.0,0.0,20.0,0.0,100.0,6.89
111.0,0.5,20.0,0.0,100.0,7.01
112.0,1.0,20.0,0.0,100.0,6.93
113.0,2.0,20.0,0.0,100.0,6.85
114.0,3.0,20.0,0.0,100.0,7.12
115.0,5.0,20.0,0.0,100.0,7.03
116.0,10.0,20.0,0.0,100.0,7.66
117.0,20.0,20.0,0.0,100.0,7.46
118.0,40.0,20.0,0.0,100.0,7.78
119.0,49.0,20.0,0.0,100.0,8.24
120.0,0.0,20.0,0.0,100.0,6.96
121.0,0.5,20.0,0.0,100.0,6.91
122.0,1.0,20.0,0.0,100.0,6.88
123.0,2.0,20.0,0.0,100.0,7.0
124.0,3.0,20.0,0.0,100.0,7.07
125.0,5.0,20.0,0.0,100.0,7.01
126.0,10.0,20.0,0.0,100.0,7.63
127.0,20.0,20.0,0.0,100.0,7.61
128.0,40.0,20.0,0.0,100.0,7.49
129.0,49.0,20.0,0.0,100.0,7.25
130.0,0.0,20.0,0.0,100.0,6.88
131.0,0.5,20.0,0.0,100.0,6.96
132.0,1.0,20.0,0.0,100.0,6.86
133.0,2.0,20.0,0.0,100.0,6.88
134.0,3.0,20.0,0.0,100.0,6.98
135.0,5.0,20.0,0.0,100.0,7.34
136.0,10.0,20.0,0.0,100.0,7.65
137.0,20.0,20.0,0.0,100.0,7.66
138.0,40.0,20.0,0.0,100.0,7.36
139.0,49.0,20.0,0.0,100.0,7.46
140.0,0.0,20.0,0.0,100.0,6.9
141.0,0.5,20.0,0.0,100.0,6.91
142.0,1.0,20.0,0.0,100.0,6.89
143.0,2.0,20.0,0.0,100.0,6.87
144.0,3.0,20.0,0.0,100.0,6.95
145.0,5.0,20.0,0.0,100.0,7.11
146.0,10.0,20.0,0.0,100.0,7.1
147.0,20.0,20.0,0.0,100.0,7.21
148.0,40.0,20.0,0.0,100.0,7.15
149.0,49.0,20.0,0.0,100.0,7.57
150.0,0.0,20.0,0.0,100.0,6.92
151.0,0.5,20.0,0.0,100.0,6.83
152.0,1.0,20.0,0.0,100.0,6.93
153.0,2.0,20.0,0.0,100.0,6.95
154.0,3.0,20.0,0.0,100.0,6.86
155.0,5.0,20.0,0.0,100.0,7.13
156.0,10.0,20.0,0.0,100.0,7.15
157.0,20.0,20.0,0.0,100.0,7.4
158.0,40.0,20.0,0.0,100.0,7.62
159.0,49.0,20.0,0.0,100.0,7.48
160.0,0.0,20.0,0.0,100.0,6.97
161.0,0.5,20.0,0.0,100.0,6.92
162.0,1.0,20.0,0.0,100.0,6.92
163.0,2.0,20.0,0.0,100.0,7.0
164.0,3.0,20.0,0.0,100.0,6.9
165.0,5.0,20.0,0.0,100.0,6.89
166.0,10.0,20.0,0.0,100.0,7.53
167.0,20.0,20.0,0.0,100.0,7.54
168.0,40.0,20.0,0.0,100.0,7.57
169.0,49.0,20.0,0.0,100.0,7.6
170.0,0.0,20.0,0.0,100.0,7.03
171.0,0.5,20.0,0.0,100.0,7.01
172.0,1.0,20.0,0.0,100.0,6.98
173.0,2.0,20.0,0.0,100.0,6.99
174.0,3.0,20.0,0.0,100.0,7.1
175.0,5.0,20.0,0.0,100.0,7.03
176.0,10.0,20.0,0.0,100.0,7.41
177.0,20.0,20.0,0.0,100.0,7.37
178.0,40.0,20.0,0.0,100.0,7.51
179.0,49.0,20.0,0.0,100.0,7.68
180.0,0.0,20.0,0.0,100.0,6.89
181.0,0.5,20.0,0.0,100.0,6.94
182.0,1.0,20.0,0.0,100.0,7.01
183.0,2.0,20.0,0.0,100.0,7.29
184.0,3.0,20.0,0.0,100.0,7.03
185.0,5.0,20.0,0.0,100.0,7.05
186.0,10.0,20.0,0.0,100.0,7.21
187.0,20.0,20.0,0.0,100.0,7.89
188.0,40.0,20.0,0.0,100.0,8.13
189.0,49.0,20.0,0.0,100.0,8.02
190.0,0.0,20.0,0.0,100.0,6.89
191.0,0.5,20.0,0.0,100.0,6.87
192.0,1.0,20.0,0.0,100.0,6.97
193.0,2.0,20.0,0.0,100.0,7.17
194.0,3.0,20.0,0.0,100.0,6.88
195.0,5.0,20.0,0.0,100.0,7.56
196.0,10.0,20.0,0.0,100.0,7.4
197.0,20.0,20.0,0.0,100.0,7.28
198.0,40.0,20.0,0.0,100.0,7.3
199.0,49.0,20.0,0.0,100.0,7.92
200.0,0.0,20.0,0.0,100.0,7.03
201.0,0.5,20.0,0.0,100.0,6.9
202.0,1.0,20.0,0.0,100.0,6.93
203.0,2.0,20.0,0.0,100.0,6.86
204.0,3.0,20.0,0.0,100.0,7.31
205.0,5.0,20.0,0.0,100.0,6.87
206.0,10.0,20.0,0.0,100.0,7.14
207.0,20.0,20.0,0.0,100.0,7.3
208.0,40.0,20.0,0.0,100.0,7.56
209.0,49.0,20.0,0.0,100.0,7.45
210.0,0.0,20.0,0.0,100.0,6.89
211.0,0.5,20.0,0.0,100.0,6.94
212.0,1.0,20.0,0.0,100.0,7.34
213.0,2.0,20.0,0.0,100.0,6.92
214.0,3.0,20.0,0.0,100.0,7.09
215.0,5.0,20.0,0.0,100.0,7.57
216.0,10.0,20.0,0.0,100.0,7.59
217.0,20.0,20.0,0.0,100.0,7.25
218.0,40.0,20.0,0.0,100.0,7.59
219.0,49.0,20.0,0.0,100.0,7.88
220.0,0.0,20.0,0.0,100.0,6.86
221.0,0.5,20.0,0.0,100.0,6.9
222.0,1.0,20.0,0.0,100.0,6.93
223.0,2.0,20.0,0.0,100.0,6.9
224.0,3.0,20.0,0.0,100.0,6.99
225.0,5.0,20.0,0.0,100.0,6.91
226.0,10.0,20.0,0.0,100.0,7.56
227.0,20.0,20.0,0.0,100.0,7.38
228.0,40.0,20.0,0.0,100.0,7.84
229.0,49.0,20.0,0.0,100.0,8.09
230.0,0.0,20.0,0.0,100.0,6.9
231.0,0.5,20.0,0.0,100.0,6.88
232.0,1.0,20.0,0.0,100.0,6.95
233.0,2.0,20.0,0.0,100.0,7.07
234.0,3.0,20.0,0.0,100.0,7.5
235.0,5.0,20.0,0.0,100.0,7.22
236.0,10.0,20.0,0.0,100.0,7.51
237.0,20.0,20.0,0.0,100.0,7.5
238.0,40.0,20.0,0.0,100.0,7.49
239.0,49.0,20.0,0.0,100.0,7.83
240.0,0.0,20.0,0.0,100.0,6.88
241.0,0.5,20.0,0.0,100.0,6.95
242.0,1.0,20.0,0.0,100.0,6.92
243.0,2.0,20.0,0.0,100.0,6.89
244.0,3.0,20.0,0.0,100.0,7.25
245.0,5.0,20.0,0.0,100.0,7.81
246.0,10.0,20.0,0.0,100.0,7.49
247.0,20.0,20.0,0.0,100.0,7.77
248.0,40.0,20.0,0.0,100.0,7.44
249.0,49.0,20.0,0.0,100.0,8.52
250.0,0.0,20.0,0.0,100.0,6.88
251.0,0.5,20.0,0.0,100.0,6.97
252.0,1.0,20.0,0.0,100.0,6.87
253.0,2.0,20.0,0.0,100.0,6.97
254.0,3.0,20.0,0.0,100.0,6.97
255.0,5.0,20.0,0.0,100.0,7.19
256.0,10.0,20.0,0.0,100.0,7.25
257.0,20.0,20.0,0.0,100.0,7.39
258.0,40.0,20.0,0.0,100.0,7.39
259.0,49.0,20.0,0.0,100.0,7.76
260.0,0.0,20.0,0.0,100.0,6.93
261.0,0.5,20.0,0.0,100.0,7.04
262.0,1.0,20.0,0.0,100.0,6.95
263.0,2.0,20.0,0.0,100.0,6.9
264.0,3.0,20.0,0.0,100.0,7.07
265.0,5.0,20.0,0.0,100.0,7.12
266.0,10.0,20.0,0.0,100.0,7.1
267.0,20.0,20.0,0.0,100.0,7.83
268.0,40.0,20.0,0.0,100.0,7.56
269.0,49.0,20.0,0.0,100.0,7.58
270.0,0.0,20.0,0.0,100.0,6.88
271.0,0.5,20.0,0.0,100.0,6.9
272.0,1.0,20.0,0.0,100.0,7.01
273.0,2.0,20.0,0.0,100.0,7.21
274.0,3.0,20.0,0.0,100.0,6.88
275.0,5.0,20.0,0.0,100.0,7.3
276.0,10.0,20.0,0.0,100.0,7.04
277.0,20.0,20.0,0.0,100.0,7.79
278.0,40.0,20.0,0.0,100.0,7.77
279.0,49.0,20.0,0.0,100.0,7.86
280.0,0.0,20.0,0.0,100.0,6.85
281.0,0.5,20.0,0.0,100.0,6.96
282.0,1.0,20.0,0.0,100.0,6.84
283.0,2.0,20.0,0.0,100.0,6.95
284.0,3.0,20.0,0.0,100.0,7.19
285.0,5.0,20.0,0.0,100.0,6.97
286.0,10.0,20.0,0.0,100.0,7.93
287.0,20.0,20.0,0.0,100.0,7.51
288.0,40.0,20.0,0.0,100.0,7.37
289.0,49.0,20.0,0.0,100.0,8.09
290.0,0.0,20.0,0.0,100.0,6.88
291.0,0.5,20.0,0.0,100.0,7.09
292.0,1.0,20.0,0.0,100.0,6.91
293.0,2.0,20.0,0.0,100.0,6.92
294.0,3.0,20.0,0.0,100.0,7.66
295.0,5.0,20.0,0.0,100.0,7.03
296.0,10.0,20.0,0.0,100.0,7.39
297.0,20.0,20.0,0.0,100.0,7.49
298.0,40.0,20.0,0.0,100.0,7.39
299.0,49.0,20.0,0.0,100.0,7.89
300.0,0.0,20.0,0.0,100.0,6.87
301.0,0.5,20.0,0.0,100.0,6.89
302.0,1.0,20.0,0.0,100.0,7.16
303.0,2.0,20.0,0.0,100.0,7.21
304.0,3.0,20.0,0.0,100.0,7.14
305.0,5.0,20.0,0.0,100.0,7.12
306.0,10.0,20.0,0.0,100.0,7.77
307.0,20.0,20.0,0.0,100.0,7.45
308.0,40.0,20.0,0.0,100.0,7.54
309.0,49.0,20.0,0.0,100.0,8.36
310.0,0.0,20.0,0.0,100.0,6.9
311.0,0.5,20.0,0.0,100.0,6.87
312.0,1.0,20.0,0.0,100.0,6.9
313.0,2.0,20.0,0.0,100.0,6.96
314.0,3.0,20.0,0.0,100.0,7.22
315.0,5.0,20.0,0.0,100.0,7.2
316.0,10.0,20.0,0.0,100.0,7.33
317.0,20.0,20.0,0.0,100.0,7.33
318.0,40.0,20.0,0.0,100.0,7.16
319.0,49.0,20.0,0.0,100.0,7.52
320.0,0.0,20.0,0.0,100.0,6.89
321.0,0.5,20.0,0.0,100.0,6.94
322.0,1.0,20.0,0.0,100.0,6.92
323.0,2.0,20.0,0.0,100.0,6.97
324.0,3.0,20.0,0.0,100.0,7.11
325.0,5.0,20.0,0.0,100.0,7.2
326.0,10.0,20.0,0.0,100.0,7.3
327.0,20.0,20.0,0.0,100.0,7.28
328.0,40.0,20.0,0.0,100.0,7.72
329.0,49.0,20.0,0.0,100.0,8.33
330.0,0.0,20.0,0.0,100.0,6.88
331.0,0.5,20.0,0.0,100.0,6.94
332.0,1.0,20.0,0.0,100.0,7.13
333.0,2.0,20.0,0.0,100.0,7.06
334.0,3.0,20.0,0.0,100.0,7.0
335.0,5.0,20.0,0.0,100.0,7.18
336.0,10.0,20.0,0.0,100.0,7.11
337.0,20.0,20.0,0.0,100.0,7.25
338.0,40.0,20.0,0.0,100.0,7.39
339.0,49.0,20.0,0.0,100.0,7.28
340.0,0.0,20.0,0.0,100.0,6.88
341.0,0.5,20.0,0.0,100.0,6.92
342.0,1.0,20.0,0.0,100.0,7.24
343.0,2.0,20.0,0.0,100.0,6.93
344.0,3.0,20.0,0.0,100.0,6.92
345.0,5.0,20.0,0.0,100.0,7.26
346.0,10.0,20.0,0.0,100.0,7.12
347.0,20.0,20.0,0.0,100.0,7.43
