Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,0.0,100.0,4.7619047
1.0,0.5,20.0,0.0,100.0,4.7619047
2.0,1.0,20.0,0.0,100.0,5.263158
3.0,2.0,20.0,0.0,100.0,5.882353
4.0,3.0,20.0,0.0,100.0,5.263158
5.0,5.0,20.0,0.0,100.0,5.263158
6.0,10.0,20.0,0.0,100.0,5.263158
7.0,20.0,20.0,0.0,100.0,4.7619047
8.0,40.0,20.0,0.0,100.0,6.6666665
9.0,49.0,20.0,0.0,100.0,5.882353
10.0,0.0,20.0,0.0,100.0,5.263158
11.0,0.5,20.0,0.0,100.0,5.882353
12.0,1.0,20.0,0.0,100.0,4.7619047
13.0,2.0,20.0,0.0,100.0,5.263158
14.0,3.0,20.0,0.0,100.0,5.882353
15.0,5.0,20.0,0.0,100.0,5.263158
16.0,10.0,20.0,0.0,100.0,4.7619047
17.0,20.0,20.0,0.0,100.0,5.882353
18.0,40.0,20.0,0.0,100.0,5.0
19.0,49.0,20.0,0.0,100.0,5.882353
20.0,0.0,20.0,0.0,100.0,5.263158
21.0,0.5,20.0,0.0,100.0,4.7619047
22.0,1.0,20.0,0.0,100.0,4.7619047
23.0,2.0,20.0,0.0,100.0,5.263158
24.0,3.0,20.0,0.0,100.0,4.7619047
25.0,5.0,20.0,0.0,100.0,4.7619047
26.0,10.0,20.0,0.0,100.0,4.7619047
27.0,20.0,20.0,0.0,100.0,6.6666665
28.0,40.0,20.0,0.0,100.0,5.882353
29.0,49.0,20.0,0.0,100.0,5.263158
30.0,0.0,20.0,0.0,100.0,5.263158
31.0,0.5,20.0,0.0,100.0,4.7619047
32.0,1.0,20.0,0.0,100.0,4.0
33.0,2.0,20.0,0.0,100.0,5.882353
34.0,3.0,20.0,0.0,100.0,5.263158
35.0,5.0,20.0,0.0,100.0,5.882353
36.0,10.0,20.0,0.0,100.0,4.7619047
37.0,20.0,20.0,0.0,100.0,5.882353
38.0,40.0,20.0,0.0,100.0,5.882353
