Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,20.0,0.0,100.0,7.918919
1.0,0.5,20.0,0.0,100.0,8.105263
2.0,1.0,20.0,0.0,100.0,7.5585585
3.0,2.0,20.0,0.0,100.0,9.581197
4.0,3.0,20.0,0.0,100.0,9.330508
5.0,5.0,20.0,0.0,100.0,9.474576
6.0,10.0,20.0,0.0,100.0,16.475863
7.0,20.0,20.0,0.0,100.0,18.8503
8.0,40.0,20.0,0.0,100.0,25.611353
9.0,49.0,20.0,0.0,100.0,29.030054
10.0,0.0,20.0,0.0,100.0,7.6788993
11.0,0.5,20.0,0.0,100.0,7.675676
12.0,1.0,20.0,0.0,100.0,9.008696
13.0,2.0,20.0,0.0,100.0,9.771187
14.0,3.0,20.0,0.0,100.0,9.906779
15.0,5.0,20.0,0.0,100.0,10.512196
16.0,10.0,20.0,0.0,100.0,14.022556
17.0,20.0,20.0,0.0,100.0,17.787233
18.0,40.0,20.0,0.0,100.0,24.51699
19.0,49.0,20.0,0.0,100.0,33.157494
20.0,0.0,20.0,0.0,100.0,7.5945945
21.0,0.5,20.0,0.0,100.0,7.7719297
22.0,1.0,20.0,0.0,100.0,8.196428
23.0,2.0,20.0,0.0,100.0,9.067797
24.0,3.0,20.0,0.0,100.0,7.9099097
25.0,5.0,20.0,0.0,100.0,9.735043
26.0,10.0,20.0,0.0,100.0,14.162963
27.0,20.0,20.0,0.0,100.0,16.717949
28.0,40.0,20.0,0.0,100.0,22.610271
29.0,49.0,20.0,0.0,100.0,38.076653
30.0,0.0,20.0,0.0,100.0,7.642857
31.0,0.5,20.0,0.0,100.0,7.651786
32.0,1.0,20.0,0.0,100.0,8.530973
33.0,2.0,20.0,0.0,100.0,9.451327
34.0,3.0,20.0,0.0,100.0,8.321739
35.0,5.0,20.0,0.0,100.0,8.885965
36.0,10.0,20.0,0.0,100.0,16.108109
37.0,20.0,20.0,0.0,100.0,16.181818
38.0,40.0,20.0,0.0,100.0,22.210417
39.0,49.0,20.0,0.0,100.0,34.039425
40.0,0.0,20.0,0.0,100.0,7.36036
41.0,0.5,20.0,0.0,100.0,7.146789
42.0,1.0,20.0,0.0,100.0,6.972477
43.0,2.0,20.0,0.0,100.0,8.153153
44.0,3.0,20.0,0.0,100.0,7.517544
45.0,5.0,20.0,0.0,100.0,11.881356
46.0,10.0,20.0,0.0,100.0,14.829932
47.0,20.0,20.0,0.0,100.0,17.627329
48.0,40.0,20.0,0.0,100.0,22.02564
49.0,49.0,20.0,0.0,100.0,53.355587
50.0,0.0,20.0,0.0,100.0,7.747748
51.0,0.5,20.0,0.0,100.0,9.713115
52.0,1.0,20.0,0.0,100.0,7.36036
53.0,2.0,20.0,0.0,100.0,8.455358
54.0,3.0,20.0,0.0,100.0,8.342342
55.0,5.0,20.0,0.0,100.0,9.461538
56.0,10.0,20.0,0.0,100.0,12.8046875
57.0,20.0,20.0,0.0,100.0,17.296053
58.0,40.0,20.0,0.0,100.0,24.91081
59.0,49.0,20.0,0.0,100.0,26.135475
60.0,0.0,20.0,0.0,100.0,7.2612615
61.0,0.5,20.0,0.0,100.0,7.7043476
62.0,1.0,20.0,0.0,100.0,8.394737
63.0,2.0,20.0,0.0,100.0,9.252174
64.0,3.0,20.0,0.0,100.0,8.619469
65.0,5.0,20.0,0.0,100.0,11.211382
66.0,10.0,20.0,0.0,100.0,16.309353
67.0,20.0,20.0,0.0,100.0,20.201086
68.0,40.0,20.0,0.0,100.0,40.48077
69.0,49.0,20.0,0.0,100.0,30.502655
70.0,0.0,20.0,0.0,100.0,7.675676
