Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,0.0,2.0,100.0,23.96
1.0,0.5,0.0,2.0,100.0,10.27
2.0,1.0,0.0,2.0,100.0,23.47
3.0,2.0,0.0,2.0,100.0,12.84
4.0,3.0,0.0,2.0,100.0,11.12
5.0,5.0,0.0,2.0,100.0,9.92
6.0,10.0,0.0,2.0,100.0,8.56
7.0,20.0,0.0,2.0,100.0,8.13
8.0,40.0,0.0,2.0,100.0,9.4
9.0,49.0,0.0,2.0,100.0,11.55
10.0,0.0,0.0,2.0,100.0,11.86
11.0,0.5,0.0,2.0,100.0,21.13
12.0,1.0,0.0,2.0,100.0,11.96
13.0,2.0,0.0,2.0,100.0,9.27
14.0,3.0,0.0,2.0,100.0,10.36
15.0,5.0,0.0,2.0,100.0,9.65
16.0,10.0,0.0,2.0,100.0,8.77
17.0,20.0,0.0,2.0,100.0,11.28
18.0,40.0,0.0,2.0,100.0,9.44
19.0,49.0,0.0,2.0,100.0,9.26
20.0,0.0,0.0,2.0,100.0,16.04
21.0,0.5,0.0,2.0,100.0,19.62
22.0,1.0,0.0,2.0,100.0,13.07
23.0,2.0,0.0,2.0,100.0,16.55
24.0,3.0,0.0,2.0,100.0,9.75
25.0,5.0,0.0,2.0,100.0,11.38
26.0,10.0,0.0,2.0,100.0,7.97
27.0,20.0,0.0,2.0,100.0,8.35
28.0,40.0,0.0,2.0,100.0,8.85
29.0,49.0,0.0,2.0,100.0,11.32
30.0,0.0,0.0,2.0,100.0,21.42
31.0,0.5,0.0,2.0,100.0,21.38
32.0,1.0,0.0,2.0,100.0,10.11
33.0,2.0,0.0,2.0,100.0,14.73
34.0,3.0,0.0,2.0,100.0,9.29
35.0,5.0,0.0,2.0,100.0,9.85
36.0,10.0,0.0,2.0,100.0,10.61
37.0,20.0,0.0,2.0,100.0,9.22
38.0,40.0,0.0,2.0,100.0,11.7
39.0,49.0,0.0,2.0,100.0,10.43
40.0,0.0,0.0,2.0,100.0,21.61
41.0,0.5,0.0,2.0,100.0,11.7
42.0,1.0,0.0,2.0,100.0,9.64
43.0,2.0,0.0,2.0,100.0,14.4
44.0,3.0,0.0,2.0,100.0,10.61
45.0,5.0,0.0,2.0,100.0,9.12
46.0,10.0,0.0,2.0,100.0,8.99
47.0,20.0,0.0,2.0,100.0,12.34
48.0,40.0,0.0,2.0,100.0,8.16
49.0,49.0,0.0,2.0,100.0,10.9
50.0,0.0,0.0,2.0,100.0,15.12
51.0,0.5,0.0,2.0,100.0,15.87
52.0,1.0,0.0,2.0,100.0,9.86
53.0,2.0,0.0,2.0,100.0,14.24
54.0,3.0,0.0,2.0,100.0,9.0
55.0,5.0,0.0,2.0,100.0,10.33
56.0,10.0,0.0,2.0,100.0,9.21
57.0,20.0,0.0,2.0,100.0,7.83
58.0,40.0,0.0,2.0,100.0,8.3
59.0,49.0,0.0,2.0,100.0,9.31
60.0,0.0,0.0,2.0,100.0,15.5
61.0,0.5,0.0,2.0,100.0,19.99
62.0,1.0,0.0,2.0,100.0,9.07
63.0,2.0,0.0,2.0,100.0,12.72
64.0,3.0,0.0,2.0,100.0,16.44
65.0,5.0,0.0,2.0,100.0,10.01
66.0,10.0,0.0,2.0,100.0,9.52
67.0,20.0,0.0,2.0,100.0,9.55
68.0,40.0,0.0,2.0,100.0,11.58
69.0,49.0,0.0,2.0,100.0,11.34
70.0,0.0,0.0,2.0,100.0,18.14
71.0,0.5,0.0,2.0,100.0,21.32
72.0,1.0,0.0,2.0,100.0,19.17
73.0,2.0,0.0,2.0,100.0,14.14
74.0,3.0,0.0,2.0,100.0,14.54
75.0,5.0,0.0,2.0,100.0,8.73
76.0,10.0,0.0,2.0,100.0,8.65
77.0,20.0,0.0,2.0,100.0,9.08
78.0,40.0,0.0,2.0,100.0,9.19
79.0,49.0,0.0,2.0,100.0,11.81
80.0,0.0,0.0,2.0,100.0,14.3
81.0,0.5,0.0,2.0,100.0,23.58
82.0,1.0,0.0,2.0,100.0,18.72
83.0,2.0,0.0,2.0,100.0,13.84
84.0,3.0,0.0,2.0,100.0,11.25
85.0,5.0,0.0,2.0,100.0,8.23
86.0,10.0,0.0,2.0,100.0,9.89
87.0,20.0,0.0,2.0,100.0,11.57
88.0,40.0,0.0,2.0,100.0,10.02
89.0,49.0,0.0,2.0,100.0,14.46
90.0,0.0,0.0,2.0,100.0,16.89
91.0,0.5,0.0,2.0,100.0,19.79
92.0,1.0,0.0,2.0,100.0,14.34
93.0,2.0,0.0,2.0,100.0,9.46
94.0,3.0,0.0,2.0,100.0,11.32
95.0,5.0,0.0,2.0,100.0,9.23
96.0,10.0,0.0,2.0,100.0,8.72
