Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,0.0,2.0,100.0,1.03
1.0,0.5,0.0,2.0,100.0,1.03
2.0,1.0,0.0,2.0,100.0,1.03
3.0,2.0,0.0,2.0,100.0,1.03
4.0,3.0,0.0,2.0,100.0,1.02
5.0,5.0,0.0,2.0,100.0,1.03
6.0,10.0,0.0,2.0,100.0,1.02
7.0,20.0,0.0,2.0,100.0,1.03
8.0,40.0,0.0,2.0,100.0,1.03
9.0,49.0,0.0,2.0,100.0,1.03
10.0,0.0,0.0,2.0,100.0,1.03
11.0,0.5,0.0,2.0,100.0,1.03
12.0,1.0,0.0,2.0,100.0,1.02
13.0,2.0,0.0,2.0,100.0,1.03
14.0,3.0,0.0,2.0,100.0,1.02
15.0,5.0,0.0,2.0,100.0,1.03
16.0,10.0,0.0,2.0,100.0,1.02
17.0,20.0,0.0,2.0,100.0,1.03
18.0,40.0,0.0,2.0,100.0,1.03
19.0,49.0,0.0,2.0,100.0,1.03
20.0,0.0,0.0,2.0,100.0,1.03
21.0,0.5,0.0,2.0,100.0,1.02
22.0,1.0,0.0,2.0,100.0,1.03
23.0,2.0,0.0,2.0,100.0,1.03
24.0,3.0,0.0,2.0,100.0,1.03
25.0,5.0,0.0,2.0,100.0,1.03
26.0,10.0,0.0,2.0,100.0,1.03
27.0,20.0,0.0,2.0,100.0,1.03
28.0,40.0,0.0,2.0,100.0,1.02
29.0,49.0,0.0,2.0,100.0,1.03
30.0,0.0,0.0,2.0,100.0,1.03
31.0,0.5,0.0,2.0,100.0,1.03
32.0,1.0,0.0,2.0,100.0,1.03
33.0,2.0,0.0,2.0,100.0,1.03
34.0,3.0,0.0,2.0,100.0,1.03
35.0,5.0,0.0,2.0,100.0,1.02
36.0,10.0,0.0,2.0,100.0,1.03
37.0,20.0,0.0,2.0,100.0,1.02
38.0,40.0,0.0,2.0,100.0,1.02
39.0,49.0,0.0,2.0,100.0,1.03
40.0,0.0,0.0,2.0,100.0,1.03
41.0,0.5,0.0,2.0,100.0,1.02
42.0,1.0,0.0,2.0,100.0,1.03
43.0,2.0,0.0,2.0,100.0,1.02
44.0,3.0,0.0,2.0,100.0,1.02
45.0,5.0,0.0,2.0,100.0,1.03
46.0,10.0,0.0,2.0,100.0,1.03
47.0,20.0,0.0,2.0,100.0,1.03
48.0,40.0,0.0,2.0,100.0,1.03
49.0,49.0,0.0,2.0,100.0,1.03
50.0,0.0,0.0,2.0,100.0,1.03
51.0,0.5,0.0,2.0,100.0,1.03
52.0,1.0,0.0,2.0,100.0,1.03
53.0,2.0,0.0,2.0,100.0,1.03
54.0,3.0,0.0,2.0,100.0,1.02
55.0,5.0,0.0,2.0,100.0,1.03
56.0,10.0,0.0,2.0,100.0,1.03
57.0,20.0,0.0,2.0,100.0,1.02
58.0,40.0,0.0,2.0,100.0,1.03
59.0,49.0,0.0,2.0,100.0,1.03
60.0,0.0,0.0,2.0,100.0,1.03
61.0,0.5,0.0,2.0,100.0,1.03
62.0,1.0,0.0,2.0,100.0,1.03
63.0,2.0,0.0,2.0,100.0,1.03
64.0,3.0,0.0,2.0,100.0,1.03
65.0,5.0,0.0,2.0,100.0,1.02
66.0,10.0,0.0,2.0,100.0,1.02
67.0,20.0,0.0,2.0,100.0,1.03
68.0,40.0,0.0,2.0,100.0,1.03
69.0,49.0,0.0,2.0,100.0,1.03
70.0,0.0,0.0,2.0,100.0,1.03
71.0,0.5,0.0,2.0,100.0,1.03
72.0,1.0,0.0,2.0,100.0,1.03
73.0,2.0,0.0,2.0,100.0,1.03
74.0,3.0,0.0,2.0,100.0,1.02
75.0,5.0,0.0,2.0,100.0,1.03
76.0,10.0,0.0,2.0,100.0,1.03
77.0,20.0,0.0,2.0,100.0,1.03
78.0,40.0,0.0,2.0,100.0,1.03
79.0,49.0,0.0,2.0,100.0,1.03
80.0,0.0,0.0,2.0,100.0,1.03
81.0,0.5,0.0,2.0,100.0,1.03
82.0,1.0,0.0,2.0,100.0,1.03
83.0,2.0,0.0,2.0,100.0,1.03
84.0,3.0,0.0,2.0,100.0,1.03
85.0,5.0,0.0,2.0,100.0,1.02
86.0,10.0,0.0,2.0,100.0,1.02
87.0,20.0,0.0,2.0,100.0,1.03
88.0,40.0,0.0,2.0,100.0,1.03
89.0,49.0,0.0,2.0,100.0,1.03
90.0,0.0,0.0,2.0,100.0,1.03
91.0,0.5,0.0,2.0,100.0,1.03
92.0,1.0,0.0,2.0,100.0,1.03
93.0,2.0,0.0,2.0,100.0,1.03
94.0,3.0,0.0,2.0,100.0,1.03
95.0,5.0,0.0,2.0,100.0,1.02
96.0,10.0,0.0,2.0,100.0,1.03
97.0,20.0,0.0,2.0,100.0,1.03
98.0,40.0,0.0,2.0,100.0,1.03
99.0,49.0,0.0,2.0,100.0,1.03
100.0,0.0,0.0,2.0,100.0,1.03
101.0,0.5,0.0,2.0,100.0,1.02
102.0,1.0,0.0,2.0,100.0,1.03
103.0,2.0,0.0,2.0,100.0,1.02
104.0,3.0,0.0,2.0,100.0,1.03
105.0,5.0,0.0,2.0,100.0,1.03
106.0,10.0,0.0,2.0,100.0,1.03
107.0,20.0,0.0,2.0,100.0,1.03
108.0,40.0,0.0,2.0,100.0,1.03
109.0,49.0,0.0,2.0,100.0,1.03
110.0,0.0,0.0,2.0,100.0,1.03
111.0,0.5,0.0,2.0,100.0,1.03
112.0,1.0,0.0,2.0,100.0,1.03
113.0,2.0,0.0,2.0,100.0,1.03
114.0,3.0,0.0,2.0,100.0,1.02
115.0,5.0,0.0,2.0,100.0,1.02
116.0,10.0,0.0,2.0,100.0,1.03
117.0,20.0,0.0,2.0,100.0,1.02
118.0,40.0,0.0,2.0,100.0,1.03
119.0,49.0,0.0,2.0,100.0,1.03
120.0,0.0,0.0,2.0,100.0,1.03
121.0,0.5,0.0,2.0,100.0,1.02
122.0,1.0,0.0,2.0,100.0,1.03
123.0,2.0,0.0,2.0,100.0,1.03
124.0,3.0,0.0,2.0,100.0,1.02
125.0,5.0,0.0,2.0,100.0,1.03
126.0,10.0,0.0,2.0,100.0,1.02
127.0,20.0,0.0,2.0,100.0,1.03
128.0,40.0,0.0,2.0,100.0,1.03
129.0,49.0,0.0,2.0,100.0,1.03
130.0,0.0,0.0,2.0,100.0,1.03
131.0,0.5,0.0,2.0,100.0,1.03
132.0,1.0,0.0,2.0,100.0,1.02
133.0,2.0,0.0,2.0,100.0,1.02
134.0,3.0,0.0,2.0,100.0,1.02
135.0,5.0,0.0,2.0,100.0,1.02
136.0,10.0,0.0,2.0,100.0,1.03
137.0,20.0,0.0,2.0,100.0,1.03
138.0,40.0,0.0,2.0,100.0,1.03
139.0,49.0,0.0,2.0,100.0,1.03
140.0,0.0,0.0,2.0,100.0,1.03
141.0,0.5,0.0,2.0,100.0,1.02
142.0,1.0,0.0,2.0,100.0,1.02
143.0,2.0,0.0,2.0,100.0,1.02
144.0,3.0,0.0,2.0,100.0,1.02
145.0,5.0,0.0,2.0,100.0,1.03
146.0,10.0,0.0,2.0,100.0,1.03
147.0,20.0,0.0,2.0,100.0,1.02
148.0,40.0,0.0,2.0,100.0,1.03
149.0,49.0,0.0,2.0,100.0,1.03
150.0,0.0,0.0,2.0,100.0,1.03
151.0,0.5,0.0,2.0,100.0,1.03
152.0,1.0,0.0,2.0,100.0,1.02
153.0,2.0,0.0,2.0,100.0,1.03
154.0,3.0,0.0,2.0,100.0,1.02
155.0,5.0,0.0,2.0,100.0,1.02
156.0,10.0,0.0,2.0,100.0,1.03
157.0,20.0,0.0,2.0,100.0,1.03
158.0,40.0,0.0,2.0,100.0,1.03
159.0,49.0,0.0,2.0,100.0,1.03
160.0,0.0,0.0,2.0,100.0,1.03
161.0,0.5,0.0,2.0,100.0,1.03
162.0,1.0,0.0,2.0,100.0,1.03
163.0,2.0,0.0,2.0,100.0,1.03
164.0,3.0,0.0,2.0,100.0,1.03
165.0,5.0,0.0,2.0,100.0,1.02
166.0,10.0,0.0,2.0,100.0,1.03
167.0,20.0,0.0,2.0,100.0,1.03
168.0,40.0,0.0,2.0,100.0,1.03
169.0,49.0,0.0,2.0,100.0,1.03
170.0,0.0,0.0,2.0,100.0,1.03
171.0,0.5,0.0,2.0,100.0,1.03
172.0,1.0,0.0,2.0,100.0,1.02
173.0,2.0,0.0,2.0,100.0,1.03
174.0,3.0,0.0,2.0,100.0,1.03
175.0,5.0,0.0,2.0,100.0,1.02
176.0,10.0,0.0,2.0,100.0,1.03
177.0,20.0,0.0,2.0,100.0,1.02
178.0,40.0,0.0,2.0,100.0,1.03
179.0,49.0,0.0,2.0,100.0,1.03
180.0,0.0,0.0,2.0,100.0,1.03
181.0,0.5,0.0,2.0,100.0,1.03
182.0,1.0,0.0,2.0,100.0,1.03
183.0,2.0,0.0,2.0,100.0,1.02
184.0,3.0,0.0,2.0,100.0,1.03
185.0,5.0,0.0,2.0,100.0,1.03
186.0,10.0,0.0,2.0,100.0,1.02
187.0,20.0,0.0,2.0,100.0,1.02
188.0,40.0,0.0,2.0,100.0,1.03
189.0,49.0,0.0,2.0,100.0,1.03
190.0,0.0,0.0,2.0,100.0,1.03
191.0,0.5,0.0,2.0,100.0,1.03
192.0,1.0,0.0,2.0,100.0,1.03
193.0,2.0,0.0,2.0,100.0,1.03
194.0,3.0,0.0,2.0,100.0,1.03
195.0,5.0,0.0,2.0,100.0,1.03
196.0,10.0,0.0,2.0,100.0,1.02
197.0,20.0,0.0,2.0,100.0,1.03
198.0,40.0,0.0,2.0,100.0,1.03
199.0,49.0,0.0,2.0,100.0,1.03
200.0,0.0,0.0,2.0,100.0,1.03
201.0,0.5,0.0,2.0,100.0,1.03
202.0,1.0,0.0,2.0,100.0,1.02
203.0,2.0,0.0,2.0,100.0,1.03
204.0,3.0,0.0,2.0,100.0,1.02
205.0,5.0,0.0,2.0,100.0,1.02
206.0,10.0,0.0,2.0,100.0,1.03
207.0,20.0,0.0,2.0,100.0,1.03
208.0,40.0,0.0,2.0,100.0,1.03
209.0,49.0,0.0,2.0,100.0,1.03
210.0,0.0,0.0,2.0,100.0,1.03
211.0,0.5,0.0,2.0,100.0,1.03
212.0,1.0,0.0,2.0,100.0,1.03
213.0,2.0,0.0,2.0,100.0,1.02
214.0,3.0,0.0,2.0,100.0,1.02
215.0,5.0,0.0,2.0,100.0,1.03
216.0,10.0,0.0,2.0,100.0,1.02
217.0,20.0,0.0,2.0,100.0,1.03
218.0,40.0,0.0,2.0,100.0,1.03
219.0,49.0,0.0,2.0,100.0,1.03
220.0,0.0,0.0,2.0,100.0,1.03
221.0,0.5,0.0,2.0,100.0,1.02
222.0,1.0,0.0,2.0,100.0,1.03
223.0,2.0,0.0,2.0,100.0,1.03
224.0,3.0,0.0,2.0,100.0,1.03
225.0,5.0,0.0,2.0,100.0,1.02
226.0,10.0,0.0,2.0,100.0,1.03
227.0,20.0,0.0,2.0,100.0,1.02
228.0,40.0,0.0,2.0,100.0,1.03
229.0,49.0,0.0,2.0,100.0,1.03
230.0,0.0,0.0,2.0,100.0,1.03
231.0,0.5,0.0,2.0,100.0,1.03
232.0,1.0,0.0,2.0,100.0,1.03
233.0,2.0,0.0,2.0,100.0,1.03
234.0,3.0,0.0,2.0,100.0,1.02
235.0,5.0,0.0,2.0,100.0,1.02
