Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,0.0,2.0,100.0,100.0
1.0,0.5,0.0,2.0,100.0,33.333332
2.0,1.0,0.0,2.0,100.0,33.333332
3.0,2.0,0.0,2.0,100.0,33.333332
4.0,3.0,0.0,2.0,100.0,10.0
5.0,5.0,0.0,2.0,100.0,9.090909
6.0,10.0,0.0,2.0,100.0,5.882353
7.0,20.0,0.0,2.0,100.0,5.882353
8.0,40.0,0.0,2.0,100.0,5.263158
9.0,49.0,0.0,2.0,100.0,4.0
10.0,0.0,0.0,2.0,100.0,100.0
11.0,0.5,0.0,2.0,100.0,100.0
12.0,1.0,0.0,2.0,100.0,16.666666
13.0,2.0,0.0,2.0,100.0,7.6923075
14.0,3.0,0.0,2.0,100.0,8.333333
15.0,5.0,0.0,2.0,100.0,14.285714
16.0,10.0,0.0,2.0,100.0,4.5454545
17.0,20.0,0.0,2.0,100.0,6.6666665
18.0,40.0,0.0,2.0,100.0,5.263158
19.0,49.0,0.0,2.0,100.0,6.6666665
20.0,0.0,0.0,2.0,100.0,100.0
21.0,0.5,0.0,2.0,100.0,33.333332
22.0,1.0,0.0,2.0,100.0,33.333332
23.0,2.0,0.0,2.0,100.0,33.333332
24.0,3.0,0.0,2.0,100.0,14.285714
25.0,5.0,0.0,2.0,100.0,9.090909
26.0,10.0,0.0,2.0,100.0,7.6923075
27.0,20.0,0.0,2.0,100.0,5.882353
28.0,40.0,0.0,2.0,100.0,4.5454545
29.0,49.0,0.0,2.0,100.0,5.882353
30.0,0.0,0.0,2.0,100.0,100.0
31.0,0.5,0.0,2.0,100.0,100.0
32.0,1.0,0.0,2.0,100.0,100.0
33.0,2.0,0.0,2.0,100.0,33.333332
34.0,3.0,0.0,2.0,100.0,9.090909
35.0,5.0,0.0,2.0,100.0,16.666666
36.0,10.0,0.0,2.0,100.0,11.111111
37.0,20.0,0.0,2.0,100.0,5.5555553
38.0,40.0,0.0,2.0,100.0,5.882353
39.0,49.0,0.0,2.0,100.0,5.263158
40.0,0.0,0.0,2.0,100.0,100.0
41.0,0.5,0.0,2.0,100.0,7.142857
42.0,1.0,0.0,2.0,100.0,9.090909
43.0,2.0,0.0,2.0,100.0,50.0
44.0,3.0,0.0,2.0,100.0,25.0
45.0,5.0,0.0,2.0,100.0,9.090909
46.0,10.0,0.0,2.0,100.0,9.090909
47.0,20.0,0.0,2.0,100.0,4.347826
48.0,40.0,0.0,2.0,100.0,4.0
49.0,49.0,0.0,2.0,100.0,5.882353
50.0,0.0,0.0,2.0,100.0,100.0
51.0,0.5,0.0,2.0,100.0,100.0
52.0,1.0,0.0,2.0,100.0,33.333332
53.0,2.0,0.0,2.0,100.0,20.0
54.0,3.0,0.0,2.0,100.0,10.0
55.0,5.0,0.0,2.0,100.0,14.285714
56.0,10.0,0.0,2.0,100.0,5.263158
57.0,20.0,0.0,2.0,100.0,3.8461537
58.0,40.0,0.0,2.0,100.0,4.347826
59.0,49.0,0.0,2.0,100.0,5.882353
60.0,0.0,0.0,2.0,100.0,100.0
61.0,0.5,0.0,2.0,100.0,100.0
62.0,1.0,0.0,2.0,100.0,11.111111
63.0,2.0,0.0,2.0,100.0,33.333332
64.0,3.0,0.0,2.0,100.0,100.0
