Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Result 1
0.0,0.0,0.0,2.0,100.0,0.0
1.0,0.5,0.0,2.0,100.0,28.360771
2.0,1.0,0.0,2.0,100.0,49.237522
3.0,2.0,0.0,2.0,100.0,53.407238
4.0,3.0,0.0,2.0,100.0,14.7723465
5.0,5.0,0.0,2.0,100.0,6.45685
6.0,10.0,0.0,2.0,100.0,4.299453
7.0,20.0,0.0,2.0,100.0,2.8914175
8.0,40.0,0.0,2.0,100.0,3.8993177
9.0,49.0,0.0,2.0,100.0,2.236068
10.0,0.0,0.0,2.0,100.0,0.0
11.0,0.5,0.0,2.0,100.0,0.0
12.0,1.0,0.0,2.0,100.0,16.585135
13.0,2.0,0.0,2.0,100.0,8.086868
14.0,3.0,0.0,2.0,100.0,7.278028
15.0,5.0,0.0,2.0,100.0,12.392394
16.0,10.0,0.0,2.0,100.0,2.9069257
17.0,20.0,0.0,2.0,100.0,3.8297083
18.0,40.0,0.0,2.0,100.0,3.633824
19.0,49.0,0.0,2.0,100.0,5.3273783
20.0,0.0,0.0,2.0,100.0,0.0
21.0,0.5,0.0,2.0,100.0,43.085186
22.0,1.0,0.0,2.0,100.0,33.020195
23.0,2.0,0.0,2.0,100.0,42.899105
24.0,3.0,0.0,2.0,100.0,13.047533
25.0,5.0,0.0,2.0,100.0,9.449388
26.0,10.0,0.0,2.0,100.0,9.241074
27.0,20.0,0.0,2.0,100.0,3.8059552
28.0,40.0,0.0,2.0,100.0,2.3037708
29.0,49.0,0.0,2.0,100.0,4.688848
30.0,0.0,0.0,2.0,100.0,0.0
31.0,0.5,0.0,2.0,100.0,0.0
32.0,1.0,0.0,2.0,100.0,0.0
33.0,2.0,0.0,2.0,100.0,40.673496
34.0,3.0,0.0,2.0,100.0,10.568393
35.0,5.0,0.0,2.0,100.0,15.1745405
36.0,10.0,0.0,2.0,100.0,12.761705
37.0,20.0,0.0,2.0,100.0,4.2179203
38.0,40.0,0.0,2.0,100.0,4.0755725
39.0,49.0,0.0,2.0,100.0,3.6338243
40.0,0.0,0.0,2.0,100.0,0.0
41.0,0.5,0.0,2.0,100.0,11.713615
42.0,1.0,0.0,2.0,100.0,7.034978
43.0,2.0,0.0,2.0,100.0,7.071068
44.0,3.0,0.0,2.0,100.0,19.983326
45.0,5.0,0.0,2.0,100.0,10.251387
46.0,10.0,0.0,2.0,100.0,6.949166
47.0,20.0,0.0,2.0,100.0,1.9213797
48.0,40.0,0.0,2.0,100.0,2.1213202
49.0,49.0,0.0,2.0,100.0,4.9229355
50.0,0.0,0.0,2.0,100.0,0.0
51.0,0.5,0.0,2.0,100.0,0.0
52.0,1.0,0.0,2.0,100.0,30.270998
53.0,2.0,0.0,2.0,100.0,26.907248
54.0,3.0,0.0,2.0,100.0,8.730534
55.0,5.0,0.0,2.0,100.0,14.941155
56.0,10.0,0.0,2.0,100.0,3.8128746
57.0,20.0,0.0,2.0,100.0,1.9327142
58.0,40.0,0.0,2.0,100.0,2.6217394
59.0,49.0,0.0,2.0,100.0,3.5861254
60.0,0.0,0.0,2.0,100.0,0.0
61.0,0.5,0.0,2.0,100.0,0.0
62.0,1.0,0.0,2.0,100.0,11.439454
63.0,2.0,0.0,2.0,100.0,35.303444
